backend,category,frozen_at_this_iter,iter,model,op,skipped,speedup_vs_torch,stop_score,tok_cached_input,tok_fresh_input,tok_output,tok_reasoning,tokens_this_iter,verify_clean
triton,Stencil/Conv,False,8,gpt-5.5,1d_conv,False,,0.19281219568067043,0,38444,18595,14625,71664,False
cutile,Stencil/Conv,False,8,gpt-5.5,1d_conv,False,,0.0,0,38444,18595,14625,71664,False
triton,Stencil/Conv,False,9,gpt-5.5,1d_conv,False,84.5282864928923,0.11111435206665396,0,42809,9384,6214,58407,True
cutile,Stencil/Conv,False,9,gpt-5.5,1d_conv,False,92.57571952383344,0.11948598777958495,0,42809,9384,6214,58407,True
triton,Stencil/Conv,False,0,claude-opus-4-7,2d_conv,False,,0.04862900373165625,0,54588,42945,0,97533,False
cutile,Stencil/Conv,False,0,claude-opus-4-7,2d_conv,False,,0.0,0,54588,42945,0,97533,False
triton,Stencil/Conv,False,1,claude-opus-4-7,2d_conv,False,,0.04863550600607212,0,60057,12346,0,72403,False
cutile,Stencil/Conv,False,1,claude-opus-4-7,2d_conv,False,,0.045864403501499965,0,60057,12346,0,72403,False
triton,Stencil/Conv,False,2,claude-opus-4-7,2d_conv,False,6.655541954880787,0.02964430403990208,0,60083,26195,0,86278,True
cutile,Stencil/Conv,False,2,claude-opus-4-7,2d_conv,False,,0.047329032085162676,0,60083,26195,0,86278,False
triton,Stencil/Conv,False,3,claude-opus-4-7,2d_conv,False,,0.04868176811170518,0,60398,25551,0,85949,False
cutile,Stencil/Conv,False,3,claude-opus-4-7,2d_conv,False,6.488771320717983,0.03202313295698997,0,60398,25551,0,85949,True
triton,Stencil/Conv,False,4,claude-opus-4-7,2d_conv,False,4.735991143501738,0.026446598783201415,0,64010,10161,0,74171,True
cutile,Stencil/Conv,False,4,claude-opus-4-7,2d_conv,False,6.152304546027857,0.030751356336723278,0,64010,10161,0,74171,True
triton,Stencil/Conv,False,5,claude-opus-4-7,2d_conv,False,6.203477198658629,0.02759545347867583,0,67652,11122,0,78774,True
cutile,Stencil/Conv,False,5,claude-opus-4-7,2d_conv,False,5.853425894110687,0.02980314282957281,0,67652,11122,0,78774,True
triton,Stencil/Conv,False,6,claude-opus-4-7,2d_conv,False,,0.06231495865215041,0,67789,55577,0,123366,False
cutile,Stencil/Conv,False,6,claude-opus-4-7,2d_conv,False,6.494581829957337,0.0321168738988897,0,67789,55577,0,123366,True
triton,Stencil/Conv,False,7,claude-opus-4-7,2d_conv,False,6.60794977872196,0.02949835907305,0,65658,15051,0,80709,True
cutile,Stencil/Conv,False,7,claude-opus-4-7,2d_conv,False,,0.14311932036899008,0,65658,15051,0,80709,False
triton,Stencil/Conv,False,8,claude-opus-4-7,2d_conv,False,6.6349728130794015,0.029611782119830843,0,67657,8725,0,76382,True
cutile,Stencil/Conv,False,8,claude-opus-4-7,2d_conv,False,19.62471050918366,0.07997913042916552,0,67657,8725,0,76382,True
triton,Stencil/Conv,False,9,claude-opus-4-7,2d_conv,False,6.65863660256294,0.029652924515076017,0,65373,28512,0,93885,True
cutile,Stencil/Conv,False,9,claude-opus-4-7,2d_conv,False,19.545232094822232,0.07957497579420093,0,65373,28512,0,93885,True
triton,Stencil/Conv,False,0,gpt-5.5,2d_conv,False,,0.038965197816611376,0,34016,20073,17294,71383,False
cutile,Stencil/Conv,False,0,gpt-5.5,2d_conv,False,,0.0,0,34016,20073,17294,71383,False
triton,Stencil/Conv,False,1,gpt-5.5,2d_conv,False,,0.0,0,37943,11663,8774,58380,False
cutile,Stencil/Conv,False,1,gpt-5.5,2d_conv,False,,0.04282970865923384,0,37943,11663,8774,58380,False
triton,Stencil/Conv,False,2,gpt-5.5,2d_conv,False,,0.026510850334808357,0,38411,15912,12901,67224,False
cutile,Stencil/Conv,False,2,gpt-5.5,2d_conv,False,,0.0,0,38411,15912,12901,67224,False
triton,Stencil/Conv,False,3,gpt-5.5,2d_conv,False,,0.030305712639990177,0,38304,17316,13258,68878,False
cutile,Stencil/Conv,False,3,gpt-5.5,2d_conv,False,,0.02674158261962961,0,38304,17316,13258,68878,False
triton,Stencil/Conv,False,4,gpt-5.5,2d_conv,False,,0.03781077166042862,0,39319,13342,10358,63019,False
cutile,Stencil/Conv,False,4,gpt-5.5,2d_conv,False,,0.0,0,39319,13342,10358,63019,False
triton,Stencil/Conv,False,5,gpt-5.5,2d_conv,False,,0.03499985605537487,0,38469,18811,14502,71782,False
cutile,Stencil/Conv,False,5,gpt-5.5,2d_conv,False,,0.04280739487779257,0,38469,18811,14502,71782,False
triton,Stencil/Conv,False,6,gpt-5.5,2d_conv,False,4.7758883310578915,0.018956120579381584,0,39826,16721,12228,68775,True
cutile,Stencil/Conv,False,6,gpt-5.5,2d_conv,False,,0.0,0,39826,16721,12228,68775,False
triton,Stencil/Conv,False,7,gpt-5.5,2d_conv,False,5.1336276525868865,0.022319792145615105,0,40245,13972,9296,63513,True
cutile,Stencil/Conv,False,7,gpt-5.5,2d_conv,False,5.813320549812651,0.022579194873877627,0,40245,13972,9296,63513,True
triton,Stencil/Conv,False,8,gpt-5.5,2d_conv,False,,0.0398503960760561,0,40498,13837,10756,65091,False
cutile,Stencil/Conv,False,8,gpt-5.5,2d_conv,False,,0.0,0,40498,13837,10756,65091,False
triton,Stencil/Conv,False,9,gpt-5.5,2d_conv,False,5.446700368302897,0.02318386132194246,0,43962,13193,8286,65441,True
cutile,Stencil/Conv,False,9,gpt-5.5,2d_conv,False,5.811438533061147,0.024895354172400064,0,43962,13193,8286,65441,True
triton,Stencil/Conv,False,0,claude-opus-4-7,2d_max_pooling,False,5.793569707357056,0.36832595500073834,0,54031,11017,0,65048,True
cutile,Stencil/Conv,False,0,claude-opus-4-7,2d_max_pooling,False,,0.0,0,54031,11017,0,65048,False
triton,Stencil/Conv,False,1,claude-opus-4-7,2d_max_pooling,False,2.8680070568724614,0.23721121264732914,0,57979,5649,0,63628,True
cutile,Stencil/Conv,False,1,claude-opus-4-7,2d_max_pooling,False,1.438505817857992,0.157934302594822,0,57979,5649,0,63628,True
triton,Stencil/Conv,False,2,claude-opus-4-7,2d_max_pooling,False,5.803715116334906,0.36861695545721074,0,58879,5331,0,64210,True
cutile,Stencil/Conv,False,2,claude-opus-4-7,2d_max_pooling,False,,0.0,0,58879,5331,0,64210,False
triton,Stencil/Conv,False,3,claude-opus-4-7,2d_max_pooling,False,2.8976269614743186,0.24422189430388838,0,59324,5971,0,65295,True
cutile,Stencil/Conv,False,3,claude-opus-4-7,2d_max_pooling,False,1.4406963345374295,0.14058484959089243,0,59324,5971,0,65295,True
triton,Stencil/Conv,False,4,claude-opus-4-7,2d_max_pooling,False,4.5690503486205,0.3672156014335486,0,59884,28362,0,88246,True
cutile,Stencil/Conv,False,4,claude-opus-4-7,2d_max_pooling,False,1.2874027576905038,0.13428878353005286,0,59884,28362,0,88246,True
triton,Stencil/Conv,False,5,claude-opus-4-7,2d_max_pooling,False,5.773170720065787,0.3661367786397259,0,60046,12825,0,72871,True
cutile,Stencil/Conv,False,5,claude-opus-4-7,2d_max_pooling,False,0.7937536493984705,0.10473294811880485,0,60046,12825,0,72871,True
triton,Stencil/Conv,False,6,claude-opus-4-7,2d_max_pooling,False,2.6940844306798937,0.2916542525389943,0,60240,25074,0,85314,True
cutile,Stencil/Conv,False,6,claude-opus-4-7,2d_max_pooling,False,1.4383232607448246,0.15792546327743998,0,60240,25074,0,85314,True
triton,Stencil/Conv,False,7,claude-opus-4-7,2d_max_pooling,False,1.4376441361188887,0.11998745075831026,0,60667,27801,0,88468,True
cutile,Stencil/Conv,False,7,claude-opus-4-7,2d_max_pooling,False,1.4382663410693572,0.15793138067476795,0,60667,27801,0,88468,True
triton,Stencil/Conv,False,8,claude-opus-4-7,2d_max_pooling,False,3.8058635488075607,0.3203339754991967,0,60812,17306,0,78118,True
cutile,Stencil/Conv,False,8,claude-opus-4-7,2d_max_pooling,False,1.5823135509619828,0.14711475083892855,0,60812,17306,0,78118,True
triton,Stencil/Conv,False,9,claude-opus-4-7,2d_max_pooling,False,2.9762538994686976,0.24995651768644553,0,60453,13991,0,74444,True
cutile,Stencil/Conv,False,9,claude-opus-4-7,2d_max_pooling,False,1.8276881277941066,0.16227838427482563,0,60453,13991,0,74444,True
triton,Stencil/Conv,False,0,gpt-5.5,2d_max_pooling,False,,0.0,0,33721,11638,10340,55699,False
cutile,Stencil/Conv,False,0,gpt-5.5,2d_max_pooling,False,,0.0,0,33721,11638,10340,55699,False
triton,Stencil/Conv,False,1,gpt-5.5,2d_max_pooling,False,6.993714171423635,0.4493710910315997,0,37056,15448,13428,65932,True
cutile,Stencil/Conv,False,1,gpt-5.5,2d_max_pooling,False,3.749660409162126,0.3364332114461997,0,37056,15448,13428,65932,True
triton,Stencil/Conv,False,2,gpt-5.5,2d_max_pooling,False,2.939415314688897,0.24658664090943336,0,36832,19259,16181,72272,True
cutile,Stencil/Conv,False,2,gpt-5.5,2d_max_pooling,False,,0.0,0,36832,19259,16181,72272,False
triton,Stencil/Conv,False,3,gpt-5.5,2d_max_pooling,False,6.317289197814763,0.44291409475054727,0,40542,12737,10358,63637,True
cutile,Stencil/Conv,False,3,gpt-5.5,2d_max_pooling,False,,0.0,0,40542,12737,10358,63637,False
triton,Stencil/Conv,False,4,gpt-5.5,2d_max_pooling,False,5.294145196819829,0.3903505328765004,0,39648,14137,11912,65697,True
cutile,Stencil/Conv,False,4,gpt-5.5,2d_max_pooling,False,3.749964834586766,0.3339822157730283,0,39648,14137,11912,65697,True
triton,Stencil/Conv,False,5,gpt-5.5,2d_max_pooling,False,6.066394558147975,0.43261195852996853,0,39491,16454,13984,69929,True
cutile,Stencil/Conv,False,5,gpt-5.5,2d_max_pooling,False,4.60730462205864,0.3426884288200451,0,39491,16454,13984,69929,True
triton,Stencil/Conv,False,6,gpt-5.5,2d_max_pooling,False,8.830869817035143,0.6405360228967972,0,38780,20041,14884,73705,True
cutile,Stencil/Conv,False,6,gpt-5.5,2d_max_pooling,False,,0.0,0,38780,20041,14884,73705,False
triton,Stencil/Conv,False,7,gpt-5.5,2d_max_pooling,False,3.3363213043611797,0.26176136328647504,0,42090,19763,13516,75369,True
cutile,Stencil/Conv,False,7,gpt-5.5,2d_max_pooling,False,3.1633862507909476,0.2627472986441515,0,42090,19763,13516,75369,True
triton,Stencil/Conv,False,8,gpt-5.5,2d_max_pooling,False,9.439883539781599,0.6659268071770487,0,45595,17144,12797,75536,True
cutile,Stencil/Conv,False,8,gpt-5.5,2d_max_pooling,False,,0.0,0,45595,17144,12797,75536,False
triton,Stencil/Conv,False,9,gpt-5.5,2d_max_pooling,False,8.376475942645696,0.6056263731187235,0,41954,14513,11128,67595,True
cutile,Stencil/Conv,False,9,gpt-5.5,2d_max_pooling,False,,0.0,0,41954,14513,11128,67595,False
triton,Stencil/Conv,False,0,claude-opus-4-7,3d_conv,False,15.830728950610125,0.10808991345098719,0,54897,15970,0,70867,True
cutile,Stencil/Conv,False,0,claude-opus-4-7,3d_conv,False,,0.0,0,54897,15970,0,70867,False
triton,Stencil/Conv,False,1,claude-opus-4-7,3d_conv,False,12.281912338938916,0.07689757144444148,0,58515,9489,0,68004,True
cutile,Stencil/Conv,False,1,claude-opus-4-7,3d_conv,False,12.469161665239373,0.07748115460078855,0,58515,9489,0,68004,True
triton,Stencil/Conv,False,2,claude-opus-4-7,3d_conv,False,19.056086190358254,0.0850954087500754,0,59317,8969,0,68286,True
cutile,Stencil/Conv,False,2,claude-opus-4-7,3d_conv,False,12.492097105566021,0.08976009638943444,0,59317,8969,0,68286,True
triton,Stencil/Conv,False,3,claude-opus-4-7,3d_conv,False,16.05958440703305,0.09675140707478808,0,60064,13708,0,73772,True
cutile,Stencil/Conv,False,3,claude-opus-4-7,3d_conv,False,13.136615579960422,0.08770492544940507,0,60064,13708,0,73772,True
triton,Stencil/Conv,False,4,claude-opus-4-7,3d_conv,False,18.950840800354566,0.1082752891801045,0,60980,12889,0,73869,True
cutile,Stencil/Conv,False,4,claude-opus-4-7,3d_conv,False,15.12403842987662,0.09604656728396813,0,60980,12889,0,73869,True
triton,Stencil/Conv,False,5,claude-opus-4-7,3d_conv,False,11.354606676952223,0.06524421124751063,0,58709,15606,0,74315,True
cutile,Stencil/Conv,False,5,claude-opus-4-7,3d_conv,False,19.01094790668258,0.13914605662085597,0,58709,15606,0,74315,True
triton,Stencil/Conv,False,6,claude-opus-4-7,3d_conv,False,15.836289372878607,0.10810124004962522,0,60199,4976,0,65175,True
cutile,Stencil/Conv,False,6,claude-opus-4-7,3d_conv,False,17.85007253530155,0.12667816220499017,0,60199,4976,0,65175,True
triton,Stencil/Conv,False,7,claude-opus-4-7,3d_conv,False,,0.0,0,61478,6235,0,67713,False
cutile,Stencil/Conv,False,7,claude-opus-4-7,3d_conv,False,,0.0,0,61478,6235,0,67713,False
triton,Stencil/Conv,False,8,claude-opus-4-7,3d_conv,False,18.940733014417635,0.10828443776359242,0,61082,2964,0,64046,True
cutile,Stencil/Conv,False,8,claude-opus-4-7,3d_conv,False,19.02963548529627,0.13923835707451898,0,61082,2964,0,64046,True
triton,Stencil/Conv,False,9,claude-opus-4-7,3d_conv,False,,0.0,0,59053,14618,0,73671,False
cutile,Stencil/Conv,False,9,claude-opus-4-7,3d_conv,False,,0.0,0,59053,14618,0,73671,False
triton,Stencil/Conv,False,0,gpt-5.5,3d_conv,False,23.777222100325744,0.14490673203660115,0,34107,17521,14502,66130,True
cutile,Stencil/Conv,False,0,gpt-5.5,3d_conv,False,,0.0,0,34107,17521,14502,66130,False
triton,Stencil/Conv,False,1,gpt-5.5,3d_conv,False,,0.06162461943617929,0,38178,18066,15006,71250,False
cutile,Stencil/Conv,False,1,gpt-5.5,3d_conv,False,2.402756051522658,0.01954774076295822,0,38178,18066,15006,71250,True
triton,Stencil/Conv,False,2,gpt-5.5,3d_conv,False,25.758351705101713,0.16033640133235463,0,39766,12543,8731,61040,True
cutile,Stencil/Conv,False,2,gpt-5.5,3d_conv,False,,0.0,0,39766,12543,8731,61040,False
triton,Stencil/Conv,False,3,gpt-5.5,3d_conv,False,51.63360152988643,0.31258335073781507,0,40720,12843,7485,61048,True
cutile,Stencil/Conv,False,3,gpt-5.5,3d_conv,False,7.6747679308678745,0.049187381420215955,0,40720,12843,7485,61048,True
triton,Stencil/Conv,False,4,gpt-5.5,3d_conv,False,36.77073718791999,0.19878229085865667,0,40609,21157,13857,75623,True
cutile,Stencil/Conv,False,4,gpt-5.5,3d_conv,False,,0.0,0,40609,21157,13857,75623,False
triton,Stencil/Conv,False,5,gpt-5.5,3d_conv,False,47.12784687680309,0.2797740004079903,0,48395,20124,10876,79395,True
cutile,Stencil/Conv,False,5,gpt-5.5,3d_conv,False,8.175360657464966,0.05533997907055034,0,48395,20124,10876,79395,True
triton,Stencil/Conv,False,6,gpt-5.5,3d_conv,False,32.30413110342016,0.19363709302682552,0,48227,17428,8711,74366,True
cutile,Stencil/Conv,False,6,gpt-5.5,3d_conv,False,11.33204403938728,0.0700030469766799,0,48227,17428,8711,74366,True
triton,Stencil/Conv,False,7,gpt-5.5,3d_conv,False,29.23091867008753,0.1737748610163376,0,47811,15873,6042,69726,True
cutile,Stencil/Conv,False,7,gpt-5.5,3d_conv,False,8.638518522811792,0.058951590001586285,0,47811,15873,6042,69726,True
triton,Stencil/Conv,False,8,gpt-5.5,3d_conv,False,34.99349625942368,0.2209484891225515,0,52767,15646,8307,76720,True
cutile,Stencil/Conv,False,8,gpt-5.5,3d_conv,False,18.641813485809728,0.10933062156998152,0,52767,15646,8307,76720,True
triton,Stencil/Conv,False,9,gpt-5.5,3d_conv,False,57.494380432810004,0.3369637305695683,0,46689,14724,6730,68143,True
cutile,Stencil/Conv,False,9,gpt-5.5,3d_conv,False,19.273140167449338,0.11396140785975967,0,46689,14724,6730,68143,True
triton,Reduction/Norm,False,0,claude-opus-4-7,argmax,False,1.4059704074969162,0.475011575461553,0,53298,11736,0,65034,True
cutile,Reduction/Norm,False,0,claude-opus-4-7,argmax,False,,0.0,0,53298,11736,0,65034,False
triton,Reduction/Norm,False,1,claude-opus-4-7,argmax,False,1.6139432867051078,0.5305872904066713,0,56483,2684,0,59167,True
cutile,Reduction/Norm,False,1,claude-opus-4-7,argmax,False,0.5499338117086405,0.42929185775928247,0,56483,2684,0,59167,True
triton,Reduction/Norm,False,2,claude-opus-4-7,argmax,False,1.262266987898757,0.40857358735513827,0,55990,3609,0,59599,True
cutile,Reduction/Norm,False,2,claude-opus-4-7,argmax,False,0.8417220398519666,0.44801428447399483,0,55990,3609,0,59599,True
triton,Reduction/Norm,False,3,claude-opus-4-7,argmax,False,1.6781145789154175,0.5295243329828649,0,57089,3044,0,60133,True
cutile,Reduction/Norm,False,3,claude-opus-4-7,argmax,False,1.3354240997413622,0.5341390562037858,0,57089,3044,0,60133,True
triton,Reduction/Norm,False,4,claude-opus-4-7,argmax,False,1.2953725308701494,0.43886190745332665,0,57159,22093,0,79252,True
cutile,Reduction/Norm,False,4,claude-opus-4-7,argmax,False,1.6580773661523494,0.5715116611231787,0,57159,22093,0,79252,True
triton,Reduction/Norm,False,5,claude-opus-4-7,argmax,False,1.5900056884345148,0.5161608217300095,0,57863,3118,0,60981,True
cutile,Reduction/Norm,False,5,claude-opus-4-7,argmax,False,1.6624412603670298,0.5726856865898149,0,57863,3118,0,60981,True
triton,Reduction/Norm,False,6,claude-opus-4-7,argmax,False,1.5842437334279447,0.5177500119326472,0,57371,12835,0,70206,True
cutile,Reduction/Norm,False,6,claude-opus-4-7,argmax,False,1.6113466037099278,0.5638491010302522,0,57371,12835,0,70206,True
triton,Reduction/Norm,False,7,claude-opus-4-7,argmax,False,,0.0,0,58558,9058,0,67616,False
cutile,Reduction/Norm,False,7,claude-opus-4-7,argmax,False,,0.0,0,58558,9058,0,67616,False
triton,Reduction/Norm,False,8,claude-opus-4-7,argmax,False,1.6178439019692812,0.529776646261227,0,58094,2339,0,60433,True
cutile,Reduction/Norm,False,8,claude-opus-4-7,argmax,False,1.6682572315570279,0.5731167665022989,0,58094,2339,0,60433,True
triton,Reduction/Norm,False,9,claude-opus-4-7,argmax,False,1.6125109073300457,0.5286547323223979,0,57619,7297,0,64916,True
cutile,Reduction/Norm,False,9,claude-opus-4-7,argmax,False,1.6656741819022993,0.5712687691124287,0,57619,7297,0,64916,True
triton,Reduction/Norm,False,0,gpt-5.5,argmax,False,1.1149682989790448,0.41605311012256385,0,33124,17978,16554,67656,True
cutile,Reduction/Norm,False,0,gpt-5.5,argmax,False,,0.0,0,33124,17978,16554,67656,False
triton,Reduction/Norm,False,1,gpt-5.5,argmax,False,1.6386155010114718,0.5260371013820705,0,35473,9615,8286,53374,True
cutile,Reduction/Norm,False,1,gpt-5.5,argmax,False,1.5012616081338017,0.5010798365804934,0,35473,9615,8286,53374,True
triton,Reduction/Norm,False,2,gpt-5.5,argmax,False,,0.0,0,35218,15495,13984,64697,False
cutile,Reduction/Norm,False,2,gpt-5.5,argmax,False,,0.0,0,35218,15495,13984,64697,False
triton,Reduction/Norm,False,3,gpt-5.5,argmax,False,1.974125700330131,0.5874690107441951,0,37596,15506,13482,66584,True
cutile,Reduction/Norm,False,3,gpt-5.5,argmax,False,1.8419580675233516,0.5960333228722938,0,37596,15506,13482,66584,True
triton,Reduction/Norm,False,4,gpt-5.5,argmax,False,,0.0,0,36131,15781,13119,65031,False
cutile,Reduction/Norm,False,4,gpt-5.5,argmax,False,,0.0,0,36131,15781,13119,65031,False
triton,Reduction/Norm,False,5,gpt-5.5,argmax,False,,0.0,0,39598,15422,12359,67379,False
cutile,Reduction/Norm,False,5,gpt-5.5,argmax,False,1.6405203681334668,0.5466317713174944,0,39598,15422,12359,67379,True
triton,Reduction/Norm,False,6,gpt-5.5,argmax,False,,0.0,0,39461,15392,13312,68165,False
cutile,Reduction/Norm,False,6,gpt-5.5,argmax,False,1.8381187622476418,0.5893607543699417,0,39461,15392,13312,68165,True
triton,Reduction/Norm,False,7,gpt-5.5,argmax,False,,0.0,0,39024,16570,13441,69035,False
cutile,Reduction/Norm,False,7,gpt-5.5,argmax,False,1.8226639310152668,0.5902021432814923,0,39024,16570,13441,69035,True
triton,Reduction/Norm,False,8,gpt-5.5,argmax,False,,0.6940846354694868,0,40137,17170,15020,72327,False
cutile,Reduction/Norm,False,8,gpt-5.5,argmax,False,,0.7401551014941451,0,40137,17170,15020,72327,False
triton,Reduction/Norm,False,9,gpt-5.5,argmax,False,,0.0,0,38867,22626,18646,80139,False
cutile,Reduction/Norm,False,9,gpt-5.5,argmax,False,1.6759585702275848,0.5771400140498739,0,38867,22626,18646,80139,True
triton,Reduction/Norm,False,0,claude-opus-4-7,batch_normalization,False,,0.0,0,0,0,0,0,False
cutile,Reduction/Norm,False,0,claude-opus-4-7,batch_normalization,False,,0.0,0,0,0,0,0,False
triton,Reduction/Norm,False,1,claude-opus-4-7,batch_normalization,False,2.803629498220843,0.0882459970941444,0,54376,24680,0,79056,True
cutile,Reduction/Norm,False,1,claude-opus-4-7,batch_normalization,False,,0.0,0,54376,24680,0,79056,False
triton,Reduction/Norm,False,2,claude-opus-4-7,batch_normalization,False,14.84848962028338,0.6807428242271913,0,59626,27371,0,86997,True
cutile,Reduction/Norm,False,2,claude-opus-4-7,batch_normalization,False,3.4426291896593906,0.20960618832374425,0,59626,27371,0,86997,True
triton,Reduction/Norm,False,3,claude-opus-4-7,batch_normalization,False,15.071573833273355,0.7042408520006878,0,60266,33551,0,93817,True
cutile,Reduction/Norm,False,3,claude-opus-4-7,batch_normalization,False,9.462600183210062,0.504769476034733,0,60266,33551,0,93817,True
triton,Reduction/Norm,False,4,claude-opus-4-7,batch_normalization,False,15.48128175330252,0.540142302891247,0,61363,11138,0,72501,True
cutile,Reduction/Norm,False,4,claude-opus-4-7,batch_normalization,False,8.391355517044772,0.47269172663813447,0,61363,11138,0,72501,True
triton,Reduction/Norm,False,5,claude-opus-4-7,batch_normalization,False,14.778368088662926,0.7032268441331379,0,66964,13269,0,80233,True
cutile,Reduction/Norm,False,5,claude-opus-4-7,batch_normalization,False,9.113531830459413,0.5044760887289756,0,66964,13269,0,80233,True
triton,Reduction/Norm,False,6,claude-opus-4-7,batch_normalization,False,14.837899084078865,0.6697185221288732,0,67228,12987,0,80215,True
cutile,Reduction/Norm,False,6,claude-opus-4-7,batch_normalization,False,10.221584562646843,0.5428117728707945,0,67228,12987,0,80215,True
triton,Reduction/Norm,False,7,claude-opus-4-7,batch_normalization,False,14.629837944784962,0.6965713340726781,0,65035,9090,0,74125,True
cutile,Reduction/Norm,False,7,claude-opus-4-7,batch_normalization,False,11.359387715799741,0.5703465633813959,0,65035,9090,0,74125,True
triton,Reduction/Norm,False,8,claude-opus-4-7,batch_normalization,False,14.447577963932597,0.679312018823708,0,65314,11050,0,76364,True
cutile,Reduction/Norm,False,8,claude-opus-4-7,batch_normalization,False,9.46598510360793,0.5130046337087252,0,65314,11050,0,76364,True
triton,Reduction/Norm,False,9,claude-opus-4-7,batch_normalization,False,15.237233401244254,0.7045992227831132,0,68575,11805,0,80380,True
