===== tl_fp16 =====
Kernel: kern_kernel

launch__grid_size                                                                               = 256
sm__inst_executed_pipe_alu.avg.pct_of_peak_sustained_active                                     = 6.490539068381969
sm__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active                                     = 0.7178779892984624
sm__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_elapsed                                    = 0.5715501803402223
sm__inst_executed_pipe_xu.avg.pct_of_peak_sustained_active                                      = 0.47419463513292925
sm__inst_executed_pipe_adu.avg.pct_of_peak_sustained_active                                     = 3.7949205964530845
sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_active                                  = 53.952811819568836
sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed                                 = 42.9554043793312
sm__ops_path_tensor_op_hmma_src_bf16_dst_fp32_sparsity_off.avg                                  = None
dram__bytes_read.sum                                                                            = None
dram__bytes_read.sum.pct_of_peak_sustained_elapsed                                              = None
dram__bytes_read.sum.per_second                                                                 = None
dram__bytes_write.sum                                                                           = None
dram__bytes_write.sum.pct_of_peak_sustained_elapsed                                             = None
dram__sectors_read.sum                                                                          = None
dram__sectors_write.sum                                                                         = None
l1tex__t_sector_hit_rate.pct                                                                    = None
lts__t_sector_hit_rate.pct                                                                      = None
l1tex__t_sector_pipe_lsu_mem_global_op_ld_hit_rate.pct                                          = None
l1tex__t_sector_pipe_lsu_mem_global_op_st_hit_rate.pct                                          = None
smsp__sass_inst_executed_op_global_ld.sum                                                       = None
smsp__sass_inst_executed_op_global_st.sum                                                       = None
smsp__sass_inst_executed_op_local_ld.sum                                                        = None
smsp__sass_inst_executed_op_local_st.sum                                                        = None
smsp__sass_inst_executed_op_shared.sum                                                          = None
smsp__sass_inst_executed_op_shared_ld.sum                                                       = None
smsp__sass_inst_executed_op_shared_st.sum                                                       = None
l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum                                                  = None
l1tex__t_sectors_pipe_lsu_mem_global_op_ld_lookup_hit.sum                                       = None
l1tex__t_sectors_pipe_lsu_mem_global_op_ld_lookup_miss.sum                                      = None
l1tex__t_sectors_pipe_lsu_mem_global_op_st.sum                                                  = None
l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum                                                 = None
l1tex__t_requests_pipe_lsu_mem_global_op_st.sum                                                 = None
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.ratio                                 = None
smsp__average_warps_issue_stalled_long_scoreboard_per_issue_active.ratio                        = 21.609964004833273
smsp__average_warps_issue_stalled_short_scoreboard_per_issue_active.ratio                       = 1.8896868971657514
smsp__average_warps_issue_stalled_wait_per_issue_active.ratio                                   = 1.8519892311279758
smsp__average_warps_issue_stalled_barrier_per_issue_active.ratio                                = 0.17739520488414984
smsp__average_warps_issue_stalled_membar_per_issue_active.ratio                                 = 0.0
smsp__average_warps_issue_stalled_math_pipe_throttle_per_issue_active.ratio                     = 0.1179350899879168
smsp__average_warps_issue_stalled_mio_throttle_per_issue_active.ratio                           = 0.4356631123736035
smsp__average_warps_issue_stalled_lg_throttle_per_issue_active.ratio                            = 1.087781909142942
smsp__average_warps_issue_stalled_tex_throttle_per_issue_active.ratio                           = 0.0
smsp__average_warps_issue_stalled_not_selected_per_issue_active.ratio                           = 0.20227723485892352
smsp__average_warps_issue_stalled_branch_resolving_per_issue_active.ratio                       = 0.9515443156042651
smsp__average_warps_issue_stalled_dispatch_stall_per_issue_active.ratio                         = 0.01582769804761198
smsp__average_warps_issue_stalled_drain_per_issue_active.ratio                                  = 0.0009439297903461724
smsp__average_warps_issue_stalled_no_instruction_per_issue_active.ratio                         = 0.42462815593665865
smsp__average_warps_issue_stalled_sleeping_per_issue_active.ratio                               = 0.0
smsp__average_warps_issue_stalled_misc_per_issue_active.ratio                                   = 0.05283276450511945
smsp__pcsamp_sample_count                                                                       = None
smsp__pcsamp_warps_issue_stalled_long_scoreboard                                                = None
smsp__pcsamp_warps_issue_stalled_short_scoreboard                                               = None
smsp__pcsamp_warps_issue_stalled_wait                                                           = None
smsp__pcsamp_warps_issue_stalled_barrier                                                        = None
smsp__pcsamp_warps_issue_stalled_math_pipe_throttle                                             = None
smsp__pcsamp_warps_issue_stalled_mio_throttle                                                   = None
smsp__pcsamp_warps_issue_stalled_lg_throttle                                                    = None
smsp__pcsamp_warps_issue_stalled_not_selected                                                   = None
smsp__pcsamp_warps_issue_stalled_dispatch_stall                                                 = None
smsp__pcsamp_warps_issue_stalled_drain                                                          = None
smsp__pcsamp_warps_issue_stalled_no_instructions                                                = None
smsp__pcsamp_warps_issue_stalled_selected                                                       = None
smsp__pcsamp_warps_issue_stalled_branch_resolving                                               = None
smsp__pcsamp_warps_issue_stalled_membar                                                         = None
