Metric                                                                                                      tl_fp16             tr_fp16             ct_fp16
sm__inst_executed_pipe_xu.avg.pct_of_peak_sustained_active                                                   0.4742              0.1053             0.06649
sm__inst_executed_pipe_adu.avg.pct_of_peak_sustained_active                                                   3.795                4.04               2.348
sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_active                                                53.95               71.86               77.82
sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed                                               42.96               57.05               59.41
sm__ops_path_tensor_op_hmma_src_bf16_dst_fp32_sparsity_off.avg                                                 None                None                None
dram__bytes_read.sum                                                                                           None                None                None
dram__bytes_read.sum.pct_of_peak_sustained_elapsed                                                             None                None                None
dram__bytes_read.sum.per_second                                                                                None                None                None
dram__bytes_write.sum                                                                                          None                None                None
dram__bytes_write.sum.pct_of_peak_sustained_elapsed                                                            None                None                None
dram__sectors_read.sum                                                                                         None                None                None
dram__sectors_write.sum                                                                                        None                None                None
l1tex__t_sector_hit_rate.pct                                                                                   None                None                None
lts__t_sector_hit_rate.pct                                                                                     None                None                None
l1tex__t_sector_pipe_lsu_mem_global_op_ld_hit_rate.pct                                                         None                None                None
l1tex__t_sector_pipe_lsu_mem_global_op_st_hit_rate.pct                                                         None                None                None
smsp__sass_inst_executed_op_global_ld.sum                                                                      None                None                None
smsp__sass_inst_executed_op_global_st.sum                                                                      None                None                None
smsp__sass_inst_executed_op_local_ld.sum                                                                       None                None                None
smsp__sass_inst_executed_op_local_st.sum                                                                       None                None                None
smsp__sass_inst_executed_op_shared.sum                                                                         None                None                None
smsp__sass_inst_executed_op_shared_ld.sum                                                                      None                None                None
smsp__sass_inst_executed_op_shared_st.sum                                                                      None                None                None
l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum                                                                 None                None                None
l1tex__t_sectors_pipe_lsu_mem_global_op_ld_lookup_hit.sum                                                      None                None                None
l1tex__t_sectors_pipe_lsu_mem_global_op_ld_lookup_miss.sum                                                     None                None                None
l1tex__t_sectors_pipe_lsu_mem_global_op_st.sum                                                                 None                None                None
l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum                                                                None                None                None
l1tex__t_requests_pipe_lsu_mem_global_op_st.sum                                                                None                None                None
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.ratio                                                None                None                None
smsp__average_warps_issue_stalled_long_scoreboard_per_issue_active.ratio                                      21.61               6.597               28.81
smsp__average_warps_issue_stalled_short_scoreboard_per_issue_active.ratio                                      1.89               1.363               2.406
smsp__average_warps_issue_stalled_wait_per_issue_active.ratio                                                 1.852               1.267               1.429
smsp__average_warps_issue_stalled_barrier_per_issue_active.ratio                                             0.1774               5.133              0.1984
smsp__average_warps_issue_stalled_membar_per_issue_active.ratio                                                   0                   0                   0
smsp__average_warps_issue_stalled_math_pipe_throttle_per_issue_active.ratio                                  0.1179                   0            0.001336
smsp__average_warps_issue_stalled_mio_throttle_per_issue_active.ratio                                        0.4357               1.068              0.8714
smsp__average_warps_issue_stalled_lg_throttle_per_issue_active.ratio                                          1.088                   0                   0
smsp__average_warps_issue_stalled_tex_throttle_per_issue_active.ratio                                             0                   0                   0
smsp__average_warps_issue_stalled_not_selected_per_issue_active.ratio                                        0.2023                   0            0.006981
smsp__average_warps_issue_stalled_branch_resolving_per_issue_active.ratio                                    0.9515             0.08762              0.2135
smsp__average_warps_issue_stalled_dispatch_stall_per_issue_active.ratio                                     0.01583            0.009891             0.04491
smsp__average_warps_issue_stalled_drain_per_issue_active.ratio                                            0.0009439           0.0007373             0.05028
smsp__average_warps_issue_stalled_no_instruction_per_issue_active.ratio                                      0.4246              0.2258              0.7056
smsp__average_warps_issue_stalled_sleeping_per_issue_active.ratio                                                 0                   0                   0
smsp__average_warps_issue_stalled_misc_per_issue_active.ratio                                               0.05283           0.0009244             0.04722
smsp__pcsamp_sample_count                                                                                      None                None                None
smsp__pcsamp_warps_issue_stalled_long_scoreboard                                                               None                None                None
smsp__pcsamp_warps_issue_stalled_short_scoreboard                                                              None                None                None
smsp__pcsamp_warps_issue_stalled_wait                                                                          None                None                None
smsp__pcsamp_warps_issue_stalled_barrier                                                                       None                None                None
smsp__pcsamp_warps_issue_stalled_math_pipe_throttle                                                            None                None                None
smsp__pcsamp_warps_issue_stalled_mio_throttle                                                                  None                None                None
smsp__pcsamp_warps_issue_stalled_lg_throttle                                                                   None                None                None
smsp__pcsamp_warps_issue_stalled_not_selected                                                                  None                None                None
smsp__pcsamp_warps_issue_stalled_dispatch_stall                                                                None                None                None
smsp__pcsamp_warps_issue_stalled_drain                                                                         None                None                None
smsp__pcsamp_warps_issue_stalled_no_instructions                                                               None                None                None
smsp__pcsamp_warps_issue_stalled_selected                                                                      None                None                None
smsp__pcsamp_warps_issue_stalled_branch_resolving                                                              None                None                None
smsp__pcsamp_warps_issue_stalled_membar                                                                        None                None                None
