===== tl_fp8 =====
Kernel: kern_kernel

launch__grid_size                                                                               = 256
sm__inst_executed_pipe_alu.avg.pct_of_peak_sustained_active                                     = 13.692651394420214
sm__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active                                     = 0.6687234237527004
sm__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_elapsed                                    = 0.5256707460354865
sm__inst_executed_pipe_xu.avg.pct_of_peak_sustained_active                                      = 0.776582040487007
sm__inst_executed_pipe_adu.avg.pct_of_peak_sustained_active                                     = 3.633044762379252
sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_active                                  = 44.17888941437195
sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed                                 = 34.72818348002182
sm__ops_path_tensor_op_hmma_src_bf16_dst_fp32_sparsity_off.avg                                  = None
dram__bytes_read.sum                                                                            = None
dram__bytes_read.sum.pct_of_peak_sustained_elapsed                                              = None
dram__bytes_read.sum.per_second                                                                 = None
dram__bytes_write.sum                                                                           = None
dram__bytes_write.sum.pct_of_peak_sustained_elapsed                                             = None
dram__sectors_read.sum                                                                          = None
dram__sectors_write.sum                                                                         = None
l1tex__t_sector_hit_rate.pct                                                                    = None
lts__t_sector_hit_rate.pct                                                                      = None
l1tex__t_sector_pipe_lsu_mem_global_op_ld_hit_rate.pct                                          = None
l1tex__t_sector_pipe_lsu_mem_global_op_st_hit_rate.pct                                          = None
smsp__sass_inst_executed_op_global_ld.sum                                                       = None
smsp__sass_inst_executed_op_global_st.sum                                                       = None
smsp__sass_inst_executed_op_local_ld.sum                                                        = None
smsp__sass_inst_executed_op_local_st.sum                                                        = None
smsp__sass_inst_executed_op_shared.sum                                                          = None
smsp__sass_inst_executed_op_shared_ld.sum                                                       = None
smsp__sass_inst_executed_op_shared_st.sum                                                       = None
l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum                                                  = None
l1tex__t_sectors_pipe_lsu_mem_global_op_ld_lookup_hit.sum                                       = None
l1tex__t_sectors_pipe_lsu_mem_global_op_ld_lookup_miss.sum                                      = None
l1tex__t_sectors_pipe_lsu_mem_global_op_st.sum                                                  = None
l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum                                                 = None
l1tex__t_requests_pipe_lsu_mem_global_op_st.sum                                                 = None
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.ratio                                 = None
smsp__average_warps_issue_stalled_long_scoreboard_per_issue_active.ratio                        = 14.962590954685858
smsp__average_warps_issue_stalled_short_scoreboard_per_issue_active.ratio                       = 0.7879894038786104
smsp__average_warps_issue_stalled_wait_per_issue_active.ratio                                   = 1.6160058354297362
smsp__average_warps_issue_stalled_barrier_per_issue_active.ratio                                = 0.2104299350380537
smsp__average_warps_issue_stalled_membar_per_issue_active.ratio                                 = 0.0
smsp__average_warps_issue_stalled_math_pipe_throttle_per_issue_active.ratio                     = 0.35903655701684556
smsp__average_warps_issue_stalled_mio_throttle_per_issue_active.ratio                           = 0.0500969254529822
smsp__average_warps_issue_stalled_lg_throttle_per_issue_active.ratio                            = 0.0
smsp__average_warps_issue_stalled_tex_throttle_per_issue_active.ratio                           = 0.0
smsp__average_warps_issue_stalled_not_selected_per_issue_active.ratio                           = 0.3971541333630545
smsp__average_warps_issue_stalled_branch_resolving_per_issue_active.ratio                       = 0.5789819045951025
smsp__average_warps_issue_stalled_dispatch_stall_per_issue_active.ratio                         = 0.12153834824698279
smsp__average_warps_issue_stalled_drain_per_issue_active.ratio                                  = 0.0011646976403528325
smsp__average_warps_issue_stalled_no_instruction_per_issue_active.ratio                         = 0.3915903735311913
smsp__average_warps_issue_stalled_sleeping_per_issue_active.ratio                               = 0.0
smsp__average_warps_issue_stalled_misc_per_issue_active.ratio                                   = 0.08277294366780244
smsp__pcsamp_sample_count                                                                       = None
smsp__pcsamp_warps_issue_stalled_long_scoreboard                                                = None
smsp__pcsamp_warps_issue_stalled_short_scoreboard                                               = None
smsp__pcsamp_warps_issue_stalled_wait                                                           = None
smsp__pcsamp_warps_issue_stalled_barrier                                                        = None
smsp__pcsamp_warps_issue_stalled_math_pipe_throttle                                             = None
smsp__pcsamp_warps_issue_stalled_mio_throttle                                                   = None
smsp__pcsamp_warps_issue_stalled_lg_throttle                                                    = None
smsp__pcsamp_warps_issue_stalled_not_selected                                                   = None
smsp__pcsamp_warps_issue_stalled_dispatch_stall                                                 = None
smsp__pcsamp_warps_issue_stalled_drain                                                          = None
smsp__pcsamp_warps_issue_stalled_no_instructions                                                = None
smsp__pcsamp_warps_issue_stalled_selected                                                       = None
smsp__pcsamp_warps_issue_stalled_branch_resolving                                               = None
smsp__pcsamp_warps_issue_stalled_membar                                                         = None
