Metric                                                                                                       tl_fp8              tr_fp8              ct_fp8
sm__inst_executed_pipe_xu.avg.pct_of_peak_sustained_active                                                   0.7766              0.1936              0.1198
sm__inst_executed_pipe_adu.avg.pct_of_peak_sustained_active                                                   3.633               4.331                2.69
sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_active                                                44.18               66.07               70.09
sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed                                               34.73               49.11               51.71
sm__ops_path_tensor_op_hmma_src_bf16_dst_fp32_sparsity_off.avg                                                 None                None                None
dram__bytes_read.sum                                                                                           None                None                None
dram__bytes_read.sum.pct_of_peak_sustained_elapsed                                                             None                None                None
dram__bytes_read.sum.per_second                                                                                None                None                None
dram__bytes_write.sum                                                                                          None                None                None
dram__bytes_write.sum.pct_of_peak_sustained_elapsed                                                            None                None                None
dram__sectors_read.sum                                                                                         None                None                None
dram__sectors_write.sum                                                                                        None                None                None
l1tex__t_sector_hit_rate.pct                                                                                   None                None                None
lts__t_sector_hit_rate.pct                                                                                     None                None                None
l1tex__t_sector_pipe_lsu_mem_global_op_ld_hit_rate.pct                                                         None                None                None
l1tex__t_sector_pipe_lsu_mem_global_op_st_hit_rate.pct                                                         None                None                None
smsp__sass_inst_executed_op_global_ld.sum                                                                      None                None                None
smsp__sass_inst_executed_op_global_st.sum                                                                      None                None                None
smsp__sass_inst_executed_op_local_ld.sum                                                                       None                None                None
smsp__sass_inst_executed_op_local_st.sum                                                                       None                None                None
smsp__sass_inst_executed_op_shared.sum                                                                         None                None                None
smsp__sass_inst_executed_op_shared_ld.sum                                                                      None                None                None
smsp__sass_inst_executed_op_shared_st.sum                                                                      None                None                None
l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum                                                                 None                None                None
l1tex__t_sectors_pipe_lsu_mem_global_op_ld_lookup_hit.sum                                                      None                None                None
l1tex__t_sectors_pipe_lsu_mem_global_op_ld_lookup_miss.sum                                                     None                None                None
l1tex__t_sectors_pipe_lsu_mem_global_op_st.sum                                                                 None                None                None
l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum                                                                None                None                None
l1tex__t_requests_pipe_lsu_mem_global_op_st.sum                                                                None                None                None
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.ratio                                                None                None                None
smsp__average_warps_issue_stalled_long_scoreboard_per_issue_active.ratio                                      14.96               5.943               23.17
smsp__average_warps_issue_stalled_short_scoreboard_per_issue_active.ratio                                     0.788               1.173               2.088
smsp__average_warps_issue_stalled_wait_per_issue_active.ratio                                                 1.616               1.251               1.706
smsp__average_warps_issue_stalled_barrier_per_issue_active.ratio                                             0.2104               4.335               0.264
smsp__average_warps_issue_stalled_membar_per_issue_active.ratio                                                   0                   0                   0
smsp__average_warps_issue_stalled_math_pipe_throttle_per_issue_active.ratio                                   0.359                   0            0.002201
smsp__average_warps_issue_stalled_mio_throttle_per_issue_active.ratio                                        0.0501              0.8894              0.6729
smsp__average_warps_issue_stalled_lg_throttle_per_issue_active.ratio                                              0                   0                   0
smsp__average_warps_issue_stalled_tex_throttle_per_issue_active.ratio                                             0                   0                   0
smsp__average_warps_issue_stalled_not_selected_per_issue_active.ratio                                        0.3972                   0             0.01108
smsp__average_warps_issue_stalled_branch_resolving_per_issue_active.ratio                                     0.579             0.09402              0.2207
smsp__average_warps_issue_stalled_dispatch_stall_per_issue_active.ratio                                      0.1215             0.01167              0.0386
smsp__average_warps_issue_stalled_drain_per_issue_active.ratio                                             0.001165            0.001228             0.06398
smsp__average_warps_issue_stalled_no_instruction_per_issue_active.ratio                                      0.3916              0.3975               1.145
smsp__average_warps_issue_stalled_sleeping_per_issue_active.ratio                                                 0                   0                   0
smsp__average_warps_issue_stalled_misc_per_issue_active.ratio                                               0.08277            0.001538             0.07027
smsp__pcsamp_sample_count                                                                                      None                None                None
smsp__pcsamp_warps_issue_stalled_long_scoreboard                                                               None                None                None
smsp__pcsamp_warps_issue_stalled_short_scoreboard                                                              None                None                None
smsp__pcsamp_warps_issue_stalled_wait                                                                          None                None                None
smsp__pcsamp_warps_issue_stalled_barrier                                                                       None                None                None
smsp__pcsamp_warps_issue_stalled_math_pipe_throttle                                                            None                None                None
smsp__pcsamp_warps_issue_stalled_mio_throttle                                                                  None                None                None
smsp__pcsamp_warps_issue_stalled_lg_throttle                                                                   None                None                None
smsp__pcsamp_warps_issue_stalled_not_selected                                                                  None                None                None
smsp__pcsamp_warps_issue_stalled_dispatch_stall                                                                None                None                None
smsp__pcsamp_warps_issue_stalled_drain                                                                         None                None                None
smsp__pcsamp_warps_issue_stalled_no_instructions                                                               None                None                None
smsp__pcsamp_warps_issue_stalled_selected                                                                      None                None                None
smsp__pcsamp_warps_issue_stalled_branch_resolving                                                              None                None                None
smsp__pcsamp_warps_issue_stalled_membar                                                                        None                None                None
