operator,mode,dtype,n_cases,baseline_torch_ms,descriptor_torch_ms,baseline_triton_ms,descriptor_triton_ms,baseline_cutile_ms,descriptor_cutile_ms,baseline_speedup_triton,descriptor_speedup_triton,baseline_speedup_cutile,descriptor_speedup_cutile,torch_ms_delta_pct,triton_ms_delta_pct,cutile_ms_delta_pct,descriptor_vs_baseline_speedup
flash_attention,autotune,fp16,20,5.28987,5.30187,8.50579,7.40904,6.8264,6.69763,0.5825,0.653,0.714,0.7205,0.23,-12.89,-1.89,1.14803
flash_decode,default,fp32,20,0.034855,0.040025,0.012215,0.013375,0.04388,0.04453,3.587,3.708,1.1575,1.3735,14.83,9.50,1.48,0.913271
flash_decode,autotune,fp32,20,0.03442,0.039835,0.01362,0.014555,0.047915,0.047765,3.341,3.5315,1.107,1.353,15.73,6.86,-0.31,0.935761
interleave,default,bf16,20,0.053225,0.053325,0.014975,0.06259,0.015025,0.015005,3.4875,0.8345,3.4615,3.4765,0.19,317.96,-0.13,0.239255
interleave,default,fp16,20,0.05333,0.05325,0.01495,0.062605,0.01501,0.01496,3.492,0.8335,3.4715,3.4795,-0.15,318.76,-0.33,0.238799
interleave,default,fp32,20,0.075275,0.075355,0.027325,0.06641,0.031085,0.03109,2.6685,1.0785,2.3595,2.3565,0.11,143.04,0.02,0.411459
interleave,default,int8,20,0.047,0.047195,0.00892,0.059335,0.009275,0.009245,5.035,0.776,4.805,4.8435,0.41,565.19,-0.32,0.150333
interleave,autotune,bf16,20,0.053195,0.053325,0.014875,0.02245,0.01505,0.01496,3.514,2.225,3.433,3.49,0.24,50.92,-0.60,0.662584
interleave,autotune,fp16,20,0.053235,0.053315,0.015,0.022495,0.01508,0.014975,3.4695,2.22,3.419,3.48,0.15,49.97,-0.70,0.666815
interleave,autotune,fp32,20,0.0753,0.075335,0.027135,0.03826,0.030675,0.030805,2.6775,1.844,2.369,2.3685,0.05,41.00,0.42,0.709226
interleave,autotune,int8,20,0.04701,0.04711,0.008475,0.016735,0.009225,0.00908,5.373,2.592,4.904,4.977,0.21,97.46,-1.57,0.506424
kl_divergence,default,float32,20,0.07253,,0.02711,,0.026085,,2.611,,2.6745,,,,,
kl_divergence,default,fp32,0,,0.0726,,0.03124,,0.026125,,1.9425,,2.6805,,,,
kl_divergence,autotune,fp32,20,0.072455,0.072465,0.02398,0.033685,0.02237,0.022455,2.908,1.87,3.019,2.9945,0.01,40.47,0.38,0.71189
l2_norm,default,bf16,20,0.08634,0.086275,0.01084,0.02189,0.01272,0.012715,7.7545,3.662,6.901,6.8995,-0.08,101.94,-0.04,0.495203
l2_norm,default,fp16,20,0.086065,0.085845,0.01076,0.021855,0.01295,0.012905,7.8055,3.6495,6.8,6.801,-0.26,103.11,-0.35,0.492336
l2_norm,default,fp32,20,0.05344,0.05325,0.020215,0.02861,0.01784,0.017845,2.944,1.7805,3.0855,3.062,-0.36,41.53,0.03,0.706571
l2_norm,autotune,bf16,20,0.08615,0.086335,0.01042,0.01838,0.011195,0.01127,8.037,4.357,7.4605,7.4365,0.21,76.39,0.67,0.566921
l2_norm,autotune,fp16,20,0.08577,0.08593,0.010395,0.018305,0.011265,0.01123,8.0485,4.3595,7.3815,7.4315,0.19,76.09,-0.31,0.567878
l2_norm,autotune,fp32,20,0.053515,0.053295,0.01768,0.026135,0.020565,0.021995,3.1315,1.9435,2.875,2.727,-0.41,47.82,6.95,0.676487
layernorm,default,bf16,20,0.02707,0.027275,0.014555,0.0479,0.02265,0.02277,1.798,0.5315,1.252,1.251,0.76,229.10,0.53,0.303862
layernorm,default,fp16,20,0.026935,0.027065,0.014375,0.04755,0.02175,0.02181,1.814,0.532,1.3095,1.309,0.48,230.78,0.28,0.302313
layernorm,default,fp32,20,0.03554,0.035755,0.02058,0.05309,0.022955,0.022965,1.6855,0.6255,1.56,1.5685,0.60,157.97,0.04,0.387644
layernorm,autotune,bf16,20,0.02726,0.027285,0.013035,0.036025,0.018405,0.01896,2.0825,0.7065,1.546,1.523,0.09,176.37,3.02,0.361832
layernorm,autotune,fp16,20,0.02705,0.02712,0.01262,0.035855,0.017455,0.017485,2.117,0.7055,1.5985,1.6055,0.26,184.11,0.17,0.351973
layernorm,autotune,fp32,20,0.03553,0.03573,0.020055,0.04208,0.021625,0.02216,1.784,0.7885,1.6915,1.701,0.56,109.82,2.47,0.476592
matmul_fp32_fp16_fp8,default,fp16,20,0.255145,0.248675,0.3691,0.37287,0.295385,0.297,0.6875,0.653,0.843,0.8245,-2.54,1.02,0.55,0.989889
matmul_fp32_fp16_fp8,default,fp32,20,5.62033,5.63984,3.28173,3.72513,0.57554,0.57414,1.7065,1.505,9.7925,9.8345,0.35,13.51,-0.24,0.880971
matmul_fp32_fp16_fp8,default,fp8_e4m3fn,20,5.8881,5.91094,0.283175,0.293435,0.12218,0.121555,21.573,20.44,45.9935,46.381,0.39,3.62,-0.51,0.965035
matmul_fp32_fp16_fp8,default,fp8_e5m2,20,5.88237,5.90606,0.28471,0.294415,0.13257,0.131925,21.441,20.3365,43.035,43.4435,0.40,3.41,-0.49,0.967036
matmul_fp32_fp16_fp8,autotune,fp16,20,0.243945,0.24503,0.29818,0.354775,0.249055,0.24594,0.8075,0.6745,0.9715,0.984,0.44,18.98,-1.25,0.840476
matmul_fp32_fp16_fp8,autotune,fp32,20,5.62021,5.6394,3.17415,3.14931,0.47382,0.473065,1.751,1.784,11.7065,11.7635,0.34,-0.78,-0.16,1.00789
matmul_fp32_fp16_fp8,autotune,fp8_e4m3fn,20,5.88801,5.90963,0.141515,0.289625,0.111805,0.11068,39.8245,20.3625,50.3325,51.0075,0.37,104.66,-1.01,0.488615
matmul_fp32_fp16_fp8,autotune,fp8_e5m2,20,5.88302,5.90569,0.148705,0.291995,0.12117,0.119845,38.2175,20.195,47.1525,47.9115,0.39,96.36,-1.09,0.509272
matmul_int8,default,int8,20,1.82635,1.82268,0.29991,0.29619,0.5165,0.515885,6.1275,6.158,3.5705,3.5685,-0.20,-1.24,-0.12,1.01256
matmul_int8,autotune,int8,20,1.82668,1.82262,0.243735,0.22757,0.1802,0.18003,7.5295,7.955,10.0285,10.0135,-0.22,-6.63,-0.09,1.07103
matrix_copy,default,bf16,20,0.007995,0.007985,0.007855,0.033955,0.007945,0.007945,1.024,0.263,1.0135,1.006,-0.13,332.27,0.00,0.231336
matrix_copy,default,fp16,20,0.008,0.007955,0.00788,0.033935,0.00799,0.007945,1.018,0.263,1.002,1.005,-0.56,330.65,-0.56,0.232209
matrix_copy,default,fp32,20,0.01338,0.013345,0.013335,0.03688,0.013345,0.013325,1.008,0.365,1,0.998,-0.26,176.57,-0.15,0.361578
matrix_copy,default,int8,20,0.0064,0.006435,0.006255,0.0327,0.00638,0.00637,1.0325,0.2275,1.0045,1.0125,0.55,422.78,-0.16,0.191284
matrix_copy,autotune,bf16,20,0.007955,0.00798,0.00768,0.015075,0.007745,0.00766,1.04,0.493,1.031,1.0395,0.31,96.29,-1.10,0.509453
matrix_copy,autotune,fp16,20,0.00796,0.007975,0.00774,0.01498,0.007745,0.007665,1.034,0.498,1.0285,1.032,0.19,93.54,-1.03,0.516689
matrix_copy,autotune,fp32,20,0.013355,0.0134,0.01365,0.01889,0.013555,0.013985,0.9895,0.6465,0.9735,0.982,0.34,38.39,3.17,0.722605
matrix_copy,autotune,int8,20,0.006375,0.006475,0.004665,0.01293,0.005575,0.005055,1.2845,0.4725,1.141,1.239,1.57,177.17,-9.33,0.360789
matrix_transpose,default,bf16,20,0.182075,0.182145,0.03022,0.06567,0.03017,0.030095,5.8635,2.6765,5.815,5.8335,0.04,117.31,-0.25,0.46018
matrix_transpose,default,fp16,20,0.182005,0.18206,0.03018,0.065685,0.030095,0.030165,5.8865,2.6735,5.8475,5.832,0.03,117.64,0.23,0.459466
matrix_transpose,default,fp32,20,0.200285,0.200785,0.065005,0.07768,0.056525,0.056235,3.0345,2.479,3.4815,3.495,0.25,19.50,-0.51,0.836831
matrix_transpose,default,int8,20,0.1741,0.17411,0.022045,0.045615,0.02484,0.024785,7.509,3.6225,6.7505,6.7575,0.01,106.92,-0.22,0.483284
matrix_transpose,autotune,bf16,20,0.182055,0.181995,0.03004,0.061435,0.03017,0.03013,5.855,2.8535,5.8185,5.813,-0.03,104.51,-0.13,0.488972
matrix_transpose,autotune,fp16,20,0.18202,0.182095,0.02998,0.061405,0.03012,0.030155,5.8645,2.8555,5.8275,5.818,0.04,104.82,0.12,0.488234
matrix_transpose,autotune,fp32,20,0.200375,0.20082,0.056325,0.07372,0.056475,0.05653,3.47,2.6135,3.475,3.468,0.22,30.88,0.10,0.76404
matrix_transpose,autotune,int8,20,0.17408,0.1741,0.018035,0.037545,0.021775,0.02121,9.0195,4.3835,7.6575,7.8525,0.01,108.18,-2.59,0.480357
mean_reduction,default,bf16,20,0.08667,0.086855,0.012045,0.01765,0.016505,0.016525,7.1825,4.606,5.4125,5.427,0.21,46.53,0.12,0.682436
mean_reduction,default,fp16,20,0.08589,0.08609,0.011525,0.017555,0.02851,0.028555,7.4155,4.593,3.84,3.842,0.23,52.32,0.16,0.656508
mean_reduction,default,fp32,20,0.02969,0.02969,0.02028,0.023605,0.020395,0.020405,1.729,1.328,1.706,1.7065,0.00,16.40,0.05,0.85914
mean_reduction,autotune,bf16,20,0.08656,0.08677,0.01118,0.01472,0.01285,0.01275,7.536,5.4855,6.7805,6.8665,0.24,31.66,-0.78,0.759511
mean_reduction,autotune,fp16,20,0.08596,0.086115,0.01106,0.014595,0.012375,0.012245,7.6625,5.496,6.8655,6.967,0.18,31.96,-1.05,0.757794
mean_reduction,autotune,fp32,20,0.02967,0.029705,0.02016,0.022245,0.020495,0.02044,1.6825,1.4115,1.6945,1.7095,0.12,10.34,-0.27,0.906271
quantize_global,default,fp32,20,0.01251,0.012525,0.01234,0.02578,0.01242,0.01244,1.021,0.472,1.0005,1.001,0.12,108.91,0.16,0.478666
quantize_global,autotune,fp32,20,0.012425,0.01247,0.01232,0.01636,0.012185,0.012245,1.0155,0.727,1.01,1.0135,0.36,32.79,0.49,0.753056
rmsnorm,default,bf16,20,0.13414,0.13423,0.012825,0.028945,0.015395,0.015405,10.2155,4.281,8.65,8.6475,0.07,125.69,0.06,0.443082
rmsnorm,default,fp16,20,0.13366,0.133695,0.01244,0.028925,0.014795,0.01488,10.5485,4.2725,8.9535,8.8735,0.03,132.52,0.57,0.430078
rmsnorm,default,fp32,20,0.09357,0.09373,0.02037,0.03698,0.019135,0.019155,4.8435,2.3605,4.812,4.803,0.17,81.54,0.10,0.550838
rmsnorm,autotune,bf16,20,0.13382,0.134325,0.01065,0.023905,0.013185,0.01283,12.092,5.2005,10.201,10.404,0.38,124.46,-2.69,0.445513
rmsnorm,autotune,fp16,20,0.133725,0.133765,0.01081,0.02376,0.01209,0.012055,11.948,5.2075,10.7165,10.8085,0.03,119.80,-0.29,0.454966
rmsnorm,autotune,fp32,20,0.09359,0.093925,0.018115,0.03269,0.02123,0.02124,5.1555,2.6555,4.6055,4.6235,0.36,80.46,0.05,0.554145
softmax,default,fp16,20,0.040725,0.04083,0.01505,0.025345,0.023965,0.023945,2.69,1.5305,1.704,1.7045,0.26,68.41,-0.08,0.593805
softmax,default,fp32,20,0.04144,0.041615,0.021305,0.030875,0.02782,0.027895,1.941,1.2695,1.4315,1.4325,0.42,44.92,0.27,0.69004
softmax,autotune,fp16,20,0.040795,0.040785,0.01374,0.021445,0.02325,0.02328,2.929,1.794,1.7695,1.7655,-0.02,56.08,0.13,0.640709
softmax,autotune,fp32,20,0.04164,0.041675,0.019385,0.029305,0.026305,0.026335,2.0945,1.3275,1.515,1.515,0.08,51.17,0.11,0.661491
streamk_matmul,default,bf16,20,0.251675,0.253135,0.60741,0.537035,3.34143,3.34226,0.377,0.443,0.067,0.066,0.58,-11.59,0.02,1.13104
streamk_matmul,default,fp16,20,0.263925,0.261685,0.616035,0.55821,3.34347,3.34395,0.3875,0.4455,0.0705,0.07,-0.85,-9.39,0.01,1.10359
streamk_matmul,default,fp32,20,6.20854,6.20442,3.65344,3.85626,3.80797,3.80419,1.7185,1.657,1.456,1.4555,-0.07,5.55,-0.10,0.947404
streamk_matmul,autotune,bf16,20,0.25316,0.25138,0.768635,0.671485,3.34045,3.39383,0.3075,0.354,0.0665,0.0655,-0.70,-12.64,1.60,1.14468
streamk_matmul,autotune,fp16,20,0.261955,0.262705,0.755455,0.71211,3.34339,3.3465,0.3185,0.354,0.07,0.0695,0.29,-5.74,0.09,1.06087
streamk_matmul,autotune,fp32,20,6.20377,6.2039,5.13795,5.23257,3.80508,3.84171,1.3595,1.3795,1.457,1.431,0.00,1.84,0.96,0.981917
weight_dequant,default,bf16,20,0.750635,0.753015,0.032015,0.13316,0.120295,0.120565,21.492,5.5165,6.451,6.454,0.32,315.93,0.22,0.240425
weight_dequant,default,fp16,20,0.74855,0.7505,0.032025,0.13322,0.119625,0.11989,21.2775,5.4735,6.4435,6.4425,0.26,315.99,0.22,0.240392
weight_dequant,default,fp32,20,0.51767,0.520005,0.04626,0.13916,0.12859,0.12887,10.484,3.6365,4.1685,4.1765,0.45,200.82,0.22,0.332423
weight_dequant,autotune,bf16,20,0.750645,0.75304,0.030495,0.05856,0.117235,0.11754,22.062,11.407,6.4065,6.522,0.32,92.03,0.26,0.520748
weight_dequant,autotune,fp16,20,0.747925,0.75031,0.030525,0.058625,0.116455,0.11676,21.984,11.391,6.3915,6.492,0.32,92.06,0.26,0.520682
weight_dequant,autotune,fp32,20,0.517165,0.519425,0.046305,0.064975,0.116195,0.116455,10.211,7.074,4.375,4.437,0.44,40.32,0.22,0.712659
