operator,mode,dtype,params,baseline_present,descriptor_present,baseline_torch_ms,descriptor_torch_ms,baseline_triton_ms,descriptor_triton_ms,baseline_cutile_ms,descriptor_cutile_ms,baseline_speedup_triton,descriptor_speedup_triton,baseline_speedup_cutile,descriptor_speedup_cutile,torch_ms_delta_pct,triton_ms_delta_pct,cutile_ms_delta_pct,descriptor_vs_baseline_speedup
argmax,default,fp16,N=4096,1,1,0.0226,0.0226,0.0218,0.029,0.0243,0.0244,1.04,0.78,0.93,0.93,0.00,33.03,0.41,0.751724
argmax,default,fp16,N=5120,1,1,0.0299,0.0298,0.0282,0.0367,0.0319,0.0319,1.06,0.81,0.94,0.93,-0.33,30.14,0.00,0.768392
argmax,default,fp16,N=6144,1,1,0.0347,0.0347,0.034,0.044,0.0386,0.0387,1.02,0.79,0.9,0.9,0.00,29.41,0.26,0.772727
argmax,default,fp16,N=7168,1,1,0.0399,0.0399,0.038,0.0496,0.0434,0.0435,1.05,0.81,0.92,0.92,0.00,30.53,0.23,0.766129
argmax,default,fp16,N=8192,1,1,0.0291,0.0292,0.0431,0.0564,0.0494,0.0495,0.68,0.52,0.59,0.59,0.34,30.86,0.20,0.764184
argmax,default,fp16,N=9216,1,1,0.0314,0.0314,0.0472,0.0623,0.0546,0.0546,0.66,0.5,0.57,0.58,0.00,31.99,0.00,0.757624
argmax,default,fp32,N=1024,1,1,0.0087,0.0087,0.0071,0.0104,0.0063,0.0063,1.23,0.84,1.38,1.38,0.00,46.48,0.00,0.682692
argmax,default,fp32,N=10240,1,1,0.0351,0.0351,0.052,0.0703,0.0569,0.057,0.67,0.5,0.62,0.62,0.00,35.19,0.18,0.739687
argmax,default,fp32,N=11264,1,1,0.0382,0.0382,0.057,0.0768,0.0624,0.0625,0.67,0.5,0.61,0.61,0.00,34.74,0.16,0.742188
argmax,default,fp32,N=12288,1,1,0.0396,0.0396,0.0618,0.0832,0.0676,0.0677,0.64,0.48,0.59,0.58,0.00,34.63,0.15,0.742788
argmax,default,fp32,N=13312,1,1,0.0425,0.0426,0.0668,0.0899,0.0729,0.073,0.64,0.47,0.58,0.58,0.24,34.58,0.14,0.743048
argmax,default,fp32,N=14336,1,1,0.0437,0.0438,0.0713,0.096,0.0778,0.0779,0.61,0.46,0.56,0.56,0.23,34.64,0.13,0.742708
argmax,default,fp32,N=15360,1,1,0.0468,0.0468,0.0762,0.1026,0.0831,0.0833,0.61,0.46,0.56,0.56,0.00,34.65,0.24,0.74269
argmax,default,fp32,N=16384,1,1,0.048,0.048,0.0807,0.1086,0.0881,0.0883,0.59,0.44,0.54,0.54,0.00,34.57,0.23,0.743094
argmax,default,fp32,N=17408,1,1,0.0503,0.0503,0.0855,0.1152,0.0936,0.0937,0.59,0.44,0.54,0.54,0.00,34.74,0.11,0.742188
argmax,default,fp32,N=18432,1,1,0.0511,0.0511,0.0903,0.1212,0.0988,0.099,0.57,0.42,0.52,0.52,0.00,34.22,0.20,0.74505
argmax,default,fp32,N=19456,1,1,0.0535,0.0535,0.0952,0.1277,0.1042,0.1044,0.56,0.42,0.51,0.51,0.00,34.14,0.19,0.745497
argmax,default,fp32,N=2048,1,1,0.0136,0.0136,0.0121,0.0168,0.013,0.013,1.13,0.81,1.05,1.05,0.00,38.84,0.00,0.720238
argmax,default,fp32,N=20480,1,1,0.0544,0.0544,0.0999,0.1339,0.1094,0.1096,0.54,0.41,0.5,0.5,0.00,34.03,0.18,0.746079
argmax,default,fp32,N=3072,1,1,0.0196,0.0196,0.0181,0.0245,0.0196,0.0196,1.08,0.8,1,1,0.00,35.36,0.00,0.738776
argmax,default,fp32,N=4096,1,1,0.0253,0.0253,0.0227,0.031,0.0247,0.0247,1.12,0.82,1.03,1.02,0.00,36.56,0.00,0.732258
argmax,default,fp32,N=5120,1,1,0.0319,0.0319,0.0278,0.0381,0.0303,0.0304,1.15,0.84,1.05,1.05,0.00,37.05,0.33,0.729659
argmax,default,fp32,N=6144,1,1,0.0373,0.0373,0.0324,0.0444,0.0354,0.0355,1.15,0.84,1.05,1.05,0.00,37.04,0.28,0.72973
argmax,default,fp32,N=7168,1,1,0.0436,0.0436,0.0376,0.0511,0.041,0.0411,1.16,0.85,1.06,1.06,0.00,35.90,0.24,0.735812
argmax,default,fp32,N=8192,1,1,0.0307,0.0307,0.0423,0.0574,0.0461,0.0462,0.73,0.53,0.66,0.66,0.00,35.70,0.22,0.736934
argmax,default,fp32,N=9216,1,1,0.0337,0.0337,0.0473,0.064,0.0517,0.0518,0.71,0.53,0.65,0.65,0.00,35.31,0.19,0.739063
argmax,autotune,fp16,N=1024,1,1,0.0086,0.0086,0.0032,0.0067,0.004,0.004,2.68,1.29,2.17,2.17,0.00,109.38,0.00,0.477612
argmax,autotune,fp16,N=10240,1,1,0.0328,0.0328,0.0157,0.0191,0.0262,0.0262,2.09,1.71,1.25,1.25,0.00,21.66,0.00,0.82199
argmax,autotune,fp16,N=11264,1,1,0.035,0.035,0.0185,0.022,0.0309,0.0309,1.89,1.59,1.13,1.13,0.00,18.92,0.00,0.840909
argmax,autotune,fp16,N=12288,1,1,0.0364,0.0364,0.0186,0.022,0.0312,0.0312,1.95,1.65,1.17,1.16,0.00,18.28,0.00,0.845455
argmax,autotune,fp16,N=13312,1,1,0.0385,0.0386,0.0214,0.0249,0.0362,0.0362,1.8,1.55,1.06,1.06,0.26,16.36,0.00,0.859438
argmax,autotune,fp16,N=14336,1,1,0.0399,0.0399,0.0216,0.0251,0.0364,0.0364,1.85,1.59,1.1,1.09,0.00,16.20,0.00,0.860558
argmax,autotune,fp16,N=15360,1,1,0.042,0.042,0.0242,0.028,0.0412,0.0412,1.74,1.5,1.02,1.02,0.00,15.70,0.00,0.864286
argmax,autotune,fp16,N=16384,1,1,0.0433,0.0434,0.0242,0.028,0.0411,0.0411,1.79,1.55,1.05,1.06,0.23,15.70,0.00,0.864286
argmax,autotune,fp16,N=17408,1,1,0.0455,0.0455,0.0271,0.0309,0.0461,0.0461,1.68,1.47,0.99,0.99,0.00,14.02,0.00,0.877023
argmax,autotune,fp16,N=18432,1,1,0.0469,0.0468,0.0271,0.0307,0.0463,0.0463,1.73,1.53,1.01,1.01,-0.21,13.28,0.00,0.882736
argmax,autotune,fp16,N=19456,1,1,0.0489,0.0489,0.0297,0.0336,0.051,0.051,1.65,1.46,0.96,0.96,0.00,13.13,0.00,0.883929
argmax,autotune,fp16,N=2048,1,1,0.014,0.014,0.0049,0.0071,0.0066,0.0066,2.87,1.96,2.11,2.12,0.00,44.90,0.00,0.690141
argmax,autotune,fp16,N=20480,1,1,0.0502,0.0503,0.0298,0.0336,0.051,0.051,1.69,1.49,0.99,0.99,0.20,12.75,0.00,0.886905
argmax,autotune,fp16,N=3072,1,1,0.0191,0.0191,0.0068,0.0098,0.0098,0.0099,2.82,1.95,1.96,1.93,0.00,44.12,1.02,0.693878
argmax,autotune,fp16,N=4096,1,1,0.0227,0.0227,0.0069,0.0099,0.0109,0.0109,3.27,2.28,2.08,2.08,0.00,43.48,0.00,0.69697
argmax,autotune,fp16,N=5120,1,1,0.0299,0.0299,0.0094,0.0126,0.0153,0.0146,3.16,2.38,1.95,2.04,0.00,34.04,-4.58,0.746032
argmax,autotune,fp16,N=6144,1,1,0.0344,0.0344,0.0098,0.0129,0.0154,0.0154,3.52,2.66,2.23,2.23,0.00,31.63,0.00,0.75969
argmax,autotune,fp16,N=7168,1,1,0.0403,0.0402,0.0126,0.0159,0.0204,0.0204,3.18,2.53,1.97,1.97,-0.25,26.19,0.00,0.792453
argmax,autotune,fp16,N=8192,1,1,0.0293,0.0293,0.0129,0.0161,0.0209,0.021,2.26,1.82,1.4,1.4,0.00,24.81,0.48,0.801242
argmax,autotune,fp16,N=9216,1,1,0.0315,0.0315,0.0156,0.019,0.0258,0.0258,2.01,1.66,1.22,1.22,0.00,21.79,0.00,0.821053
argmax,autotune,fp32,N=1024,1,1,0.0087,0.0087,0.0037,0.007,0.0039,0.0039,2.37,1.26,2.23,2.24,0.00,89.19,0.00,0.528571
argmax,autotune,fp32,N=10240,1,1,0.0351,0.0351,0.022,0.0248,0.0224,0.0224,1.6,1.41,1.56,1.56,0.00,12.73,0.00,0.887097
argmax,autotune,fp32,N=11264,1,1,0.0383,0.0382,0.0241,0.0285,0.0257,0.0257,1.59,1.34,1.49,1.48,-0.26,18.26,0.00,0.845614
argmax,autotune,fp32,N=12288,1,1,0.0396,0.0396,0.0259,0.0291,0.0265,0.0265,1.53,1.36,1.49,1.49,0.00,12.36,0.00,0.890034
argmax,autotune,fp32,N=13312,1,1,0.0424,0.0424,0.0278,0.0326,0.0296,0.0297,1.53,1.3,1.43,1.43,0.00,17.27,0.34,0.852761
argmax,autotune,fp32,N=14336,1,1,0.0436,0.0436,0.0296,0.0331,0.0305,0.0304,1.47,1.32,1.43,1.43,0.00,11.82,-0.33,0.89426
argmax,autotune,fp32,N=15360,1,1,0.0468,0.0469,0.0323,0.0377,0.0345,0.0345,1.45,1.24,1.36,1.36,0.21,16.72,0.00,0.856764
argmax,autotune,fp32,N=16384,1,1,0.048,0.048,0.0362,0.0401,0.0365,0.0365,1.32,1.2,1.31,1.31,0.00,10.77,0.00,0.902743
argmax,autotune,fp32,N=17408,1,1,0.0504,0.0503,0.0354,0.0413,0.0375,0.0376,1.42,1.22,1.34,1.34,-0.20,16.67,0.27,0.857143
argmax,autotune,fp32,N=18432,1,1,0.0511,0.0511,0.0368,0.0412,0.0377,0.0377,1.39,1.24,1.35,1.35,0.00,11.96,0.00,0.893204
argmax,autotune,fp32,N=19456,1,1,0.0534,0.0535,0.0384,0.0444,0.0407,0.0408,1.39,1.2,1.31,1.31,0.19,15.63,0.25,0.864865
argmax,autotune,fp32,N=2048,1,1,0.013,0.013,0.0055,0.0076,0.005,0.005,2.38,1.71,2.62,2.62,0.00,38.18,0.00,0.723684
argmax,autotune,fp32,N=20480,1,1,0.0544,0.0545,0.0401,0.0452,0.0414,0.0414,1.36,1.21,1.31,1.31,0.18,12.72,0.00,0.887168
argmax,autotune,fp32,N=3072,1,1,0.0197,0.0196,0.0077,0.0113,0.0086,0.0089,2.56,1.73,2.3,2.2,-0.51,46.75,3.49,0.681416
argmax,autotune,fp32,N=4096,1,1,0.0252,0.0253,0.0099,0.0122,0.0096,0.0096,2.55,2.08,2.62,2.63,0.40,23.23,0.00,0.811475
argmax,autotune,fp32,N=5120,1,1,0.0318,0.0319,0.0121,0.0164,0.0139,0.0133,2.63,1.94,2.29,2.4,0.31,35.54,-4.32,0.737805
argmax,autotune,fp32,N=6144,1,1,0.0373,0.0373,0.0143,0.0165,0.0143,0.0143,2.61,2.26,2.6,2.6,0.00,15.38,0.00,0.866667
argmax,autotune,fp32,N=7168,1,1,0.0436,0.0436,0.0162,0.02,0.0175,0.0175,2.69,2.18,2.49,2.49,0.00,23.46,0.00,0.81
argmax,autotune,fp32,N=8192,1,1,0.0307,0.0306,0.0181,0.0206,0.0183,0.0184,1.69,1.49,1.67,1.67,-0.33,13.81,0.55,0.878641
argmax,autotune,fp32,N=9216,1,1,0.0337,0.0337,0.0201,0.0242,0.0215,0.0216,1.67,1.39,1.57,1.56,0.00,20.40,0.47,0.830579
batch_normalization,default,bf16,N=1000,1,1,0.1165,0.1162,0.0118,0.0239,0.0129,0.0129,9.9,4.87,9.01,8.98,-0.26,102.54,0.00,0.493724
batch_normalization,default,bf16,N=10000,1,1,0.1891,0.1894,0.0676,0.1646,0.0779,0.0781,2.8,1.15,2.43,2.42,0.16,143.49,0.26,0.410693
batch_normalization,default,bf16,N=11000,1,1,0.2062,0.2079,0.0736,0.1799,0.0851,0.0855,2.8,1.16,2.42,2.43,0.82,144.43,0.47,0.409116
batch_normalization,default,bf16,N=12000,1,1,0.2219,0.224,0.0795,0.1954,0.0928,0.093,2.79,1.15,2.39,2.41,0.95,145.79,0.22,0.406858
batch_normalization,default,bf16,N=13000,1,1,0.2465,0.2438,0.0859,0.211,0.0996,0.0999,2.87,1.16,2.47,2.44,-1.10,145.63,0.30,0.407109
batch_normalization,default,bf16,N=14000,1,1,0.2635,0.2636,0.0923,0.2271,0.1072,0.1073,2.86,1.16,2.46,2.46,0.04,146.05,0.09,0.406429
batch_normalization,default,bf16,N=15000,1,1,0.2853,0.2924,0.0986,0.2427,0.1144,0.1146,2.89,1.2,2.49,2.55,2.49,146.15,0.17,0.406263
batch_normalization,default,bf16,N=16000,1,1,0.3189,0.3179,0.1045,0.2585,0.1216,0.122,3.05,1.23,2.62,2.61,-0.31,147.37,0.33,0.404255
batch_normalization,default,bf16,N=17000,1,1,0.3902,0.3854,0.1107,0.2742,0.1285,0.1288,3.53,1.41,3.04,2.99,-1.23,147.70,0.23,0.40372
batch_normalization,default,bf16,N=18000,1,1,0.4079,0.4091,0.1169,0.2908,0.1361,0.1364,3.49,1.41,3,3,0.29,148.76,0.22,0.401994
batch_normalization,default,bf16,N=19000,1,1,0.4009,0.4067,0.1231,0.3069,0.143,0.1434,3.26,1.33,2.8,2.84,1.45,149.31,0.28,0.401108
batch_normalization,default,bf16,N=2000,1,1,0.0681,0.0683,0.0179,0.0392,0.02,0.02,3.81,1.74,3.41,3.41,0.29,118.99,0.00,0.456633
batch_normalization,default,bf16,N=20000,1,1,0.4391,0.4296,0.1291,0.3232,0.1501,0.1505,3.4,1.33,2.93,2.86,-2.16,150.35,0.27,0.399443
batch_normalization,default,bf16,N=3000,1,1,0.0914,0.0912,0.0249,0.0565,0.0276,0.0277,3.67,1.62,3.31,3.3,-0.22,126.91,0.36,0.440708
batch_normalization,default,bf16,N=4000,1,1,0.1052,0.1053,0.0303,0.0709,0.0349,0.035,3.47,1.49,3.01,3.01,0.10,133.99,0.29,0.427362
batch_normalization,default,bf16,N=5000,1,1,0.1368,0.1371,0.037,0.0872,0.0424,0.0425,3.7,1.57,3.23,3.23,0.22,135.68,0.24,0.424312
batch_normalization,default,bf16,N=6000,1,1,0.1381,0.139,0.0428,0.1023,0.0496,0.0498,3.23,1.36,2.78,2.79,0.65,139.02,0.40,0.418377
batch_normalization,default,bf16,N=7000,1,1,0.143,0.1448,0.0489,0.1177,0.0564,0.0566,2.92,1.23,2.54,2.56,1.26,140.70,0.35,0.415463
batch_normalization,default,bf16,N=8000,1,1,0.1695,0.1682,0.0551,0.1335,0.0641,0.0643,3.07,1.26,2.64,2.62,-0.77,142.29,0.31,0.412734
batch_normalization,default,bf16,N=9000,1,1,0.188,0.1912,0.0618,0.1493,0.0713,0.0714,3.04,1.28,2.64,2.68,1.70,141.59,0.14,0.413932
batch_normalization,default,fp16,N=1000,1,1,0.1145,0.1142,0.0118,0.0238,0.013,0.013,9.67,4.8,8.8,8.78,-0.26,101.69,0.00,0.495798
batch_normalization,default,fp16,N=10000,1,1,0.1885,0.189,0.0679,0.1648,0.078,0.0783,2.78,1.15,2.42,2.41,0.27,142.71,0.38,0.412015
batch_normalization,default,fp16,N=11000,1,1,0.2037,0.205,0.0736,0.1801,0.0856,0.0858,2.77,1.14,2.38,2.39,0.64,144.70,0.23,0.408662
batch_normalization,default,fp16,N=12000,1,1,0.2266,0.2222,0.0801,0.1959,0.0925,0.0926,2.83,1.13,2.45,2.4,-1.94,144.57,0.11,0.408882
batch_normalization,default,fp16,N=13000,1,1,0.2367,0.2378,0.0862,0.2115,0.0999,0.1002,2.75,1.12,2.37,2.37,0.46,145.36,0.30,0.407565
batch_normalization,default,fp16,N=14000,1,1,0.2746,0.2689,0.092,0.2266,0.1073,0.1076,2.99,1.19,2.56,2.5,-2.08,146.30,0.28,0.406002
batch_normalization,default,fp16,N=15000,1,1,0.2903,0.2831,0.0983,0.2427,0.1146,0.1151,2.95,1.17,2.53,2.46,-2.48,146.90,0.44,0.405027
batch_normalization,default,fp16,N=16000,1,1,0.319,0.3339,0.1042,0.2583,0.1219,0.1222,3.06,1.29,2.62,2.73,4.67,147.89,0.25,0.403407
batch_normalization,default,fp16,N=17000,1,1,0.3869,0.392,0.1107,0.2747,0.129,0.1293,3.49,1.43,3,3.03,1.32,148.15,0.23,0.402985
batch_normalization,default,fp16,N=18000,1,1,0.4159,0.4138,0.1169,0.2907,0.1363,0.1366,3.56,1.42,3.05,3.03,-0.50,148.67,0.22,0.402133
batch_normalization,default,fp16,N=19000,1,1,0.3981,0.4058,0.1226,0.3067,0.1435,0.1439,3.25,1.32,2.77,2.82,1.93,150.16,0.28,0.399739
batch_normalization,default,fp16,N=2000,1,1,0.0717,0.0718,0.0178,0.0391,0.0202,0.0203,4.02,1.84,3.54,3.53,0.14,119.66,0.50,0.455243
batch_normalization,default,fp16,N=20000,1,1,0.4451,0.4295,0.1292,0.323,0.1506,0.1511,3.45,1.33,2.96,2.84,-3.50,150.00,0.33,0.4
batch_normalization,default,fp16,N=3000,1,1,0.0876,0.0878,0.0243,0.056,0.0281,0.0282,3.6,1.57,3.12,3.12,0.23,130.45,0.36,0.433929
batch_normalization,default,fp16,N=4000,1,1,0.1072,0.1074,0.0303,0.071,0.0347,0.0348,3.54,1.51,3.09,3.09,0.19,134.32,0.29,0.426761
batch_normalization,default,fp16,N=5000,1,1,0.1326,0.1331,0.037,0.0871,0.0424,0.0425,3.59,1.53,3.13,3.13,0.38,135.41,0.24,0.424799
batch_normalization,default,fp16,N=6000,1,1,0.1394,0.1396,0.0432,0.1026,0.0493,0.0494,3.23,1.36,2.83,2.83,0.14,137.50,0.20,0.421053
batch_normalization,default,fp16,N=7000,1,1,0.1409,0.1439,0.0491,0.1181,0.0563,0.0566,2.87,1.22,2.5,2.54,2.13,140.53,0.53,0.415749
batch_normalization,default,fp16,N=8000,1,1,0.1712,0.1707,0.0556,0.1338,0.0643,0.0644,3.08,1.28,2.66,2.65,-0.29,140.65,0.16,0.415546
batch_normalization,default,fp16,N=9000,1,1,0.1848,0.1857,0.0612,0.1489,0.0714,0.0716,3.02,1.25,2.59,2.59,0.49,143.30,0.28,0.411014
batch_normalization,default,fp32,N=1000,1,1,0.084,0.0842,0.0119,0.024,0.0126,0.0126,7.06,3.5,6.65,6.66,0.24,101.68,0.00,0.495833
batch_normalization,default,fp32,N=10000,1,1,0.1343,0.1359,0.0677,0.1675,0.0775,0.0777,1.98,0.81,1.73,1.75,1.19,147.42,0.26,0.404179
batch_normalization,default,fp32,N=11000,1,1,0.1499,0.1499,0.0734,0.1833,0.0845,0.0847,2.04,0.82,1.77,1.77,0.00,149.73,0.24,0.400436
batch_normalization,default,fp32,N=12000,1,1,0.1559,0.1585,0.0797,0.2,0.092,0.0922,1.96,0.79,1.69,1.72,1.67,150.94,0.22,0.3985
batch_normalization,default,fp32,N=13000,1,1,0.1415,0.1522,0.0856,0.2164,0.0991,0.0994,1.65,0.7,1.43,1.53,7.56,152.80,0.30,0.395564
batch_normalization,default,fp32,N=14000,1,1,0.1452,0.1426,0.0921,0.2333,0.1062,0.1064,1.58,0.61,1.37,1.34,-1.79,153.31,0.19,0.394771
batch_normalization,default,fp32,N=15000,1,1,0.1559,0.1599,0.0984,0.2503,0.1129,0.1132,1.58,0.64,1.38,1.41,2.57,154.37,0.27,0.393128
batch_normalization,default,fp32,N=16000,1,1,0.1905,0.1689,0.1042,0.2668,0.1203,0.1206,1.83,0.63,1.58,1.4,-11.34,156.05,0.25,0.390555
batch_normalization,default,fp32,N=17000,1,1,0.2201,0.2276,0.1108,0.2841,0.1273,0.1277,1.99,0.8,1.73,1.78,3.41,156.41,0.31,0.390004
batch_normalization,default,fp32,N=18000,1,1,0.2355,0.2321,0.1171,0.3006,0.1344,0.1348,2.01,0.77,1.75,1.72,-1.44,156.70,0.30,0.389554
batch_normalization,default,fp32,N=19000,1,1,0.2215,0.2394,0.1226,0.3168,0.1415,0.1419,1.81,0.76,1.57,1.69,8.08,158.40,0.28,0.386995
batch_normalization,default,fp32,N=2000,1,1,0.0407,0.0407,0.0182,0.0403,0.02,0.0201,2.24,1.01,2.03,2.03,0.00,121.43,0.50,0.451613
batch_normalization,default,fp32,N=20000,1,1,0.2295,0.2333,0.1289,0.3336,0.1489,0.1493,1.78,0.7,1.54,1.56,1.66,158.81,0.27,0.386391
batch_normalization,default,fp32,N=3000,1,1,0.0497,0.0496,0.025,0.0569,0.0277,0.0278,1.99,0.87,1.79,1.79,-0.20,127.60,0.36,0.439367
batch_normalization,default,fp32,N=4000,1,1,0.0556,0.0559,0.0307,0.072,0.0349,0.035,1.81,0.78,1.6,1.6,0.54,134.53,0.29,0.426389
batch_normalization,default,fp32,N=5000,1,1,0.0854,0.0855,0.037,0.0879,0.0422,0.0423,2.31,0.97,2.02,2.02,0.12,137.57,0.24,0.420933
batch_normalization,default,fp32,N=6000,1,1,0.0828,0.0839,0.0429,0.1034,0.0493,0.0497,1.93,0.81,1.68,1.69,1.33,141.03,0.81,0.414894
batch_normalization,default,fp32,N=7000,1,1,0.081,0.0838,0.049,0.119,0.0563,0.0566,1.65,0.7,1.44,1.48,3.46,142.86,0.53,0.411765
batch_normalization,default,fp32,N=8000,1,1,0.102,0.102,0.0554,0.1352,0.0633,0.0635,1.84,0.75,1.61,1.61,0.00,144.04,0.32,0.409763
batch_normalization,default,fp32,N=9000,1,1,0.1349,0.1353,0.0616,0.1512,0.0704,0.0706,2.19,0.9,1.91,1.92,0.30,145.45,0.28,0.407407
batch_normalization,autotune,bf16,N=1000,1,1,0.1159,0.1163,0.0107,0.0137,0.012,0.0118,10.84,8.48,9.67,9.85,0.35,28.04,-1.67,0.781022
batch_normalization,autotune,bf16,N=10000,1,1,0.1893,0.19,0.0552,0.0695,0.0678,0.0683,3.43,2.73,2.79,2.78,0.37,25.91,0.74,0.794245
batch_normalization,autotune,bf16,N=11000,1,1,0.2089,0.2099,0.0596,0.0752,0.0743,0.0742,3.51,2.79,2.81,2.83,0.48,26.17,-0.13,0.792553
batch_normalization,autotune,bf16,N=12000,1,1,0.2244,0.2272,0.0645,0.0808,0.0804,0.0806,3.48,2.81,2.79,2.82,1.25,25.27,0.25,0.798267
batch_normalization,autotune,bf16,N=13000,1,1,0.2413,0.2443,0.0699,0.0867,0.0865,0.0868,3.45,2.82,2.79,2.82,1.24,24.03,0.35,0.806228
batch_normalization,autotune,bf16,N=14000,1,1,0.2641,0.2624,0.0744,0.0926,0.0926,0.0928,3.55,2.83,2.85,2.83,-0.64,24.46,0.22,0.803456
batch_normalization,autotune,bf16,N=15000,1,1,0.2952,0.2906,0.0797,0.0994,0.0988,0.099,3.71,2.92,2.99,2.93,-1.56,24.72,0.20,0.801811
batch_normalization,autotune,bf16,N=16000,1,1,0.33,0.3264,0.0842,0.1047,0.1049,0.1047,3.92,3.12,3.15,3.12,-1.09,24.35,-0.19,0.804202
batch_normalization,autotune,bf16,N=17000,1,1,0.3824,0.3977,0.0893,0.1109,0.1106,0.1109,4.28,3.59,3.46,3.59,4.00,24.19,0.27,0.80523
batch_normalization,autotune,bf16,N=18000,1,1,0.4294,0.4052,0.0944,0.1167,0.1167,0.1174,4.55,3.47,3.68,3.45,-5.64,23.62,0.60,0.808912
batch_normalization,autotune,bf16,N=19000,1,1,0.4158,0.4079,0.0988,0.1226,0.123,0.1236,4.21,3.33,3.38,3.3,-1.90,24.09,0.49,0.805873
batch_normalization,autotune,bf16,N=2000,1,1,0.0699,0.0691,0.0154,0.0205,0.0186,0.0182,4.54,3.36,3.76,3.8,-1.14,33.12,-2.15,0.75122
batch_normalization,autotune,bf16,N=20000,1,1,0.4257,0.4306,0.104,0.1285,0.1289,0.1296,4.09,3.35,3.3,3.32,1.15,23.56,0.54,0.809339
batch_normalization,autotune,bf16,N=3000,1,1,0.0864,0.087,0.0211,0.0273,0.0251,0.0249,4.09,3.19,3.44,3.5,0.69,29.38,-0.80,0.772894
batch_normalization,autotune,bf16,N=4000,1,1,0.1033,0.1026,0.0258,0.0332,0.031,0.0308,4.01,3.09,3.33,3.34,-0.68,28.68,-0.65,0.777108
batch_normalization,autotune,bf16,N=5000,1,1,0.1363,0.1367,0.031,0.0399,0.0374,0.0373,4.4,3.43,3.64,3.66,0.29,28.71,-0.27,0.776942
batch_normalization,autotune,bf16,N=6000,1,1,0.1383,0.1379,0.0356,0.0455,0.0432,0.0437,3.89,3.03,3.2,3.16,-0.29,27.81,1.16,0.782418
batch_normalization,autotune,bf16,N=7000,1,1,0.1452,0.1459,0.0402,0.0509,0.0495,0.0494,3.61,2.87,2.93,2.95,0.48,26.62,-0.20,0.789784
batch_normalization,autotune,bf16,N=8000,1,1,0.1681,0.1691,0.0455,0.0578,0.0559,0.0558,3.7,2.93,3.01,3.03,0.59,27.03,-0.18,0.787197
batch_normalization,autotune,bf16,N=9000,1,1,0.1984,0.192,0.0504,0.0631,0.0622,0.0622,3.93,3.04,3.19,3.09,-3.23,25.20,0.00,0.798732
batch_normalization,autotune,fp16,N=1000,1,1,0.1145,0.1144,0.0107,0.0138,0.0116,0.0124,10.7,8.3,9.85,9.22,-0.09,28.97,6.90,0.775362
batch_normalization,autotune,fp16,N=10000,1,1,0.1869,0.1909,0.0547,0.0691,0.0681,0.0683,3.42,2.76,2.74,2.8,2.14,26.33,0.29,0.791606
