op,backend,dtype,kernel,duration_ns,conflicts,shared_wavefronts,conflict_score,branch_eff,ipc_gap,diag
3d_conv,cutile,fp32,conv3d_kernel_Kt1_A1f32_1i16t1_p16_A1f32_1i16t1_p16_A1f32_1i16t1_p16_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_I128_I16_I64,33156832.0,2184888.0,118171002.0,1.8489206006732515,99.87321037025755,5.3167131710551985e-05,Mild
3d_conv,triton,fp16,conv3d_kernel,13859488.0,6257444.0,206711924.0,3.0271325808955267,99.71181556195965,6.793456953646526e-06,Mild
3d_conv,triton,fp32,conv3d_kernel,18206432.0,2162026344.0,2714938555.0,79.63444844887107,99.71181556195965,1.0333757175740033e-05,Severe/Moderate
argmax,cutile,fp16,argmax_rowwise_kernel_Kt1_A2f16_1v8l0_2t1_3i16_p16_A1i64_1i16t1_p16_I10_I2048,33184.0,10918.0,2347413.0,0.46510775905219914,100.0,0.0,Likely
argmax,cutile,fp32,argmax_rowwise_kernel_Kt1_A2f32_1v4l0_2t1_3i16_p16_A1i64_1i16t1_p16_I10_I2048,38816.0,66168.0,2648228.0,2.4985764065631813,100.0,0.0,Mild
argmax,triton,fp16,argmax_rowwise_kernel,32480.0,13880.0,2235187.0,0.620977126298605,88.0952380952381,0.0,Confounded
argmax,triton,fp32,argmax_rowwise_kernel,43968.0,36142.0,4462288.0,0.8099432398805276,87.8048780487805,0.0,Confounded
batch_normalization,cutile,bf16,apply_batch_norm_kernel_Kt1_A2bf16_1v8l0_2t1_3i16_p16_A1bf16_1i16t1_p16_A1bf16_1i16t1_p16_A2bf16_1v8l0_2t1_3i16_p16_A1f32_1i16t1_p16_A1f32_1i16t1_p16_Si32_I1024_I1024_I16_I8,23296.0,1655.0,335391.0,0.4934539090196219,100.0,0.0,Likely
batch_normalization,cutile,fp16,apply_batch_norm_kernel_Kt1_A2f16_1v8l0_2t1_3i16_p16_A1f16_1i16t1_p16_A1f16_1i16t1_p16_A2f16_1v8l0_2t1_3i16_p16_A1f32_1i16t1_p16_A1f32_1i16t1_p16_Si32_I1024_I1024_I16_I8,23040.0,509.0,335321.0,0.15179484732539864,100.0,0.0,Likely
batch_normalization,cutile,fp32,apply_batch_norm_kernel_Kt1_A2f32_1v4l0_2t1_3i16_p16_A1f32_1i16t1_p16_A1f32_1i16t1_p16_A2f32_1v4l0_2t1_3i16_p16_A1f32_1i16t1_p16_A1f32_1i16t1_p16_Si32_I1024_I1024_I8_I8,25920.0,0.0,170000.0,0.0,100.0,0.0,No direct conflict
batch_normalization,triton,bf16,apply_batch_norm_kernel,13792.0,38319.0,545789.0,7.020845051842379,,0.0,Mild
batch_normalization,triton,fp16,apply_batch_norm_kernel,13984.0,62872.0,569089.0,11.047832588575776,,0.0,Severe/Moderate
batch_normalization,triton,fp32,compute_block_sums_kernel,37184.0,0.0,1508.0,0.0,,0.0,No direct conflict
batched_matmul,cutile,bf16,bmm_kernel_Kt1_A3bf16_3v8l0_4t1_7i16_p16_A3bf16_3v8l0_4t1_7i16_p16_A3bf16_3v8l0_4t1_7i16_p16_I10_I128_I128_I64_I5_I5_I1,34752.0,26119.0,274437.0,9.517302696065036,98.02199296571249,0.0007119915779101871,Mild
batched_matmul,cutile,fp16,bmm_kernel_Kt1_A3f16_3v8l0_4t1_7i16_p16_A3f16_3v8l0_4t1_7i16_p16_A3f16_3v8l0_4t1_7i16_p16_I10_I128_I128_I64_I5_I5_I1,34848.0,31332.0,279448.0,11.212103861899173,98.02288510491066,0.00039457414230889554,Severe/Moderate
batched_matmul,cutile,fp32,bmm_kernel_Kt1_A3f32_3v4l0_4t1_7i16_p16_A3f32_3v4l0_4t1_7i16_p16_A3f32_3v4l0_4t1_7i16_p16_I10_I128_I128_I64_I5_I5_I1,99808.0,6290316.0,13138968.0,47.87526691594043,99.58756154355092,0.0001255424179941178,Severe/Moderate
batched_matmul,triton,bf16,bmm_kernel,32096.0,17726.0,256090.0,6.921785309852005,99.71181556195965,0.00011374138252029375,Mild
batched_matmul,triton,fp16,bmm_kernel,32064.0,11907.0,255314.0,4.6636690506591885,99.71181556195965,0.00011178615575557771,Mild
batched_matmul,triton,fp32,bmm_kernel,57376.0,19144.0,465166.0,4.115520050906558,99.71181556195965,5.689380073659045e-05,Mild
bitonic_sort,cutile,fp16,bitonic_step_kernel_Kt1_A1f16_1i16t1_p16_Si32_Si32_Si32_I1024,27392.0,15806.0,931790.0,1.6963049614183454,100.0,0.0,Mild
bitonic_sort,cutile,fp32,bitonic_step_kernel_Kt1_A1f32_1i16t1_p16_Si32_Si32_Si32_I512,30432.0,52201.0,1356194.0,3.8490805887653243,100.0,0.0,Mild
bitonic_sort,triton,fp16,bitonic_step_kernel,27744.0,101048.0,1363436.0,7.411275630099249,,0.0,Mild
bitonic_sort,triton,fp32,bitonic_step_kernel,38272.0,41310.0,1384528.0,2.983688303884067,,0.0,Mild
block_sparse_attention,cutile,fp16,block_sparse_attention_kernel_Kt1_A4f16_7v8l0_8t1_ci16_p16_A4f16_7v8l0_8t1_ci16_p16_A4f16_7v8l0_8t1_ci16_p16_A4f16_7v8l0_8t1_ci16_p16_A1i32_1t1_p16_A1i32_1i16t1_p16_I161_I25600_I1_F3fb6a09e667f3bcc_I8_I2_I10240_I64_I64_I64_I2,223232.0,3200231.0,16622333.0,19.252598296520713,98.77176628542445,0.00018703136053477287,Severe/Moderate
block_sparse_attention,triton,fp16,block_sparse_attention_kernel,75712.0,95794.0,5757888.0,1.663700301221559,100.0,-3.4894996892020913e-07,Mild
cross_entropy,cutile,fp16,cross_entropy_kernel_Kt1_A2f16_1v8l0_2t1_3i16_p16_A1i64_1i16t1_p16_A1f16_1i16t1_p16_Si32_I512,14048.0,12213.0,839542.0,1.454721741139812,100.0,0.0,Mild
cross_entropy,cutile,fp32,cross_entropy_kernel_Kt1_A2f32_1v4l0_2t1_3i16_p16_A1i64_1i16t1_p16_A1f32_1i16t1_p16_Si32_I512,13984.0,14423.0,842997.0,1.710919493189181,100.0,0.0,Mild
cross_entropy,triton,fp16,cross_entropy_kernel,10656.0,226.0,61659.0,0.36653205533660943,,0.0,Likely
cross_entropy,triton,fp32,cross_entropy_kernel,10176.0,321.0,61665.0,0.5205546095840428,,0.0,Likely
dequantize_rowwise,cutile,int8,dequantize_rowwise_kernel_Kt1_A2i8_1v16l0_2t1_3i16_p16_A1f32_1i16t1_p16_A2f16_1v8l0_2t1_3i16_p16_I8192_I1024,26432.0,0.0,262144.0,0.0,100.0,0.0,No direct conflict
dequantize_rowwise,triton,int8,dequantize_rowwise_kernel,22208.0,47696.0,1194765.0,3.992082124936703,,0.0,Mild
destindex,cutile,bf16,copy_by_dest_kernel_Kt1_A1bf16_1i16t1_p16_A1i64_1i16t1_p16_A1bf16_1i16t1_p16_I12_I128_I1024,108128.0,79535.0,3334667.0,2.385095723201147,100.0,0.0,Mild
destindex,cutile,fp16,copy_by_dest_kernel_Kt1_A1f16_1i16t1_p16_A1i64_1i16t1_p16_A1f16_1i16t1_p16_I12_I128_I1024,108544.0,79757.0,3333590.0,2.3925257755152853,100.0,0.0,Mild
destindex,cutile,fp32,copy_by_dest_kernel_Kt1_A1f32_1i16t1_p16_A1i64_1i16t1_p16_A1f32_1i16t1_p16_I12_I128_I512,118016.0,117763.0,4665144.0,2.524316505556956,100.0,0.0,Mild
destindex,cutile,int8,copy_by_dest_kernel_Kt1_A1i8_1i16t1_p16_A1i64_1i16t1_p16_A1i8_1i16t1_p16_I12_I128_I1024,104352.0,51698.0,2814993.0,1.836523216931623,100.0,0.0,Mild
destindex,triton,bf16,copy_by_dest_kernel,42880.0,0.0,122880.0,0.0,,0.0,No direct conflict
destindex,triton,fp16,copy_by_dest_kernel,43008.0,0.0,122880.0,0.0,,0.0,No direct conflict
destindex,triton,fp32,copy_by_dest_kernel,85536.0,0.0,491520.0,0.0,,0.0,No direct conflict
destindex,triton,int8,copy_by_dest_kernel,36544.0,0.0,122880.0,0.0,,0.0,No direct conflict
dropout,cutile,bf16,dropout_kernel_Kt1_A1bf16_1i16t1_p16_A1bf16_1i16t1_p16_A1bf16_1i16t1_p16_Sf32_I2048,23968.0,0.0,40960.0,0.0,100.0,0.0,No direct conflict
dropout,cutile,fp16,dropout_kernel_Kt1_A1f16_1i16t1_p16_A1f16_1i16t1_p16_A1f16_1i16t1_p16_Sf32_I2048,24288.0,0.0,81920.0,0.0,100.0,0.0,No direct conflict
dropout,cutile,fp32,dropout_kernel_Kt1_A1f32_1i16t1_p16_A1f32_1i16t1_p16_A1f32_1i16t1_p16_Sf32_I512,42848.0,0.0,491520.0,0.0,100.0,0.0,No direct conflict
dropout,triton,bf16,dropout_kernel,23520.0,0.0,40960.0,0.0,,0.0,No direct conflict
dropout,triton,fp16,dropout_kernel,23680.0,0.0,40960.0,0.0,,0.0,No direct conflict
dropout,triton,fp32,dropout_kernel,42752.0,0.0,40960.0,0.0,,0.0,No direct conflict
flash_attention,cutile,fp16,fwd_kernel_Kt1_A4f16_7v8l0_8t1_ei16_p16_A4f16_7v8l0_8t1_ei16_p16_A4f16_7v8l0_8t1_ei16_p16_A4f16_7v8l0_8t1_ei16_p16_Sf32_Si32_I128_I32_I128_I128_I1_B1_B1,17714400.0,204488.0,7000935.0,2.9208669984794886,99.98074878889078,0.0006174606813376116,Mild
flash_attention,triton,fp16,fwd_kernel,19359744.0,41551785.0,201243107.0,20.647556887501246,99.99144933732363,3.975029926106544e-06,Severe/Moderate
flash_decode,cutile,fp32,fwd_kernel_flash_decode_stage2_Kt1_A4f32_7v4l0_8t1_ci16_p16_A3f32_3v4l0_4i16t1_p16_A1i32_1t1_p16_A4f32_7v4l0_8i16t1_p16_I128_I128_I320,167936.0,0.0,128.0,0.0,100.0,0.0,No direct conflict
flash_decode,triton,fp32,fwd_kernel_flash_decode_stage2,48128.0,0.0,64.0,0.0,100.0,0.0,No direct conflict
fused_activation,cutile,fp32,fused_activation_kernel_Kt1_A1f32_1i16t1_p16_A1f32_1i16t1_p16_A1f32_1i16t1_p16_A1f32_1i16t1_p16_I1024,54624.0,0.0,573440.0,0.0,100.0,0.0,No direct conflict
fused_activation,triton,fp32,fused_activation_kernel,53792.0,0.0,40960.0,0.0,,0.0,No direct conflict
gaussian_blur,cutile,fp16,gaussian_blur_kernel_Kt1_A2f16_1v8l0_2t1_3i16_p16_A1f16_1t1_p16_A2f16_1v8l0_2t1_3i16_p16_I7_I7_I2_I128,1501600.0,49706.0,7039566.0,0.7060946654950035,100.0,0.0,Likely
gaussian_blur,cutile,fp32,gaussian_blur_kernel_Kt1_A2f32_1v4l0_2t1_3i16_p16_A1f32_1t1_p16_A2f32_1v4l0_2t1_3i16_p16_I7_I7_I2_I128,1279904.0,230562.0,8859731.0,2.6023589203780566,100.0,0.0,Mild
gaussian_blur,triton,fp16,gaussian_blur_kernel,1028288.0,0.0,1659520.0,0.0,,0.0,No direct conflict
gaussian_blur,triton,fp32,gaussian_blur_kernel,1274624.0,0.0,1659520.0,0.0,,0.0,No direct conflict
histogramming,cutile,int32,histogram_partial_kernel_Kt1_A1i32_1i16t1_p16_A2i32_1v4l0_2t1_3i16_p16_Si32_Si32_Si32_I2048,1422784.0,0.0,18015686.0,0.0,100.0,0.0,No direct conflict
histogramming,triton,int32,histogram_partial_kernel,813056.0,0.0,15335433.0,0.0,100.0,0.0,No direct conflict
interleave,cutile,bf16,interleave_kernel_Kt1_A1bf16_1i16t1_p16_A1bf16_1i16t1_p16_A1bf16_1i16t1_p16_I1024,29088.0,32092.0,1536348.0,2.0888496616651957,100.0,0.0,Mild
interleave,cutile,fp16,interleave_kernel_Kt1_A1f16_1i16t1_p16_A1f16_1i16t1_p16_A1f16_1i16t1_p16_I4096,29504.0,63647.0,1401216.0,4.542269000639444,100.0,0.0,Mild
interleave,cutile,fp32,interleave_kernel_Kt1_A1f32_1i16t1_p16_A1f32_1i16t1_p16_A1f32_1i16t1_p16_I2048,51840.0,157761.0,2830835.0,5.572949324139344,100.0,0.0,Mild
interleave,cutile,int8,interleave_kernel_Kt1_A1i8_1i16t1_p16_A1i8_1i16t1_p16_A1i8_1i16t1_p16_I2048,17408.0,14102.0,765048.0,1.84328303583566,99.99872004915011,0.0,Mild
interleave,triton,bf16,interleave_kernel,28544.0,12848.0,1360063.0,0.9446621222693361,,0.0,Likely
interleave,triton,fp16,interleave_kernel,28448.0,12709.0,1360331.0,0.9342579122287149,,0.0,Likely
interleave,triton,fp32,interleave_kernel,51744.0,24197.0,2700258.0,0.8960995578940976,,0.0,Likely
interleave,triton,int8,interleave_kernel,16960.0,3908.0,662926.0,0.5895077278610282,,0.0,Likely
jacobi_stencil_2d,cutile,bf16,jacobi_stencil_kernel_Kt1_A2bf16_1v8l0_2t1_3i16_p16_A2bf16_1v8l0_2t1_3i16_p16_Si32_Si32_I4_I512,135872.0,42914.0,6903309.0,0.6216439101885777,,0.0,Likely
jacobi_stencil_2d,cutile,fp16,jacobi_stencil_kernel_Kt1_A2f16_1v8l0_2t1_3i16_p16_A2f16_1v8l0_2t1_3i16_p16_Si32_Si32_I4_I512,136320.0,43210.0,6903815.0,0.6258858326881587,,0.0,Likely
jacobi_stencil_2d,cutile,fp32,jacobi_stencil_kernel_Kt1_A2f32_1v4l0_2t1_3i16_p16_A2f32_1v4l0_2t1_3i16_p16_Si32_Si32_I4_I512,185184.0,850150.0,14201038.0,5.986534223765896,,0.0,Mild
jacobi_stencil_2d,triton,bf16,jacobi_stencil_kernel,163648.0,0.0,821760.0,0.0,,0.0,No direct conflict
jacobi_stencil_2d,triton,fp16,jacobi_stencil_kernel,163200.0,0.0,821760.0,0.0,,0.0,No direct conflict
jacobi_stencil_2d,triton,fp32,jacobi_stencil_kernel,222496.0,0.0,1640960.0,0.0,,0.0,No direct conflict
kl_divergence,cutile,fp32,kl_divergence_kernel_Kt1_A2f32_1v4l0_2t1_3i16_p16_A2f32_1v4l0_2t1_3i16_p16_A1f32_1i16t1_p16_Si32_I2048,99200.0,15351.0,4771811.0,0.32170176061038463,99.73713343237893,-0.00035904497461691776,Likely
kl_divergence,triton,fp32,kl_divergence_kernel,106048.0,1809.0,210584.0,0.8590396231432588,100.0,0.0,Likely
l2_norm,cutile,bf16,l2_norm_kernel_Kt1_A2bf16_1v8l0_2t1_3i16_p16_A2bf16_1v8l0_2t1_3i16_p16_Sf32_I10240_I1024,23232.0,11057.0,112495.0,9.828881283612604,100.0,0.0,Mild
l2_norm,cutile,fp16,l2_norm_kernel_Kt1_A2f16_1v8l0_2t1_3i16_p16_A2f16_1v8l0_2t1_3i16_p16_Sf32_I10240_I1024,22976.0,11083.0,112621.0,9.840971044476607,100.0,0.0,Mild
l2_norm,cutile,fp32,l2_norm_kernel_Kt1_A2f32_1v4l0_2t1_3i16_p16_A2f32_1v4l0_2t1_3i16_p16_Sf32_I10240_I512,33664.0,13010.0,210346.0,6.1850474931779065,100.0,0.0,Mild
l2_norm,triton,bf16,_l2_norm_fwd_kernel,17824.0,29606.0,236956.0,12.494302739749152,,0.0,Severe/Moderate
l2_norm,triton,fp16,_l2_norm_fwd_kernel,18016.0,28341.0,237198.0,11.948245769357246,,0.0,Severe/Moderate
l2_norm,triton,fp32,_l2_norm_fwd_kernel,32480.0,25560.0,237834.0,10.746991599182623,,0.0,Severe/Moderate
layernorm,cutile,bf16,layernorm_kernel_Kt1_A2bf16_1v8l0_2t1_3i16_p16_A1bf16_1i16t1_p16_A1bf16_1i16t1_p16_A2bf16_1v8l0_2t1_3i16_p16_Sf32_I10240_I2048,39104.0,23750.0,390143.0,6.087511502192786,100.0,0.0,Mild
layernorm,cutile,fp16,layernorm_kernel_Kt1_A2f16_1v8l0_2t1_3i16_p16_A1f16_1i16t1_p16_A1f16_1i16t1_p16_A2f16_1v8l0_2t1_3i16_p16_Sf32_I10240_I2048,37952.0,23800.0,373443.0,6.3731278936812314,100.0,0.0,Mild
layernorm,cutile,fp32,layernorm_kernel_Kt1_A2f32_1v4l0_2t1_3i16_p16_A1f32_1i16t1_p16_A1f32_1i16t1_p16_A2f32_1v4l0_2t1_3i16_p16_Sf32_I10240_I2048,38944.0,5638.0,200257.0,2.815382233829529,100.0,0.0,Mild
layernorm,triton,bf16,layernorm_kernel,24640.0,22940.0,442465.0,5.184590871594364,100.0,0.0,Mild
layernorm,triton,fp16,layernorm_kernel,24544.0,26303.0,442476.0,5.9445032046935875,100.0,0.0,Mild
layernorm,triton,fp32,layernorm_kernel,41312.0,19671.0,422981.0,4.650563500488202,100.0,0.0,Mild
leaky_relu,cutile,bf16,leaky_relu_kernel_Kt1_A1bf16_1i16t1_p16_A1bf16_1i16t1_p16_I4096,35008.0,0.0,244148.0,0.0,99.99962765759392,0.0,No direct conflict
leaky_relu,cutile,fp16,leaky_relu_kernel_Kt1_A1f16_1i16t1_p16_A1f16_1i16t1_p16_I4096,34336.0,0.0,244148.0,0.0,99.99962765759392,0.0,No direct conflict
leaky_relu,cutile,fp32,leaky_relu_kernel_Kt1_A1f32_1i16t1_p16_A1f32_1i16t1_p16_I4096,64224.0,0.0,439487.0,0.0,100.0,0.0,No direct conflict
leaky_relu,triton,bf16,leaky_relu_kernel,34560.0,0.0,97670.0,0.0,,0.0,No direct conflict
leaky_relu,triton,fp16,leaky_relu_kernel,33504.0,0.0,97686.0,0.0,,0.0,No direct conflict
leaky_relu,triton,fp32,leaky_relu_kernel,62240.0,0.0,195342.0,0.0,,0.0,No direct conflict
linear_self_attention,cutile,fp32,kv_gemm_kernel_Kt1_A2f32_1v4l0_2t1_3i16_p16_A2f32_1v4l0_2t1_3i16_p16_A2f32_1v4l0_2t1_3i16_p16_Si32_Si32_I16_I64_I32,435264.0,2580076.0,8518625.0,30.287470102275897,94.65171285581152,0.00013619806068149165,Confounded
linear_self_attention,triton,fp32,z_kernel,118208.0,240384.0,448488.0,53.598758495210575,100.0,0.0,Severe/Moderate
matmul_fp32_fp16_fp8,cutile,fp16,matmul_kernel_Kt1_A2f16_1v8l0_2t1_3i16_p16_A2f16_1v8l0_2t1_3i16_p16_A2f16_1v8l0_2t1_3i16_p16_Si32_Si32_I20480_I256_I256_I64_I8,464800.0,6894.0,296458.0,2.3254558824521516,99.92470012412714,0.0006149978480435581,Mild
matmul_fp32_fp16_fp8,cutile,fp32,matmul_kernel_Kt1_A2f32_1v4l0_2t1_3i16_p16_A2f32_1v4l0_2t1_3i16_p16_A2f32_1v4l0_2t1_3i16_p16_Si32_Si32_I20480_I256_I256_I64_I8,867776.0,5598.0,573207.0,0.9766105438349497,99.95840991576924,0.0006283552342966903,Likely
matmul_fp32_fp16_fp8,cutile,fp8_e4m3fn,matmul_kernel_Kt1_A2f8m3fn_1v16l0_2t1_3i16_p16_A2f8m3fn_1v16l0_2t1_3i16_p16_A2f8m3fn_1v16l0_2t1_3i16_p16_Si32_Si32_I20480_I256_I256_I128_I8,222880.0,6874.0,156839.0,4.382838452170697,99.85290484207381,0.0005824507720016692,Mild
matmul_fp32_fp16_fp8,triton,fp16,matmul_kernel,523744.0,29.0,273007.0,0.01062243825249902,99.98057120652807,2.510131222960288e-06,No direct conflict
matmul_fp32_fp16_fp8,triton,fp32,matmul_kernel,1367392.0,128942.0,686780.0,18.774862401351232,99.99026005649168,3.3115025823704514e-06,Severe/Moderate
matmul_fp32_fp16_fp8,triton,fp8_e4m3fn,matmul_kernel,262784.0,1.0,141565.0,0.0007063892911383464,99.96134518747584,4.75239987371423e-06,No direct conflict
matmul_int8,cutile,int8,matmul_kernel_Kt1_A2i8_1v16l0_2t1_3i16_p16_A2u8_1v16l0_2t1_3i16_p16_A2i32_1v4l0_2t1_3i16_p16_Si32_Si32_I5120_I256_I64_I32_I8,342656.0,35919971.0,49463606.0,72.61898980838558,99.97362077528815,0.00012363197521780833,Severe/Moderate
matmul_int8,triton,int8,matmul_kernel,340928.0,1987092.0,27448468.0,7.239354852154226,100.0,0.0,Mild
matrix_copy,cutile,bf16,matrix_copy_kernel_Kt1_A1bf16_1i16t1_p16_A1bf16_1i16t1_p16_I1024,21824.0,0.0,204800.0,0.0,100.0,0.0,No direct conflict
matrix_copy,cutile,fp16,matrix_copy_kernel_Kt1_A1f16_1i16t1_p16_A1f16_1i16t1_p16_I1024,22432.0,0.0,204800.0,0.0,100.0,0.0,No direct conflict
matrix_copy,cutile,fp32,matrix_copy_kernel_Kt1_A1f32_1i16t1_p16_A1f32_1i16t1_p16_I1024,36032.0,0.0,307200.0,0.0,100.0,0.0,No direct conflict
matrix_copy,cutile,int8,matrix_copy_kernel_Kt1_A1i8_1i16t1_p16_A1i8_1i16t1_p16_I2048,13856.0,0.0,102400.0,0.0,100.0,0.0,No direct conflict
matrix_copy,triton,bf16,matrix_copy_kernel,21984.0,0.0,102400.0,0.0,,0.0,No direct conflict
matrix_copy,triton,fp16,matrix_copy_kernel,21504.0,0.0,102400.0,0.0,,0.0,No direct conflict
matrix_copy,triton,fp32,matrix_copy_kernel,37152.0,0.0,25600.0,0.0,,0.0,No direct conflict
matrix_copy,triton,int8,matrix_copy_kernel,13408.0,0.0,51200.0,0.0,,0.0,No direct conflict
matrix_transpose,cutile,bf16,transpose_kernel_Kt1_A2bf16_1v8l0_2t1_3i16_p16_A2bf16_1v8l0_2t1_3i16_p16_I128,55936.0,289997.0,4274348.0,6.784590304766949,100.0,0.0,Mild
matrix_transpose,cutile,fp16,transpose_kernel_Kt1_A2f16_1v8l0_2t1_3i16_p16_A2f16_1v8l0_2t1_3i16_p16_I128,56768.0,295532.0,4272879.0,6.916460775041839,100.0,0.0,Mild
matrix_transpose,cutile,fp32,transpose_kernel_Kt1_A2f32_1v4l0_2t1_3i16_p16_A2f32_1v4l0_2t1_3i16_p16_I64,107104.0,311872.0,5734207.0,5.438799122529061,100.0,0.0,Mild
matrix_transpose,cutile,int8,transpose_kernel_Kt1_A2i8_1v16l0_2t1_3i16_p16_A2i8_1v16l0_2t1_3i16_p16_I128,32544.0,94070.0,3418344.0,2.7519173026471297,100.0,0.0,Mild
matrix_transpose,triton,bf16,transpose_kernel,57088.0,40507.0,2844917.0,1.4238376725929087,,0.0,Mild
matrix_transpose,triton,fp16,transpose_kernel,56384.0,38970.0,2845927.0,1.3693253551479008,,0.0,Mild
matrix_transpose,triton,fp32,transpose_kernel,106560.0,482059.0,5908436.0,8.158825787399575,,0.0,Mild
matrix_transpose,triton,int8,transpose_kernel,32736.0,270655.0,3638405.0,7.4388365231468185,,0.0,Mild
mean_reduction,cutile,bf16,mean_rowwise_kernel_Kt1_A2bf16_1v8l0_2t1_3i16_p16_A2f32_1i16_3t1_p16_I20480_I1024,25152.0,930.0,111360.0,0.8351293103448276,100.0,0.0,Likely
mean_reduction,cutile,fp16,mean_rowwise_kernel_Kt1_A2f16_1v8l0_2t1_3i16_p16_A2f32_1i16_3t1_p16_I20480_I512,22016.0,2188.0,317484.0,0.6891685880233335,100.0,0.0,Likely
mean_reduction,cutile,fp32,mean_rowwise_kernel_Kt1_A2f32_1v4l0_2t1_3i16_p16_A2f32_1i16_3t1_p16_I20480_I1024,39040.0,492.0,102770.0,0.4787389315948234,100.0,0.0,Likely
mean_reduction,triton,bf16,mean_rowwise_kernel,19968.0,2066.0,204571.0,1.0099183168679822,,0.0,Mild
mean_reduction,triton,fp16,mean_rowwise_kernel,21152.0,1985.0,204522.0,0.9705557348353723,,0.0,Likely
mean_reduction,triton,fp32,mean_rowwise_kernel,37216.0,1295.0,203973.0,0.6348879508562407,,0.0,Likely
