operator,category,representative_dtype,representative_case,torch_baseline_class,torch_internal_path,torch_vs_dsl_primary_explanation,triton_cutile_algorithm_aligned,triton_cutile_task_decomposition_aligned,triton_cutile_precision_aligned,triton_cutile_hardware_path_aligned,faster_backend,csv_gap_ratio,primary_backend_gap_mechanism,secondary_backend_gap_mechanism,triton_csv_latency,cutile_csv_latency,torch_csv_latency,cutile_over_triton_instruction_ratio,triton_tensor_pipeline_pct,cutile_tensor_pipeline_pct,triton_alu_pipeline_pct,cutile_alu_pipeline_pct,triton_registers_per_thread,cutile_registers_per_thread,triton_smem_per_cta,cutile_smem_per_cta,triton_achieved_occupancy,cutile_achieved_occupancy,triton_bank_conflict_pct,cutile_bank_conflict_pct,triton_tma_path,cutile_tma_path,triton_mma_path,cutile_mma_path,key_stall_evidence,memory_transaction_evidence,report_section_or_page,relevant_code_paths,confidence,recommended_paper_location
dequantize_rowwise,Point-wise,int8,"cols=8192, rows=4096",eager_multi_kernel,"(state_x.unsqueeze(1) * x * (1/127)).to(fp16) -> broadcast mul, scale, cast as separate kernels with two full fp32 intermediates (report p30)",report p30: eager fusion/materialization: traffic inflated from ~96 MB to ~608 MB + generic mixed-dtype broadcast path -> torch ~8-9x slower,"yes (same per-(row,chunk) CTA decomposition, CHUNK in {256,512,1024})",yes,"yes (fp32 internal, fp16 out)",yes,triton,1.2072538860103628 (cutile/triton at representative case; CSV),memory_coalescing,fixed_tile_lowering_overhead,0.0193 ms,0.0233 ms,0.1856 ms,~2.1x (report p30: dynamic instructions),NA,NA,NA,NA,NA,NA,NA,NA,NA (report p30: cuTile higher occupancy and issue activity - qualitative),NA,"3.992 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=int8)","0 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=int8)",none,none,none,none,"report p30: cuTile fixed 128-thread mapping, ~8 int8 per thread -> LDG.E.64 (~2x load instructions) vs Triton fewer threads per chunk -> LDG.E.128; 2.1x instructions compress to ~1.19x single-kernel gap",report p30: DRAM bytes ~100 MB on both sides; torch ~608 MB vs ~96 MB intrinsic,NVIDIA_Report(2).pdf p30,"benchmarks/operators/dequantize_rowwise/impl_triton.py:tl.load,tl.store ; impl_cutile.py:ct.load,ct.store",high,RQ3 main text
destindex,Data Layout,fp16,seq_len=40960,generic_aten_kernel,"index_copy_(0, dest_loc, kv) x2 -> generic ATen index_elementwise kernel (OffsetCalculator, int64 indexing; report p21-22)","report p22: generic ATen indexing template + int64/stride math (Compute ~63%, ~1.4 TB/s, instruction-bound) vs shape-specialized int32 addressing; DSLs 1.6-1.7x+ faster",yes (flat elementwise scatter decomposition),yes,yes,yes (no TC/TMA),triton,2.5215419501133787 (cutile/triton at representative case; CSV),gather_scatter_lowering,memory_coalescing,0.0441 ms,0.1112 ms,0.1922 ms,NA,NA,NA,NA,NA,NA (report p22: higher register occupancy - qualitative),NA,NA,NA (report p22: shared-memory staging - qualitative),NA,NA,"0 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp16)","2.393 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp16)",none,none (ct.scatter),none,none,"report p22: cuTile ct.scatter per-element lowering cannot merge adjacent d-lanes into vector stores; Compute 70-76% but only 1.4-4.4 TB/s; Triton Compute low, DRAM ~78%, ~6.0 TB/s; gap grows 1.5x (fp32) -> 2.5x (fp16/bf16) -> ~2.9x (int8)","report p22: Triton DRAM util ~78%, ~6.0 TB/s; cuTile 1.4-4.4 TB/s across dtypes; torch ~1.4 TB/s","NVIDIA_Report(2).pdf p21-22,p27-29","benchmarks/operators/destindex/impl_triton.py:tl.store(mask) ; impl_cutile.py:ct.gather,ct.scatter",high,Appendix E.1
dropout,Point-wise,fp16,n=20971520,eager_multi_kernel,(x * x_keep) * scale -> 2 elementwise kernels with intermediate (report p32),report p32: fusion advantage exactly quantified: torch ~210 MB vs DSL ~126 MB traffic (1.67x) ~ measured ~1.6x,yes,yes,yes,yes,triton,1.004566210045662 (cutile/triton at representative case; CSV),backend_parity,,0.0219 ms,0.022 ms,0.0354 ms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp16)","0 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp16)",none,none,none,none,"report p32: identical single-pass streaming, ~same wide load/store instructions, DRAM utilization and runtime nearly identical",report p32: torch ~210 MB vs DSL ~126 MB (fp16 large case),NVIDIA_Report(2).pdf p32,"benchmarks/operators/dropout/impl_triton.py:tl.load,tl.store ; impl_cutile.py:ct.load,ct.store",medium,mechanism table only
flash_attention,Matrix Mult./Attn,fp16,seq_len=20480,vendor_library_kernel,"scaled_dot_product_attention -> cuDNN warp-specialized (producer/consumer) FlashAttention kernel, 128x128 query tile, persistent scheduling (report p24)",report p24: torch overlaps TMA/softmax/MMA via warp specialization -> Tensor Core pipe ~79% vs DSLs ~33-36% -> torch ~1.4-1.6x faster; same hardware units,yes (fused FlashAttention family),"yes (one CTA per query tile, serial QK->softmax->PV)",yes,yes (both TMA + tcgen05 MMA; report p24),cutile,1.095504140570073 (triton/cutile at representative case; CSV),register_pressure,tensor_pipeline_scheduling,20.4122 ms,18.6327 ms,15.187 ms,NA,~33-36% (report p24: range for both DSLs),~33-36% (report p24: range for both DSLs),NA,NA,NA (report p25: 128x128 causes high register pressure - qualitative),NA,NA,~230 KB (report p25),NA,NA (report p25: fewer resident CTAs per SM - qualitative),"20.65 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp16)","2.921 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp16)",TMA (report p24: loads Q/K/V via TMA),TMA (report p24),tcgen05 (report p24),tcgen05 (report p24),"report p25: Triton picks 128x64 (register pressure), cuTile 128x128 via SMEM-centric lowering (~230 KB smem) -> fewer K/V loop iterations, ~9% faster after tuning",NA,NVIDIA_Report(2).pdf p24-25,"benchmarks/operators/flash_attention/impl_triton.py:TensorDescriptor,tl.dot ; impl_cutile.py:ct.load,ct.mma",medium,Appendix E.3
flash_decode,Matrix Mult./Attn,fp32,seq_len=40960,eager_multi_kernel,"stage-2 combine via ~20 eager kernels (masked_fill, max, exp, weighted sum, division; report p23)","report p23: eager multi-kernel overhead vs fused-but-underparallelized DSL kernel (batch=2 x heads=8 -> 16 CTAs on 148 SMs, 320 serial blocks) cancel out: 45.1 vs 47.1 us",yes (same online-softmax combine),"yes (one CTA per (batch,head), 320-block traversal)",yes (fp32 accumulator),yes (no TC/TMA/smem on either),triton,3.7161862527716183 (cutile/triton at representative case; CSV),software_pipeline_depth,fixed_tile_lowering_overhead,0.0451 ms,0.1676 ms,0.0471 ms,2.06x (report p23: ~1.01M vs ~0.49M warp instructions),NA (not applicable),NA (not applicable),NA,NA,NA,NA,NA (report p23: no shared-memory path),NA (no shared-memory path),NA,NA,"0 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp32)","0 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp32)",none,none,none,none,report p23: cuTile ~20.2 vs Triton ~11.2 warp-cycles per issued instruction; long-scoreboard ~16.7 vs ~9.2; Triton num_stages=3 overlaps load/compute over the block loop; 2.06x instructions x ~1.8x wait ~ 3.7x,report p23: only 16 CTAs; no other warps to hide latency,NVIDIA_Report(2).pdf p23,"benchmarks/operators/flash_decode/impl_triton.py:tl.load,tl.exp,num_stages ; impl_cutile.py:ct.load,ct.exp,ct.where",high,RQ3 main text
fused_activation,Point-wise,fp32,n=20971520,eager_multi_kernel,"F.silu(x*gate+bias) -> 3 eager kernels, two full fp32 intermediates (report p32-33)","report p32-33: torch ~672 MB vs DSL ~336 MB traffic (2x) matches ~2x speedup; fusion, not codegen",yes,yes,yes,yes,triton,1.0077519379844961 (cutile/triton at representative case; CSV),backend_parity,,0.0516 ms,0.052 ms,0.1032 ms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA (report p32: slightly different occupancy - qualitative),NA,"0 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp32)","0 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp32)",none,none,none,none,report p32: deep memory-bound; instruction-level differences hidden,report p32: both ~84-85% DRAM utilization; torch 672 MB vs 336 MB,NVIDIA_Report(2).pdf p32-33,"benchmarks/operators/fused_activation/impl_triton.py:tl.load,tl.store ; impl_cutile.py:ct.load,ct.exp,ct.store",medium,mechanism table only
gaussian_blur,Stencil/Conv,fp16,input_rows=10240,vendor_library_kernel,"F.conv2d (single channel 7x7) -> cuDNN implicit_convolve_sgemm (degenerate: M=HxW, K=49, N=1; report p15)","report p15: cuDNN takes a degenerate implicit-GEMM path for single-channel 7x7 blur (DRAM util very low, compute high); DSL direct stencil kernels avoid it",yes (2D output tile + 49-tap fp32 accumulation),yes,yes,yes (no TC/TMA),triton,1.486224795368337 (cutile/triton at representative case; CSV),gather_scatter_lowering,fixed_tile_lowering_overhead,1.0018 ms,1.4889 ms,16.2227 ms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp16)","0.7061 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp16)",none,none (broadcast-index ct.gather),none,none,report p16: fp32 ~parity; fp16 cuTile ct.gather lowering for 2-byte elements less able to merge into wider transactions + fp16->fp32 convert + register/ALU overhead -> 1.4-1.5x,report p16: Triton L1 utilization and effective bandwidth clearly above torch (no numbers),NVIDIA_Report(2).pdf p15-16,benchmarks/operators/gaussian_blur/impl_triton.py:tl.load(mask) ; impl_cutile.py:ct.gather,medium,mechanism table only
histogramming,Reduction/Norm,int32,"N=67108864, num_bins=4096",generic_aten_kernel,"torch.bincount(int64 cast, minlength) -> direct_copy (int64 cast), 2x reduce_kernel min/max + 2x Memcpy DtoH, kernelHistogram1D (smem-privatized), direct_copy back to int32 (report p5) [class harmonized with 03_rq1_operator_points.csv; alternative label: vendor_library_kernel]","report p5-6: torch fixed overhead (int64 cast + min/max reduce + 2 DtoH syncs, 189 us of full-array reads) dominates small N (DSL wins); torch core kernel privatizes histogram in shared memory (2.69M smem atomics) vs DSL global atomics -> torch faster at large N (crossover ~4M)",yes (same 256-row global-partial + reduce),yes,yes,"yes (both global atomics, no TC/TMA)",triton,1.7811212386065678 (cutile/triton at representative case; CSV),register_pressure,primitive_availability,0.8009 ms,1.4265 ms,0.6246 ms,NA,NA (not applicable),NA (not applicable),NA,NA,NA (report p6: cuTile materializes offs/valid/row_idx/bin_idx/update tiles -> larger register footprint; no number),NA,NA,NA,21.6% warps_active (report p7),10.8% warps_active (report p7),"0 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=int32)","0 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=int32)",none,none,none,none,report p6-7: global-atomic latency-bound kernel; cuTile 128 threads/CTA vs Triton 256 -> active warps/SM halved -> 1427/822 us = 1.74x (NCU),"report p5: both backends 2,097,152 mem_global_op_atom requests, smem atomics = 0; torch 2.69M smem atomic instructions, global atomics 0",NVIDIA_Report(2).pdf p4-8,benchmarks/operators/histogramming/impl_triton.py:tl.atomic_add ; impl_cutile.py:ct.atomic_add,high,RQ3 main text
interleave,Data Layout,int8,n=20000000,eager_multi_kernel,output[0::2]=A; output[1::2]=B -> two stride-2 strided-store kernels (report p30-31),report p30-31: two launches with stride-2 (uncoalesced) stores vs single fused kernel merging in registers and writing contiguously; largest gap for int8,yes,yes,yes,yes,triton,1.0136986301369864 (cutile/triton at representative case; CSV),backend_parity,,0.0146 ms,0.0148 ms,0.0882 ms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.5895 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=int8)","1.843 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=int8)",none,none,none,none,report p31: no significant DSL gap (parity),NA,NVIDIA_Report(2).pdf p30-31,"benchmarks/operators/interleave/impl_triton.py:tl.load,tl.store ; impl_cutile.py:ct.load,ct.store",medium,mechanism table only
jacobi_stencil_2d,Stencil/Conv,fp32,rows=10240,eager_multi_kernel,"clone + four shifted-slice adds/scale + interior assignment -> multiple kernels, several full intermediates, TensorIterator generic stride path (report p34)","report p34: eager structural cost (materialized intermediates, non-vectorized offset views) vs single fused stencil kernel; 6-8x",yes,"yes (same grid semantics, same tile search space)",yes,yes (no TC/TMA; cuTile ct.gather),cutile,1.2444444444444445 (triton/cutile at representative case; CSV),register_pressure,shared_memory_staging,0.224 ms,0.18 ms,1.3565 ms,NA,NA,NA,NA,NA,NA (report p34: register pressure forces single-row tile - qualitative),NA,NA,NA,NA,NA,"0 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp32)","5.987 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp32)",none,none (ct.gather; report p34: smem staging/tile data path),none,none,"report p34: Triton winner 1x256 (fp16/bf16 1x1024) single-row tile (register-resident state, no vertical halo reuse) vs cuTile 4x512 2D tile sharing input rows -> cuTile ~20% faster in all dtypes",report p34: cuTile DRAM utilization ~60% vs Triton ~50%; memory throughput ~78% vs ~63%; 185 vs 222 us (fp32),NVIDIA_Report(2).pdf p34,benchmarks/operators/jacobi_stencil_2d/impl_triton.py:tl.load(mask) ; impl_cutile.py:ct.gather,high,RQ3 main text
kl_divergence,Reduction/Norm,fp32,"cols=16384, rows=4096",eager_multi_kernel,"(y_true*(log(y_true)-log_y_pred)).sum(-1) -> log, subtract, multiply, reduction: 4 kernels with fp32 intermediates (report p33)",report p33: intrinsic ~537 MB vs torch ~2.3 GB cumulative traffic (~4.3x) matches 3.7-4.0x; fusion gap; F.kl_div has no faster fused path,"yes (one row per CTA, tiled scan, fp32)",yes,yes,partial (report p33-34: cuTile box-load/TMA streaming path vs Triton loads),cutile,1.0858369098712446 (triton/cutile at representative case; CSV),other,backend_parity,0.1012 ms,0.0932 ms,0.3748 ms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA (report p34: cuTile occupancy lower yet slightly faster - qualitative),NA,"0.859 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp32)","0.3217 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp32)",none,box-load/TMA streaming path (report p33-34),none,none,report p33-34: cuTile ~8% faster ('other' = box-load/TMA streaming attains slightly higher DRAM utilization on dense contiguous fp32); log lowering cost symmetric and hidden by memory-bound regime,"report p33-34: cuTile DRAM ~79%, ~6.0 TB/s vs Triton ~74.5%, ~5.7 TB/s",NVIDIA_Report(2).pdf p33-34,"benchmarks/operators/kl_divergence/impl_triton.py:tl.sum,num_stages ; impl_cutile.py:ct.load,ct.sum",medium,mechanism table only
l2_norm,Reduction/Norm,fp16,K=10240,eager_multi_kernel,"vector_norm(dtype=fp32).square(), rsqrt, broadcast multiply, cast -> multiple eager kernels with fp32 intermediates (report p31)",report p31-32: DSL fusion of reduction+normalize+cast (6-8x fp16/bf16); fp32 torch path avoids precision round trip so speedup shrinks to ~3x,yes (two-pass fp32 reduction state),yes,yes,yes,triton,1.2848101265822782 (cutile/triton at representative case; CSV),software_pipeline_depth,fixed_tile_lowering_overhead,0.0158 ms,0.0203 ms,0.1134 ms,NA,NA,NA,NA,NA,NA (report p31: register or local-memory pressure in some cases - qualitative),NA,NA,NA,NA,NA,"11.95 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp16)","9.841 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp16)",none,none,none,none,"report p31: 2-byte elements need more in-flight transactions; Triton warp mapping + num_stages pipelining vs cuTile load->barrier->compute->barrier limits transaction concurrency -> 1.2-1.3x fp16/bf16, ~parity fp32",NA,NVIDIA_Report(2).pdf p31-32,"benchmarks/operators/l2_norm/impl_triton.py:tl.sum,num_stages ; impl_cutile.py:ct.load,ct.sum",medium,mechanism table only
layernorm,Reduction/Norm,fp16,K=10240,generic_aten_kernel,"F.layer_norm -> official fused ATen LayerNorm kernel (Welford reduction, fixed 256 threads/row; report p26)","report p26: fixed generic template + Welford (long dependency chain) vs two-pass sum/sum^2 tunable kernels; part algorithm difference, part template vs specialized","yes (both two-pass sum/sum^2, fp32)",yes,yes,yes,triton,1.6046511627906979 (cutile/triton at representative case; CSV),fixed_tile_lowering_overhead,shared_memory_staging,0.0215 ms,0.0345 ms,0.0509 ms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA (report p26: cuTile occupancy higher yet slower - qualitative),"5.945 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp16)","6.373 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp16)",none,none,none,none,"report p26: cuTile per-instruction efficiency of tile lowering (whole-tile moves, descriptors/addressing, inter-loop barriers, more L1/internal datapath) -> lower effective DRAM throughput; Triton has num_warps/num_stages knobs",NA,NVIDIA_Report(2).pdf p26,"benchmarks/operators/layernorm/impl_triton.py:tl.sum,num_stages ; impl_cutile.py:ct.load,ct.sum",medium,mechanism table only
leaky_relu,Point-wise,fp32,n=50000000,generic_aten_kernel,F.leaky_relu -> single ATen elementwise kernel,CSV only: torch ~parity with both DSLs on all dtypes (n=50M),yes,yes,yes,yes,triton,1.013136288998358 (cutile/triton at representative case; CSV),backend_parity,,0.0609 ms,0.0617 ms,0.061 ms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp32)","0 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp32)",none,none,none,none,not covered in NVIDIA_Report(2),not covered in NVIDIA_Report(2),not covered in NVIDIA_Report(2),"benchmarks/operators/leaky_relu/impl_triton.py:tl.load,tl.store ; impl_cutile.py:ct.load,ct.where,ct.store",low,omit
linear_self_attention,Matrix Mult./Attn,fp32,"D=256, M=10000",mixed_or_other,TF32 enabled: phi_k.T @ V and phi_q @ S -> 2 CUTLASS/cuBLAS TF32 GEMMs (~37.6 us combined; report p22) + eager elementwise/reduction kernels,report p22: vendor GEMM scheduling + DSL explicit decomposition cost (phi -> kv_gemm -> Z reduction -> out_gemm); z_kernel only 8 CTAs at D=256 (~115 us in Triton) - not TC/TMA inequality (all three use TMA + tcgen05),yes,yes (same phi/kv_gemm/z/out_gemm pipeline),yes (TF32),yes (report p22-23: TMA + tcgen05 on all three; GEMM tile search range aligned),triton,2.191047531149054 (cutile/triton at representative case; CSV),runtime_loop_dependency,shared_memory_staging,0.2167 ms,0.4748 ms,0.0934 ms,"NA (report p23: z_kernel ~1.75x, out_gemm ~3.5x, kv_gemm below Triton - per-kernel, no total)",NA,NA (report p23: Tensor Core mostly waiting for data - qualitative),NA,NA,NA,NA,NA,NA,NA,NA,"53.6 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp32)","38.32 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp32)",TMA (host-side TensorDescriptor; report p22),TMA (report p22),tcgen05 (report p22),tcgen05 (report p22-23: kv_gemm 128x32 tcgen05 MMA),"report p23: kv_gemm runtime while K-loop has no software pipeline (unlike Triton num_stages=3), operand movement and MMA serialized, ~50 cycles average wait per instruction; z_kernel deeper long-scoreboard; out_gemm extra shared-memory load/store",report p22-23: z_kernel grid = 8 CTAs on 148 SMs (both backends); out_gemm ~3.5x instructions with many extra LDS/STS,NVIDIA_Report(2).pdf p22-23,"benchmarks/operators/linear_self_attention/impl_triton.py:TensorDescriptor,tl.dot,num_stages ; impl_cutile.py:ct.mma,ct.tfloat32,while-loop K",high,RQ3 main text
matmul_fp32_fp16_fp8,Matrix Mult./Attn,fp32,K=20480,vendor_library_kernel,torch.matmul (TF32 enabled) -> cuBLAS; fp16: nvjet 256x256 2-CTA pair-MMA kernel (report p3); fp8: torch._scaled_mm with BF16 output then cast back to FP8 (report p3),"vendor GEMM reference: FP32 cuTile ~ties PyTorch (0.9145 vs 0.9466 ms), FP16 PyTorch slightly faster (0.4645 vs 0.4834), FP8 both DSLs faster than PyTorch (0.3148 ms) because _scaled_mm adds scaling/epilogue conversion work (p3)","yes (grouped tiled GEMM, FP32 accumulation)",yes,yes,yes (both TMA + Tensor-Core MMA; report p2),cutile,1.5451066156369602 (triton/cutile at representative case; CSV),tensor_pipeline_scheduling,shared_memory_staging,1.413 ms,0.9145 ms,0.9466 ms,NA,52% fp32 (52-69% across dtypes; report p2-3),81% fp32 (79-81% across dtypes; report p2-3),NA,NA,NA,NA,NA (report p2-3: Triton's multi-stage buffers + TMA store staging cannot fit 256x256x64 FP32 tile; constrained to 128x128x32),NA (report p3: cuTile sustains 256x256x64 at one CTA per SM),"NA (report p3: deliberately low occupancy, no number)","NA (report p3: 1 CTA/SM for FP32, no percentage)","18.77 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp32)","0.9766 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp32)",TMA via TensorDescriptor loads+stores (report p2),TMA via native tile abstraction (report p2),Tensor-Core MMA (report p2; generation not stated in report),Tensor-Core MMA (report p2),report p3: FP32 gap explained by tile-size constraint (128x128x32 vs 256x256x64) and Tensor pipeline 52% vs 81%,report p3: TMA loads 21.5 GB (Triton FP32) vs 10.7 GB (cuTile) - smaller tile nearly doubles A/B re-reads,NVIDIA_Report(2).pdf p2-3,"benchmarks/operators/matmul_fp32_fp16_fp8/impl_triton.py:TensorDescriptor,tl.dot ; impl_cutile.py:ct.load,ct.mma,ct.tfloat32",high,Appendix E.3
matmul_int8,Matrix Mult./Attn,int8,K=20480,correctness_or_emulation_baseline,"eager 2-bit unpack of B, cast A/B to fp32, TF32 disabled, torch.matmul(fp32,fp32) -> int32 (torch._int_mm fails with CUBLAS_STATUS_NOT_INITIALIZED on this stack; report p18)","report p18-19: torch is an exact fp32 SIMT emulation (no integer TC, no TMA, plus eager unpack + fp32 materialization) -> ~10x slower than the fused unpack + integer-TC + TMA DSL kernels",yes (fused register unpack + int8 TC GEMM),yes,yes (int32 accumulation),partial (report p19: Triton TMA + legacy IMMA.16832; cuTile TMA + UTCIMMA tcgen05),triton,1.005195599022005 (cutile/triton at representative case; CSV),backend_parity,tensor_pipeline_scheduling,0.3272 ms,0.3289 ms,3.4325 ms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.239 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=int8)","72.62 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=int8)",TMA (UTMALDG/UTMASTG in SASS; report p19),TMA (report p19),legacy IMMA.16832 integer Tensor Core (report p19),UTCIMMA tcgen05 integer MMA (report p19),"report p19: near parity (CSV 1.005) despite different MMA generations; both stop at their load/feed, register-pressure, smem-staging and scheduling balance points; DRAM low on both",report p19: DRAM utilization low on both sides (no numbers),NVIDIA_Report(2).pdf p18-19,"benchmarks/operators/matmul_int8/impl_triton.py:TensorDescriptor,tl.dot ; impl_cutile.py:ct.load,ct.mma",medium,Appendix E.3
matrix_copy,Data Layout,int8,N=5120,generic_aten_kernel,A.clone()/copy -> single ATen copy kernel,"report p29: pure data movement control case; DSLs ~parity with torch for fp16/bf16/fp32, torch int8 slower (CSV)",yes,yes,yes,yes,triton,1.0188679245283019 (cutile/triton at representative case; CSV),backend_parity,,0.0106 ms,0.0108 ms,0.0155 ms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=int8)","0 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=int8)",none,none,none,none,report p29: no dtype-dependent gap after configuration alignment (control case),NA,NVIDIA_Report(2).pdf p26-29,"benchmarks/operators/matrix_copy/impl_triton.py:tl.load,tl.store ; impl_cutile.py:ct.load,ct.store",medium,RQ3 main text
matrix_transpose,Data Layout,int8,n=20480,generic_aten_kernel,"x.transpose(0,1).contiguous() -> ATen strided copy kernel (uncoalesced; CSV: 6.6-11x slower than DSLs)",report p29 (control case) + CSV: torch strided copy vs tiled shared-memory transpose in both DSLs,yes (symmetric smem re-layout),yes,yes,yes,cutile,1.0166112956810631 (triton/cutile at representative case; CSV),backend_parity,,0.0306 ms,0.0301 ms,0.346 ms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.439 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=int8)","2.752 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=int8)",none,none,none,none,"report p29: symmetric control case, essentially no dtype-dependent gap",NA,NVIDIA_Report(2).pdf p26-29,"benchmarks/operators/matrix_transpose/impl_triton.py:tl.load,tl.store ; impl_cutile.py:ct.load,ct.transpose,ct.store",medium,RQ3 main text
mean_reduction,Reduction/Norm,fp16,N=20480,generic_aten_kernel,"x.mean(dim, dtype=float32) -> ATen reduce_kernel<MeanOps<Half,float>> (generic functor/offset calculator; report p14)","report p14: generic ATen reduction template overhead (offset calculator, cast-on-load) lowers load issue efficiency; DSL fused row-wise kernels","yes (one CTA per row, fp32 accumulation)",yes,yes,yes,triton,1.0952380952380951 (cutile/triton at representative case; CSV),register_pressure,other,0.0189 ms,0.0207 ms,0.0276 ms,NA,NA,NA,NA,NA,~30 (report p14),74-78 fp16/fp32 (report p14),NA,NA,~2048 resident threads/SM (report p14),~768 resident threads/SM (report p14),"0.9706 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp16)","0.6892 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp16)",none,none,none,none,"report p14: cuTile register pressure cuts resident threads 2048->768/SM, fewer in-flight loads; bf16 special case (lower regs, higher occupancy but low bandwidth -> bf16->fp32 conversion lowering)",report p14: Triton highest DRAM utilization/effective bandwidth (no numbers),NVIDIA_Report(2).pdf p14,"benchmarks/operators/mean_reduction/impl_triton.py:tl.sum ; impl_cutile.py:ct.load,ct.sum",medium,mechanism table only
moe_topk_gating,Reduction/Norm,fp16,M=20480,generic_aten_kernel,"torch.topk(sorted=True) generic gatherTopK/radix-select + tail sort, fp32 softmax, dtype cast, int64->int32 cast: ~6 kernels (report p35) [class harmonized with 03_rq1_operator_points.csv; alternative label: eager_multi_kernel]","report p35: generic library selection algorithm + unfused execution for E=128,k=2 (working set ~5.7 MB, L2-resident, launch/instruction dominated) vs fused fixed-k kernel; ~10x vs Triton, ~4.7x vs cuTile","yes (two max/argmax rounds, mask, softmax)",yes,yes (fp32 softmax),yes (no TC/TMA),triton,2.1904761904761902 (cutile/triton at representative case; CSV),reduction_granularity,shared_memory_staging,0.0126 ms,0.0276 ms,0.1209 ms,NA (report p35: ~4x global memory instructions - not total),NA (not applicable),NA (not applicable),NA,NA,NA,NA,NA,NA,NA,NA,"0.5766 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp16)","0.9514 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp16)",none,none,none,none,"report p35: Triton winner = 1 warp (32 threads) per row, ~4 elements/lane, register + warp-shuffle reductions, almost no smem instructions; cuTile >=128-thread CTA lowers reduction to shared-memory tree (many LDS/STS) + ~4x global memory instructions -> ~2.2x","report p35: working set ~5.7 MB, L2-resident",NVIDIA_Report(2).pdf p35-36,"benchmarks/operators/moe_topk_gating/impl_triton.py:tl.max,tl.argmax,tl.exp ; impl_cutile.py:ct.max,ct.argmax,ct.exp",high,RQ3 main text
