operator,dtype,ncu_profiled_case_params,sweep_max_case,fig4_sweepmax_case_if_different_BEFORE_fix,torch_csv_latency_ms,triton_csv_latency_ms,cutile_csv_latency_ms,triton_over_torch_speedup,cutile_over_torch_speedup,triton_over_cutile_ratio,torch_kernel_count,triton_kernel_count,cutile_kernel_count,primary_torch_kernel,primary_triton_kernel,primary_cutile_kernel,triton_winning_config,cutile_winning_config,ncu_report_section_or_page,benchmark_source_file,NCU_PROFILE_DURATION_triton_total_us,NCU_PROFILE_DURATION_cutile_total_us,NCU_PROFILE_n_launches_triton,NCU_PROFILE_n_launches_cutile,ncu_over_csv_triton,ncu_over_csv_cutile,catalogue_params_match_fig4_sweepmax_BEFORE_fix
argmax,fp32,N=20480,N=20480,,0.0544,0.0401,0.0358,1.3566084788029926,1.5195530726256983,0.8927680798004988,1 (ATen reduce_kernel<ArgMaxOps>),1,1,reduce_kernel<ArgMaxOps>,argmax_rowwise_kernel,argmax_rowwise_kernel,"{""BLOCK_N"": 1024, ""num_warps"": 4, ""num_stages"": 2}","{""block_n"": 2048, ""occupancy"": 32}",NVIDIA_Report(2).pdf p16,results/csv/argmax_autotune.csv,43.97,38.82,1,1,1.096,1.084,yes
batch_normalization,fp16,N=20000,N=20000,,0.1419,0.0261,0.0419,5.4367816091954015,3.386634844868735,1.6053639846743293,1 (fused BatchNorm),3,3,ATen fused BatchNorm,apply_batch_norm_kernel,apply_batch_norm_kernel,"{""ROWS"": 8, ""num_warps"": 8}","{""rows"": 16, ""occupancy"": 8}",NVIDIA_Report(2).pdf p29,results/csv/batch_normalization_autotune.csv,35.20,51.07,3,3,1.349,1.219,yes
batch_normalization,bf16,N=20000,N=20000,,0.1431,0.0266,0.0416,5.379699248120302,3.4399038461538463,1.5639097744360901,1 (fused BatchNorm),3,3,ATen fused BatchNorm,apply_batch_norm_kernel,apply_batch_norm_kernel,"{""ROWS"": 8, ""num_warps"": 8}","{""rows"": 16, ""occupancy"": 8}",NVIDIA_Report(2).pdf p29,results/csv/batch_normalization_autotune.csv,34.85,50.62,3,3,1.310,1.217,yes
batch_normalization,fp32,N=20000,N=20000,,0.095,0.0576,0.0482,1.6493055555555556,1.9709543568464731,0.8368055555555556,1 (fused BatchNorm),3,3,ATen fused BatchNorm,compute_block_sums_kernel,apply_batch_norm_kernel,"{""ROWS"": 8, ""num_warps"": 8}","{""rows"": 8, ""occupancy"": 4}",NVIDIA_Report(2).pdf p29,results/csv/batch_normalization_autotune.csv,66.21,58.05,3,3,1.149,1.204,yes
batched_matmul,fp16,M=640,M=640,,0.0233,0.0293,0.0318,0.795221843003413,0.7327044025157232,1.0853242320819114,cuBLAS/cuBLASLt,1,1,cuBLAS/cuBLASLt,bmm_kernel,bmm_kernel,"{""BLOCK_SIZE_M"": 128, ""BLOCK_SIZE_N"": 128, ""BLOCK_SIZE_K"": 32, ""GROUPSIZE"": 1, ""num_warps"": 4, ""num_stages"": 4}","{""tile_m"": 128, ""tile_n"": 128, ""tile_k"": 64, ""occupancy"": 4, ""group_size"": 1}",NVIDIA_Report(2).pdf p17,results/csv/batched_matmul_autotune.csv,32.06,34.85,1,1,1.094,1.096,yes
batched_matmul,bf16,M=640,M=640,,0.0229,0.0291,0.0318,0.7869415807560137,0.720125786163522,1.0927835051546393,cuBLAS/cuBLASLt,1,1,cuBLAS/cuBLASLt,bmm_kernel,bmm_kernel,"{""BLOCK_SIZE_M"": 128, ""BLOCK_SIZE_N"": 128, ""BLOCK_SIZE_K"": 32, ""GROUPSIZE"": 1, ""num_warps"": 4, ""num_stages"": 4}","{""tile_m"": 128, ""tile_n"": 128, ""tile_k"": 64, ""occupancy"": 4, ""group_size"": 1}",NVIDIA_Report(2).pdf p17,results/csv/batched_matmul_autotune.csv,32.10,34.75,1,1,1.103,1.093,yes
batched_matmul,fp32,M=640,M=640,,0.0407,0.0546,0.0963,0.7454212454212454,0.42263759086188996,1.7637362637362637,cuBLAS/cuBLASLt,1,1,cuBLAS/cuBLASLt,bmm_kernel,bmm_kernel,"{""BLOCK_SIZE_M"": 128, ""BLOCK_SIZE_N"": 128, ""BLOCK_SIZE_K"": 32, ""GROUPSIZE"": 8, ""num_warps"": 4, ""num_stages"": 3}","{""tile_m"": 128, ""tile_n"": 128, ""tile_k"": 64, ""occupancy"": 4, ""group_size"": 1}",NVIDIA_Report(2).pdf p17,results/csv/batched_matmul_autotune.csv,57.38,99.81,1,1,1.051,1.036,yes
bitonic_sort,fp16,n=10000000,n=10000000,,253.2285,7.3101,7.1421,34.64090778511922,35.45574830932079,0.97701809824763,torch.sort (CUB),301,301,torch.sort,bitonic_step_kernel,bitonic_step_kernel,"{""BLOCK"": 1024, ""num_warps"": 8}","{""tile"": 1024, ""occupancy"": 8}",NVIDIA_Report(2).pdf p32,results/csv/bitonic_sort_autotune.csv,7984.29,7997.34,301,301,1.092,1.120,yes
bitonic_sort,fp32,n=10000000,n=10000000,,265.137,8.0978,8.2327,32.74185581268987,32.20535182868318,1.0166588456123886,torch.sort (CUB),301,301,torch.sort,bitonic_step_kernel,bitonic_step_kernel,"{""BLOCK"": 512, ""num_warps"": 4}","{""tile"": 512, ""occupancy"": 4}",NVIDIA_Report(2).pdf p32,results/csv/bitonic_sort_autotune.csv,9126.69,8995.78,301,301,1.127,1.093,yes
block_sparse_attention,fp16,M=10240,M=10240,,0.1458,0.0705,0.217,2.0680851063829793,0.671889400921659,3.0780141843971633,compiled flex_attention,1,1,compiled flex_attention,block_sparse_attention_kernel,block_sparse_attention_kernel,"{""num_warps"": 2, ""num_stages"": 2}","{""occupancy"": 32}",NVIDIA_Report(2).pdf p24,results/csv/block_sparse_attention_autotune.csv,75.71,223.23,1,1,1.074,1.029,yes
cross_entropy,fp16,batch_size=10240,batch_size=10240,,0.019,0.0076,0.0117,2.5,1.623931623931624,1.5394736842105263,multiple (log_softmax + nll_loss),1,1,NA (not stated in report),cross_entropy_kernel,cross_entropy_kernel,"{""num_warps"": 1}","{""occupancy"": 32}",NVIDIA_Report(2).pdf p36,results/csv/cross_entropy_autotune.csv,10.66,14.05,1,1,1.402,1.201,yes
cross_entropy,fp32,batch_size=10240,batch_size=10240,,0.0135,0.0079,0.0121,1.7088607594936707,1.115702479338843,1.531645569620253,multiple (log_softmax + nll_loss),1,1,NA (not stated in report),cross_entropy_kernel,cross_entropy_kernel,"{""num_warps"": 1}","{""occupancy"": 8}",NVIDIA_Report(2).pdf p36,results/csv/cross_entropy_autotune.csv,10.18,13.98,1,1,1.288,1.156,yes
dequantize_rowwise,int8,"cols=8192, rows=4096","cols=8192, rows=4096",,0.1856,0.0193,0.0233,9.616580310880828,7.9656652360515015,1.2072538860103628,"multiple (>=3: broadcast-mul, scale, cast)",1,1,NA (not stated in report),dequantize_rowwise_kernel,dequantize_rowwise_kernel,"{""CHUNK"": 1024, ""num_warps"": 2}","{""chunk"": 1024, ""occupancy"": 4}",NVIDIA_Report(2).pdf p30,results/csv/dequantize_rowwise_autotune.csv,22.21,26.43,1,1,1.151,1.134,yes
destindex,fp16,seq_len=40960,seq_len=40960,,0.1922,0.0441,0.1112,4.35827664399093,1.7284172661870505,2.5215419501133787,2 (index_copy_ x2 nope/rope),2,2,index_elementwise_kernel (index_copy_),copy_by_dest_kernel,copy_by_dest_kernel,"{""BLOCK_SIZE"": 1024, ""num_warps"": 2}","{""nope_block_size"": 1024, ""nope_occupancy"": 4, ""rope_block_size"": 512, ""rope_occupancy"": 8}",NVIDIA_Report(2).pdf p21,results/csv/destindex_autotune.csv,49.41,117.25,2,2,1.120,1.054,yes
destindex,bf16,seq_len=40960,seq_len=40960,,0.192,0.044,0.111,4.363636363636364,1.7297297297297298,2.522727272727273,2 (index_copy_ x2 nope/rope),2,2,index_elementwise_kernel (index_copy_),copy_by_dest_kernel,copy_by_dest_kernel,"{""BLOCK_SIZE"": 1024, ""num_warps"": 2}","{""nope_block_size"": 1024, ""nope_occupancy"": 4, ""rope_block_size"": 512, ""rope_occupancy"": 4}",NVIDIA_Report(2).pdf p21,results/csv/destindex_autotune.csv,49.15,116.90,2,2,1.117,1.053,yes
destindex,fp32,seq_len=40960,seq_len=40960,,0.2063,0.0826,0.1254,2.4975786924939465,1.6451355661881977,1.5181598062953996,2 (index_copy_ x2 nope/rope),2,2,index_elementwise_kernel (index_copy_),copy_by_dest_kernel,copy_by_dest_kernel,"{""BLOCK_SIZE"": 1024, ""num_warps"": 8}","{""nope_block_size"": 512, ""nope_occupancy"": 4, ""rope_block_size"": 512, ""rope_occupancy"": 16}",NVIDIA_Report(2).pdf p21,results/csv/destindex_autotune.csv,93.34,128.48,2,2,1.130,1.025,yes
destindex,int8,seq_len=40960,seq_len=40960,,0.1812,0.0364,0.1071,4.978021978021978,1.69187675070028,2.942307692307692,2 (index_copy_ x2 nope/rope),2,2,index_elementwise_kernel (index_copy_),copy_by_dest_kernel,copy_by_dest_kernel,"{""BLOCK_SIZE"": 1024, ""num_warps"": 2}","{""nope_block_size"": 1024, ""nope_occupancy"": 4, ""rope_block_size"": 512, ""rope_occupancy"": 4}",NVIDIA_Report(2).pdf p21,results/csv/destindex_autotune.csv,42.85,113.06,2,2,1.177,1.056,yes
dropout,fp16,n=20971520,n=20971520,,0.0354,0.0219,0.022,1.6164383561643836,1.6090909090909091,1.004566210045662,2,1,1,NA (not stated in report),dropout_kernel,dropout_kernel,"{""BLOCK_SIZE"": 1024, ""num_warps"": 2}","{""tile"": 2048, ""occupancy"": 16}",NVIDIA_Report(2).pdf p32,results/csv/dropout_autotune.csv,23.68,24.29,1,1,1.081,1.104,yes
dropout,bf16,n=20971520,n=20971520,,0.0353,0.0214,0.0219,1.6495327102803738,1.6118721461187213,1.0233644859813085,2,1,1,NA (not stated in report),dropout_kernel,dropout_kernel,"{""BLOCK_SIZE"": 1024, ""num_warps"": 2}","{""tile"": 2048, ""occupancy"": 16}",NVIDIA_Report(2).pdf p32,results/csv/dropout_autotune.csv,23.52,23.97,1,1,1.099,1.094,yes
dropout,fp32,n=20971520,n=20971520,,0.0648,0.0403,0.0402,1.607940446650124,1.6119402985074627,0.9975186104218362,2,1,1,NA (not stated in report),dropout_kernel,dropout_kernel,"{""BLOCK_SIZE"": 1024, ""num_warps"": 2}","{""tile"": 512, ""occupancy"": 32}",NVIDIA_Report(2).pdf p32,results/csv/dropout_autotune.csv,42.75,42.85,1,1,1.061,1.066,yes
flash_attention,fp16,seq_len=20480,seq_len=20480,,15.187,20.4122,18.6327,0.7440158336681004,0.8150724264330987,0.9128217438590648,1 (cuDNN warp-specialized FA),1,1,cuDNN warp-specialized FlashAttention,fwd_kernel,fwd_kernel,"{""BLOCK_M"": 128, ""BLOCK_N"": 64, ""num_warps"": 8, ""num_stages"": 2}","{""tile_m"": 128, ""tile_n"": 128, ""occupancy"": 16}",NVIDIA_Report(2).pdf p24,results/csv/flash_attention_autotune.csv,19359.74,17714.40,1,1,0.948,0.951,yes
flash_decode,fp32,seq_len=40960,seq_len=40960,,0.0471,0.0451,0.1676,1.0443458980044347,0.2810262529832936,3.7161862527716183,~20,1,1,NA (not stated in report),fwd_kernel_flash_decode_stage2,fwd_kernel_flash_decode_stage2,"{""num_warps"": 4, ""num_stages"": 3}","{""occupancy"": 32}",NVIDIA_Report(2).pdf p23,results/csv/flash_decode_autotune.csv,48.13,167.94,1,1,1.067,1.002,yes
fused_activation,fp32,n=20971520,n=20971520,,0.1032,0.0516,0.052,2.0,1.9846153846153847,1.0077519379844961,3,1,1,NA (not stated in report),fused_activation_kernel,fused_activation_kernel,"{""BLOCK_SIZE"": 1024, ""num_warps"": 2}","{""tile"": 1024, ""occupancy"": 8}",NVIDIA_Report(2).pdf p32,results/csv/fused_activation_autotune.csv,53.79,54.62,1,1,1.042,1.050,yes
gaussian_blur,fp16,input_rows=10240,input_rows=10240,,16.2227,1.0018,1.4889,16.193551607107207,10.895761971925584,1.486224795368337,cuDNN implicit_convolve_sgemm,1,1,implicit_convolve_sgemm,gaussian_blur_kernel,gaussian_blur_kernel,"{""BLOCK_R"": 8, ""BLOCK_C"": 64, ""num_warps"": 8}","{""tile_r"": 2, ""tile_c"": 128, ""occupancy"": 4}",NVIDIA_Report(2).pdf p15,results/csv/gaussian_blur_autotune.csv,1028.29,1501.60,1,1,1.026,1.009,yes
gaussian_blur,fp32,input_rows=10240,input_rows=10240,,15.6215,1.2487,1.2713,12.510210619043805,12.28781562180445,1.0180988227756869,cuDNN implicit_convolve_sgemm,1,1,implicit_convolve_sgemm,gaussian_blur_kernel,gaussian_blur_kernel,"{""BLOCK_R"": 8, ""BLOCK_C"": 64, ""num_warps"": 8}","{""tile_r"": 2, ""tile_c"": 128, ""occupancy"": 4}",NVIDIA_Report(2).pdf p15,results/csv/gaussian_blur_autotune.csv,1274.62,1279.90,1,1,1.021,1.007,yes
histogramming,int32,"N=67108864, num_bins=4096","N=67108864, num_bins=4096","N=67108864, num_bins=64",0.6246,0.8009,1.4265,0.7798726432763142,0.43785488958990537,1.7811212386065678,7 (5 kernels + 2 DtoH memcpy),3,3,"kernelHistogram1D (+reduce_kernel min/max, direct_copy)",histogram_partial_kernel,histogram_partial_kernel,"{""partial_BLOCK_SIZE"": 2048, ""partial_num_warps"": 8, ""reduce_BLOCK_ROWS"": 128, ""reduce_BLOCK_BINS"": 64, ""reduce_num_warps"": 8, ""reduce_num_stages"": 2}","{""partial_block_size"": 2048, ""partial_occupancy"": 4, ""reduce_block_rows"": 128, ""reduce_block_bins"": 64, ""reduce_occupancy"": 8}",NVIDIA_Report(2).pdf p4,results/csv/histogramming_autotune.csv,822.18,1430.05,2,2,1.027,1.002,yes
interleave,fp16,n=20000000,n=20000000,,0.0985,0.0263,0.0264,3.7452471482889735,3.7310606060606064,1.0038022813688212,2,1,1,NA (not stated in report),interleave_kernel,interleave_kernel,"{""BLOCK_SIZE"": 1024, ""num_warps"": 4, ""num_stages"": 1}","{""tile"": 4096, ""occupancy"": 8}",NVIDIA_Report(2).pdf p30,results/csv/interleave_autotune.csv,28.45,29.50,1,1,1.082,1.118,yes
interleave,bf16,n=20000000,n=20000000,,0.0983,0.0262,0.0263,3.7519083969465647,3.7376425855513307,1.0038167938931297,2,1,1,NA (not stated in report),interleave_kernel,interleave_kernel,"{""BLOCK_SIZE"": 1024, ""num_warps"": 4, ""num_stages"": 2}","{""tile"": 1024, ""occupancy"": 4}",NVIDIA_Report(2).pdf p30,results/csv/interleave_autotune.csv,28.54,29.09,1,1,1.089,1.106,yes
interleave,fp32,n=20000000,n=20000000,,0.1404,0.0489,0.0495,2.871165644171779,2.836363636363636,1.012269938650307,2,1,1,NA (not stated in report),interleave_kernel,interleave_kernel,"{""BLOCK_SIZE"": 1024, ""num_warps"": 8, ""num_stages"": 1}","{""tile"": 2048, ""occupancy"": 8}",NVIDIA_Report(2).pdf p30,results/csv/interleave_autotune.csv,51.74,51.84,1,1,1.058,1.047,yes
interleave,int8,n=20000000,n=20000000,,0.0882,0.0146,0.0148,6.041095890410959,5.95945945945946,1.0136986301369864,2,1,1,NA (not stated in report),interleave_kernel,interleave_kernel,"{""BLOCK_SIZE"": 4096, ""num_warps"": 4, ""num_stages"": 2}","{""tile"": 2048, ""occupancy"": 16}",NVIDIA_Report(2).pdf p30,results/csv/interleave_autotune.csv,16.96,17.41,1,1,1.162,1.176,yes
jacobi_stencil_2d,fp16,rows=10240,rows=10240,,1.078,0.1612,0.1314,6.687344913151365,8.203957382039576,0.8151364764267989,multiple (clone + slice ops),1,1,NA (not stated in report),jacobi_stencil_kernel,jacobi_stencil_kernel,"{""BLOCK_SIZE_R"": 1, ""BLOCK_SIZE_C"": 1024, ""num_warps"": 8}","{""tile_r"": 4, ""tile_c"": 512, ""occupancy"": 4}",NVIDIA_Report(2).pdf p34,results/csv/jacobi_stencil_2d_autotune.csv,163.20,136.32,1,1,1.012,1.037,yes
jacobi_stencil_2d,bf16,rows=10240,rows=10240,,1.0777,0.1612,0.1313,6.685483870967742,8.207920792079209,0.814516129032258,multiple (clone + slice ops),1,1,NA (not stated in report),jacobi_stencil_kernel,jacobi_stencil_kernel,"{""BLOCK_SIZE_R"": 1, ""BLOCK_SIZE_C"": 1024, ""num_warps"": 8}","{""tile_r"": 4, ""tile_c"": 512, ""occupancy"": 4}",NVIDIA_Report(2).pdf p34,results/csv/jacobi_stencil_2d_autotune.csv,163.65,135.87,1,1,1.015,1.035,yes
jacobi_stencil_2d,fp32,rows=10240,rows=10240,,1.3565,0.224,0.18,6.055803571428571,7.536111111111111,0.8035714285714285,multiple (clone + slice ops),1,1,NA (not stated in report),jacobi_stencil_kernel,jacobi_stencil_kernel,"{""BLOCK_SIZE_R"": 1, ""BLOCK_SIZE_C"": 256, ""num_warps"": 4}","{""tile_r"": 4, ""tile_c"": 512, ""occupancy"": 8}",NVIDIA_Report(2).pdf p34,results/csv/jacobi_stencil_2d_autotune.csv,222.50,185.18,1,1,0.993,1.029,yes
kl_divergence,fp32,"cols=16384, rows=4096","cols=16384, rows=4096",,0.3748,0.1012,0.0932,3.703557312252965,4.021459227467811,0.9209486166007905,4,1,1,NA (not stated in report),kl_divergence_kernel,kl_divergence_kernel,"{""BLOCK_SIZE"": 2048, ""num_warps"": 4, ""num_stages"": 3}","{""tile"": 2048, ""occupancy"": 4}",NVIDIA_Report(2).pdf p33,results/csv/kl_divergence_autotune.csv,106.05,99.20,1,1,1.048,1.064,yes
l2_norm,fp16,K=10240,K=10240,,0.1134,0.0158,0.0203,7.177215189873417,5.586206896551724,1.2848101265822782,multiple (reduction + rsqrt/mul + cast),1,1,NA (not stated in report),_l2_norm_fwd_kernel,l2_norm_kernel,"{""BLOCK_N"": 2048, ""num_warps"": 8, ""num_stages"": 2}","{""tile_size"": 1024, ""occupancy"": 16}",NVIDIA_Report(2).pdf p31,results/csv/l2_norm_autotune.csv,18.02,22.98,1,1,1.140,1.132,yes
l2_norm,bf16,K=10240,K=10240,,0.1142,0.0158,0.0206,7.227848101265822,5.543689320388349,1.3037974683544302,multiple (reduction + rsqrt/mul + cast),1,1,NA (not stated in report),_l2_norm_fwd_kernel,l2_norm_kernel,"{""BLOCK_N"": 2048, ""num_warps"": 8, ""num_stages"": 4}","{""tile_size"": 1024, ""occupancy"": 16}",NVIDIA_Report(2).pdf p31,results/csv/l2_norm_autotune.csv,17.82,23.23,1,1,1.128,1.128,yes
l2_norm,fp32,K=10240,K=10240,,0.0896,0.0304,0.0312,2.9473684210526314,2.871794871794872,1.026315789473684,multiple (reduction + rsqrt/mul + cast),1,1,NA (not stated in report),_l2_norm_fwd_kernel,l2_norm_kernel,"{""BLOCK_N"": 2048, ""num_warps"": 8, ""num_stages"": 2}","{""tile_size"": 512, ""occupancy"": 4}",NVIDIA_Report(2).pdf p31,results/csv/l2_norm_autotune.csv,32.48,33.66,1,1,1.068,1.079,yes
layernorm,fp16,K=10240,K=10240,,0.0509,0.0215,0.0345,2.3674418604651164,1.4753623188405796,1.6046511627906979,1 (fused ATen layer_norm),1,1,ATen LayerNorm (Welford),layernorm_kernel,layernorm_kernel,"{""BLOCK_N_SIZE"": 2048, ""num_warps"": 8, ""num_stages"": 2}","{""tile_size"": 2048, ""occupancy"": 16}",NVIDIA_Report(2).pdf p26,results/csv/layernorm_autotune.csv,24.54,37.95,1,1,1.142,1.100,yes
layernorm,bf16,K=10240,K=10240,,0.052,0.0223,0.0352,2.3318385650224216,1.477272727272727,1.57847533632287,1 (fused ATen layer_norm),1,1,ATen LayerNorm (Welford),layernorm_kernel,layernorm_kernel,"{""BLOCK_N_SIZE"": 2048, ""num_warps"": 8, ""num_stages"": 3}","{""tile_size"": 2048, ""occupancy"": 16}",NVIDIA_Report(2).pdf p26,results/csv/layernorm_autotune.csv,24.64,39.10,1,1,1.105,1.111,yes
layernorm,fp32,K=10240,K=10240,,0.0655,0.0373,0.0366,1.7560321715817695,1.789617486338798,0.9812332439678284,1 (fused ATen layer_norm),1,1,ATen LayerNorm (Welford),layernorm_kernel,layernorm_kernel,"{""BLOCK_N_SIZE"": 1024, ""num_warps"": 8, ""num_stages"": 2}","{""tile_size"": 2048, ""occupancy"": 8}",NVIDIA_Report(2).pdf p26,results/csv/layernorm_autotune.csv,41.31,38.94,1,1,1.108,1.064,yes
leaky_relu,fp16,n=50000000,n=50000000,,0.0342,0.0323,0.0324,1.0588235294117647,1.0555555555555556,1.003095975232198,NA,1,1,NA (not stated in report),leaky_relu_kernel,leaky_relu_kernel,"{""BLOCK_SIZE"": 4096, ""num_warps"": 8, ""num_stages"": 1}","{""tile"": 4096, ""occupancy"": 16}",not covered in report,results/csv/leaky_relu_autotune.csv,33.50,34.34,1,1,1.037,1.060,yes
leaky_relu,bf16,n=50000000,n=50000000,,0.034,0.0321,0.0323,1.059190031152648,1.0526315789473684,1.0062305295950158,NA,1,1,NA (not stated in report),leaky_relu_kernel,leaky_relu_kernel,"{""BLOCK_SIZE"": 2048, ""num_warps"": 4, ""num_stages"": 1}","{""tile"": 4096, ""occupancy"": 8}",not covered in report,results/csv/leaky_relu_autotune.csv,34.56,35.01,1,1,1.077,1.084,yes
