operator,backend,default_geomean_roofline_R,autotuned_geomean_roofline_R,autotune_gain,default_latency_geomean,autotuned_latency_geomean,default_in_search_space,final_configuration_selection_rule,winning_configuration,source_file
batch_normalization,cutile,0.3461183417064448,0.40379365729230793,1.1666346698112278,0.02840470789001539,0.024347560230326033,yes,core/cutile_autotune.py::CutileAutotuner (ct.tune.exhaustive_search / ct_experimental.autotune_launch) times every SimpleNamespace in the search space and keeps the fastest; the manual default is only compared if it is a member of the space. Not clamped to >= default.,"fp16: {""rows"": 16, ""occupancy"": 8}; bf16: {""rows"": 16, ""occupancy"": 8}; fp32: {""rows"": 8, ""occupancy"": 4} (sweep-max case per dtype, from tilebench_run/ncu_catalogue.json)","results/csv/<op>_{default,autotune}.csv (90 files) via scripts/analysis/bench_data.py::load_main_table; winners: results/logs/autotune_logs/<op>_autotune.json → tilebench_run/ncu_catalogue.json; membership: benchmarks/operators/<op>/impl_<backend>.py"
batch_normalization,triton,0.4457588860846858,0.44981006851956906,1.009088281941986,0.022055399675600208,0.021856759284881087,yes,"triton.autotune (or a module-level _tune_pipeline sweep for streamk_matmul/top_k_selection/multi-kernel ops) benchmarks every Config in the list with its own timing and keeps the fastest; the manual _DEFAULT_CONFIG is NOT automatically a candidate — it is only compared if it happens to be in the list. The autotune-mode CSV then re-times the winner with core/timer.py, so a reported autotuned value can be below the default-mode value (measurement noise or a tuner-side timing artefact) — it is not clamped to >= default.","fp16: {""ROWS"": 8, ""num_warps"": 8}; bf16: {""ROWS"": 8, ""num_warps"": 8}; fp32: {""ROWS"": 8, ""num_warps"": 8} (sweep-max case per dtype, from tilebench_run/ncu_catalogue.json)","results/csv/<op>_{default,autotune}.csv (90 files) via scripts/analysis/bench_data.py::load_main_table; winners: results/logs/autotune_logs/<op>_autotune.json → tilebench_run/ncu_catalogue.json; membership: benchmarks/operators/<op>/impl_<backend>.py"
batched_matmul,cutile,0.17405198397784044,0.21785035609347217,1.2516396028051477,0.015008597051331129,0.011991149063751427,yes,core/cutile_autotune.py::CutileAutotuner (ct.tune.exhaustive_search / ct_experimental.autotune_launch) times every SimpleNamespace in the search space and keeps the fastest; the manual default is only compared if it is a member of the space. Not clamped to >= default.,"fp16: {""tile_m"": 128, ""tile_n"": 128, ""tile_k"": 64, ""occupancy"": 4, ""group_size"": 1}; bf16: {""tile_m"": 128, ""tile_n"": 128, ""tile_k"": 64, ""occupancy"": 4, ""group_size"": 1}; fp32: {""tile_m"": 128, ""tile_n"": 128, ""tile_k"": 64, ""occupancy"": 4, ""group_size"": 1} (sweep-max case per dtype, from tilebench_run/ncu_catalogue.json)","results/csv/<op>_{default,autotune}.csv (90 files) via scripts/analysis/bench_data.py::load_main_table; winners: results/logs/autotune_logs/<op>_autotune.json → tilebench_run/ncu_catalogue.json; membership: benchmarks/operators/<op>/impl_<backend>.py"
batched_matmul,triton,0.21211204469618067,0.24637054080577608,1.16151131897609,0.012315548121040718,0.010603037542412626,yes,"triton.autotune (or a module-level _tune_pipeline sweep for streamk_matmul/top_k_selection/multi-kernel ops) benchmarks every Config in the list with its own timing and keeps the fastest; the manual _DEFAULT_CONFIG is NOT automatically a candidate — it is only compared if it happens to be in the list. The autotune-mode CSV then re-times the winner with core/timer.py, so a reported autotuned value can be below the default-mode value (measurement noise or a tuner-side timing artefact) — it is not clamped to >= default.","fp16: {""BLOCK_SIZE_M"": 128, ""BLOCK_SIZE_N"": 128, ""BLOCK_SIZE_K"": 32, ""GROUPSIZE"": 1, ""num_warps"": 4, ""num_stages"": 4}; bf16: {""BLOCK_SIZE_M"": 128, ""BLOCK_SIZE_N"": 128, ""BLOCK_SIZE_K"": 32, ""GROUPSIZE"": 1, ""num_warps"": 4, ""num_stages"": 4}; fp32: {""BLOCK_SIZE_M"": 128, ""BLOCK_SIZE_N"": 128, ""BLOCK_SIZE_K"": 32, ""GROUPSIZE"": 8, ""num_warps"": 4, ""num_stages"": 3} (sweep-max case per dtype, from tilebench_run/ncu_catalogue.json)","results/csv/<op>_{default,autotune}.csv (90 files) via scripts/analysis/bench_data.py::load_main_table; winners: results/logs/autotune_logs/<op>_autotune.json → tilebench_run/ncu_catalogue.json; membership: benchmarks/operators/<op>/impl_<backend>.py"
bitonic_sort,cutile,0.001320234142996547,0.001312644267056278,0.9942511137281745,2.7205853893102394,2.736316159716206,yes,core/cutile_autotune.py::CutileAutotuner (ct.tune.exhaustive_search / ct_experimental.autotune_launch) times every SimpleNamespace in the search space and keeps the fastest; the manual default is only compared if it is a member of the space. Not clamped to >= default.,"fp16: {""tile"": 1024, ""occupancy"": 8}; fp32: {""tile"": 512, ""occupancy"": 4} (sweep-max case per dtype, from tilebench_run/ncu_catalogue.json)","results/csv/<op>_{default,autotune}.csv (90 files) via scripts/analysis/bench_data.py::load_main_table; winners: results/logs/autotune_logs/<op>_autotune.json → tilebench_run/ncu_catalogue.json; membership: benchmarks/operators/<op>/impl_<backend>.py"
bitonic_sort,triton,0.0011629448763946846,0.001307019650466312,1.1238878789494158,3.0885468372672245,2.7480915980287346,yes,"triton.autotune (or a module-level _tune_pipeline sweep for streamk_matmul/top_k_selection/multi-kernel ops) benchmarks every Config in the list with its own timing and keeps the fastest; the manual _DEFAULT_CONFIG is NOT automatically a candidate — it is only compared if it happens to be in the list. The autotune-mode CSV then re-times the winner with core/timer.py, so a reported autotuned value can be below the default-mode value (measurement noise or a tuner-side timing artefact) — it is not clamped to >= default.","fp16: {""BLOCK"": 1024, ""num_warps"": 8}; fp32: {""BLOCK"": 512, ""num_warps"": 4} (sweep-max case per dtype, from tilebench_run/ncu_catalogue.json)","results/csv/<op>_{default,autotune}.csv (90 files) via scripts/analysis/bench_data.py::load_main_table; winners: results/logs/autotune_logs/<op>_autotune.json → tilebench_run/ncu_catalogue.json; membership: benchmarks/operators/<op>/impl_<backend>.py"
block_sparse_attention,cutile,0.06975392212148424,0.07051663866721089,1.010934389386711,0.0954486111288615,0.09441622733475898,yes,core/cutile_autotune.py::CutileAutotuner (ct.tune.exhaustive_search / ct_experimental.autotune_launch) times every SimpleNamespace in the search space and keeps the fastest; the manual default is only compared if it is a member of the space. Not clamped to >= default.,"fp16: {""occupancy"": 32} (sweep-max case per dtype, from tilebench_run/ncu_catalogue.json)","results/csv/<op>_{default,autotune}.csv (90 files) via scripts/analysis/bench_data.py::load_main_table; winners: results/logs/autotune_logs/<op>_autotune.json → tilebench_run/ncu_catalogue.json; membership: benchmarks/operators/<op>/impl_<backend>.py"
block_sparse_attention,triton,0.1476070718480726,0.18965170935320494,1.2848416202470818,0.04510566400327503,0.0351060109607914,yes,"triton.autotune (or a module-level _tune_pipeline sweep for streamk_matmul/top_k_selection/multi-kernel ops) benchmarks every Config in the list with its own timing and keeps the fastest; the manual _DEFAULT_CONFIG is NOT automatically a candidate — it is only compared if it happens to be in the list. The autotune-mode CSV then re-times the winner with core/timer.py, so a reported autotuned value can be below the default-mode value (measurement noise or a tuner-side timing artefact) — it is not clamped to >= default.","fp16: {""num_warps"": 2, ""num_stages"": 2} (sweep-max case per dtype, from tilebench_run/ncu_catalogue.json)","results/csv/<op>_{default,autotune}.csv (90 files) via scripts/analysis/bench_data.py::load_main_table; winners: results/logs/autotune_logs/<op>_autotune.json → tilebench_run/ncu_catalogue.json; membership: benchmarks/operators/<op>/impl_<backend>.py"
cross_entropy,cutile,0.1333913566880322,0.13565052606231207,1.016936400006512,0.007113846317311423,0.006995369933917076,yes,core/cutile_autotune.py::CutileAutotuner (ct.tune.exhaustive_search / ct_experimental.autotune_launch) times every SimpleNamespace in the search space and keeps the fastest; the manual default is only compared if it is a member of the space. Not clamped to >= default.,"fp16: {""occupancy"": 32}; fp32: {""occupancy"": 8} (sweep-max case per dtype, from tilebench_run/ncu_catalogue.json)","results/csv/<op>_{default,autotune}.csv (90 files) via scripts/analysis/bench_data.py::load_main_table; winners: results/logs/autotune_logs/<op>_autotune.json → tilebench_run/ncu_catalogue.json; membership: benchmarks/operators/<op>/impl_<backend>.py"
cross_entropy,triton,0.1040839748540999,0.19147043432078928,1.8395765014660874,0.009116923261880534,0.004955990280705707,"no (default values not an element of the autotune space: {""_DEFAULT_CONFIG"": {""num_warps"": 8, ""num_stages"": 2}})","triton.autotune (or a module-level _tune_pipeline sweep for streamk_matmul/top_k_selection/multi-kernel ops) benchmarks every Config in the list with its own timing and keeps the fastest; the manual _DEFAULT_CONFIG is NOT automatically a candidate — it is only compared if it happens to be in the list. The autotune-mode CSV then re-times the winner with core/timer.py, so a reported autotuned value can be below the default-mode value (measurement noise or a tuner-side timing artefact) — it is not clamped to >= default.","fp16: {""num_warps"": 1}; fp32: {""num_warps"": 1} (sweep-max case per dtype, from tilebench_run/ncu_catalogue.json)","results/csv/<op>_{default,autotune}.csv (90 files) via scripts/analysis/bench_data.py::load_main_table; winners: results/logs/autotune_logs/<op>_autotune.json → tilebench_run/ncu_catalogue.json; membership: benchmarks/operators/<op>/impl_<backend>.py"
dequantize_rowwise,cutile,0.24155949651648018,0.30370004868380923,1.2572473989367237,0.0056382198205411765,0.004484574655162947,yes,core/cutile_autotune.py::CutileAutotuner (ct.tune.exhaustive_search / ct_experimental.autotune_launch) times every SimpleNamespace in the search space and keeps the fastest; the manual default is only compared if it is a member of the space. Not clamped to >= default.,"int8: {""chunk"": 1024, ""occupancy"": 4} (sweep-max case per dtype, from tilebench_run/ncu_catalogue.json)","results/csv/<op>_{default,autotune}.csv (90 files) via scripts/analysis/bench_data.py::load_main_table; winners: results/logs/autotune_logs/<op>_autotune.json → tilebench_run/ncu_catalogue.json; membership: benchmarks/operators/<op>/impl_<backend>.py"
dequantize_rowwise,triton,0.2570524316697343,0.35070078851495406,1.3643161678608078,0.005298395865202481,0.003883554259648005,yes,"triton.autotune (or a module-level _tune_pipeline sweep for streamk_matmul/top_k_selection/multi-kernel ops) benchmarks every Config in the list with its own timing and keeps the fastest; the manual _DEFAULT_CONFIG is NOT automatically a candidate — it is only compared if it happens to be in the list. The autotune-mode CSV then re-times the winner with core/timer.py, so a reported autotuned value can be below the default-mode value (measurement noise or a tuner-side timing artefact) — it is not clamped to >= default.","int8: {""CHUNK"": 1024, ""num_warps"": 2} (sweep-max case per dtype, from tilebench_run/ncu_catalogue.json)","results/csv/<op>_{default,autotune}.csv (90 files) via scripts/analysis/bench_data.py::load_main_table; winners: results/logs/autotune_logs/<op>_autotune.json → tilebench_run/ncu_catalogue.json; membership: benchmarks/operators/<op>/impl_<backend>.py"
destindex,cutile,0.3179645233738608,0.3236252910414509,1.0178031423365248,0.052347938982630626,0.051432282732452386,"no (default values not an element of the autotune space: {""_DEFAULT_CONFIG"": {""nope_block_size"": 1024, ""nope_occupancy"": 4, ""rope_block_size"": 512, ""rope_occupancy"": 4}})",core/cutile_autotune.py::CutileAutotuner (ct.tune.exhaustive_search / ct_experimental.autotune_launch) times every SimpleNamespace in the search space and keeps the fastest; the manual default is only compared if it is a member of the space. Not clamped to >= default.,"fp16: {""nope_block_size"": 1024, ""nope_occupancy"": 4, ""rope_block_size"": 512, ""rope_occupancy"": 8}; bf16: {""nope_block_size"": 1024, ""nope_occupancy"": 4, ""rope_block_size"": 512, ""rope_occupancy"": 4}; fp32: {""nope_block_size"": 512, ""nope_occupancy"": 4, ""rope_block_size"": 512, ""rope_occupancy"": 16}; int8: {""nope_block_size"": 1024, ""nope_occupancy"": 4, ""rope_block_size"": 512, ""rope_occupancy"": 4} (sweep-max case per dtype, from tilebench_run/ncu_catalogue.json)","results/csv/<op>_{default,autotune}.csv (90 files) via scripts/analysis/bench_data.py::load_main_table; winners: results/logs/autotune_logs/<op>_autotune.json → tilebench_run/ncu_catalogue.json; membership: benchmarks/operators/<op>/impl_<backend>.py"
destindex,triton,0.671909905112829,0.6781709581232372,1.0093182924716029,0.024772350193916347,0.02454364532842676,yes,"triton.autotune (or a module-level _tune_pipeline sweep for streamk_matmul/top_k_selection/multi-kernel ops) benchmarks every Config in the list with its own timing and keeps the fastest; the manual _DEFAULT_CONFIG is NOT automatically a candidate — it is only compared if it happens to be in the list. The autotune-mode CSV then re-times the winner with core/timer.py, so a reported autotuned value can be below the default-mode value (measurement noise or a tuner-side timing artefact) — it is not clamped to >= default.","fp16: {""BLOCK_SIZE"": 1024, ""num_warps"": 2}; bf16: {""BLOCK_SIZE"": 1024, ""num_warps"": 2}; fp32: {""BLOCK_SIZE"": 1024, ""num_warps"": 8}; int8: {""BLOCK_SIZE"": 1024, ""num_warps"": 2} (sweep-max case per dtype, from tilebench_run/ncu_catalogue.json)","results/csv/<op>_{default,autotune}.csv (90 files) via scripts/analysis/bench_data.py::load_main_table; winners: results/logs/autotune_logs/<op>_autotune.json → tilebench_run/ncu_catalogue.json; membership: benchmarks/operators/<op>/impl_<backend>.py"
dropout,cutile,0.7252858590199611,0.7629794718785636,1.0519706987111754,0.013878854197809824,0.013193194653438095,yes,core/cutile_autotune.py::CutileAutotuner (ct.tune.exhaustive_search / ct_experimental.autotune_launch) times every SimpleNamespace in the search space and keeps the fastest; the manual default is only compared if it is a member of the space. Not clamped to >= default.,"fp16: {""tile"": 2048, ""occupancy"": 16}; bf16: {""tile"": 2048, ""occupancy"": 16}; fp32: {""tile"": 512, ""occupancy"": 32} (sweep-max case per dtype, from tilebench_run/ncu_catalogue.json)","results/csv/<op>_{default,autotune}.csv (90 files) via scripts/analysis/bench_data.py::load_main_table; winners: results/logs/autotune_logs/<op>_autotune.json → tilebench_run/ncu_catalogue.json; membership: benchmarks/operators/<op>/impl_<backend>.py"
dropout,triton,0.7793615691060741,0.7678320621165464,0.9852064722632501,0.012915875106103982,0.013109815525707233,yes,"triton.autotune (or a module-level _tune_pipeline sweep for streamk_matmul/top_k_selection/multi-kernel ops) benchmarks every Config in the list with its own timing and keeps the fastest; the manual _DEFAULT_CONFIG is NOT automatically a candidate — it is only compared if it happens to be in the list. The autotune-mode CSV then re-times the winner with core/timer.py, so a reported autotuned value can be below the default-mode value (measurement noise or a tuner-side timing artefact) — it is not clamped to >= default.","fp16: {""BLOCK_SIZE"": 1024, ""num_warps"": 2}; bf16: {""BLOCK_SIZE"": 1024, ""num_warps"": 2}; fp32: {""BLOCK_SIZE"": 1024, ""num_warps"": 2} (sweep-max case per dtype, from tilebench_run/ncu_catalogue.json)","results/csv/<op>_{default,autotune}.csv (90 files) via scripts/analysis/bench_data.py::load_main_table; winners: results/logs/autotune_logs/<op>_autotune.json → tilebench_run/ncu_catalogue.json; membership: benchmarks/operators/<op>/impl_<backend>.py"
flash_attention,cutile,0.3149335372437707,0.5913945297106342,1.8778391621495423,6.687917026522556,3.5614961927127826,yes,core/cutile_autotune.py::CutileAutotuner (ct.tune.exhaustive_search / ct_experimental.autotune_launch) times every SimpleNamespace in the search space and keeps the fastest; the manual default is only compared if it is a member of the space. Not clamped to >= default.,"fp16: {""tile_m"": 128, ""tile_n"": 128, ""occupancy"": 16} (sweep-max case per dtype, from tilebench_run/ncu_catalogue.json)","results/csv/<op>_{default,autotune}.csv (90 files) via scripts/analysis/bench_data.py::load_main_table; winners: results/logs/autotune_logs/<op>_autotune.json → tilebench_run/ncu_catalogue.json; membership: benchmarks/operators/<op>/impl_<backend>.py"
flash_attention,triton,0.3830339861391571,0.5567050716799278,1.453409075500876,5.498857652778582,3.783420473608614,yes,"triton.autotune (or a module-level _tune_pipeline sweep for streamk_matmul/top_k_selection/multi-kernel ops) benchmarks every Config in the list with its own timing and keeps the fastest; the manual _DEFAULT_CONFIG is NOT automatically a candidate — it is only compared if it happens to be in the list. The autotune-mode CSV then re-times the winner with core/timer.py, so a reported autotuned value can be below the default-mode value (measurement noise or a tuner-side timing artefact) — it is not clamped to >= default.","fp16: {""BLOCK_M"": 128, ""BLOCK_N"": 64, ""num_warps"": 8, ""num_stages"": 2} (sweep-max case per dtype, from tilebench_run/ncu_catalogue.json)","results/csv/<op>_{default,autotune}.csv (90 files) via scripts/analysis/bench_data.py::load_main_table; winners: results/logs/autotune_logs/<op>_autotune.json → tilebench_run/ncu_catalogue.json; membership: benchmarks/operators/<op>/impl_<backend>.py"
flash_decode,cutile,0.002280752553232106,0.002312239571867106,1.0138055391367995,0.07297936571255134,0.07198556616162238,yes,core/cutile_autotune.py::CutileAutotuner (ct.tune.exhaustive_search / ct_experimental.autotune_launch) times every SimpleNamespace in the search space and keeps the fastest; the manual default is only compared if it is a member of the space. Not clamped to >= default.,"fp32: {""occupancy"": 32} (sweep-max case per dtype, from tilebench_run/ncu_catalogue.json)","results/csv/<op>_{default,autotune}.csv (90 files) via scripts/analysis/bench_data.py::load_main_table; winners: results/logs/autotune_logs/<op>_autotune.json → tilebench_run/ncu_catalogue.json; membership: benchmarks/operators/<op>/impl_<backend>.py"
flash_decode,triton,0.007802859128198783,0.007808449159181789,1.000716408035973,0.021331651891629624,0.021316380665223213,yes,"triton.autotune (or a module-level _tune_pipeline sweep for streamk_matmul/top_k_selection/multi-kernel ops) benchmarks every Config in the list with its own timing and keeps the fastest; the manual _DEFAULT_CONFIG is NOT automatically a candidate — it is only compared if it happens to be in the list. The autotune-mode CSV then re-times the winner with core/timer.py, so a reported autotuned value can be below the default-mode value (measurement noise or a tuner-side timing artefact) — it is not clamped to >= default.","fp32: {""num_warps"": 4, ""num_stages"": 3} (sweep-max case per dtype, from tilebench_run/ncu_catalogue.json)","results/csv/<op>_{default,autotune}.csv (90 files) via scripts/analysis/bench_data.py::load_main_table; winners: results/logs/autotune_logs/<op>_autotune.json → tilebench_run/ncu_catalogue.json; membership: benchmarks/operators/<op>/impl_<backend>.py"
