operator,category,num_supported_dtypes,num_valid_cases,triton_geomean_speedup_vs_torch,cutile_geomean_speedup_vs_torch,triton_over_cutile_ratio,faster_backend,within_5_percent,within_10_percent,torch_baseline_class,source_file
dequantize_rowwise,Point-wise,1,20,5.952959104427644,5.155146578036025,1.1547603961041133,triton,no,no,eager_multi_kernel,results/csv/<op>_autotune.csv (45 files) via scripts/analysis/bench_data.py::load_main_table
destindex,Data Layout,4,80,3.493593405591428,1.6671536418986022,2.095543756610713,triton,no,no,generic_aten_kernel,results/csv/<op>_autotune.csv (45 files) via scripts/analysis/bench_data.py::load_main_table
dropout,Point-wise,3,60,1.5635837967480641,1.5537021678832148,1.006360053470423,triton,yes,yes,eager_multi_kernel,results/csv/<op>_autotune.csv (45 files) via scripts/analysis/bench_data.py::load_main_table
flash_attention,Matrix Mult./Attn,1,20,0.6781322241371409,0.7203880621475404,0.9413429507917843,cutile,no,yes,vendor_library_kernel,results/csv/<op>_autotune.csv (45 files) via scripts/analysis/bench_data.py::load_main_table
flash_decode,Matrix Mult./Attn,1,20,1.9787888182227493,0.58595935205426,3.377006973752529,triton,no,no,eager_multi_kernel,results/csv/<op>_autotune.csv (45 files) via scripts/analysis/bench_data.py::load_main_table
fused_activation,Point-wise,1,20,1.7954181782630807,1.7767782686612297,1.0104908473559258,triton,yes,yes,eager_multi_kernel,results/csv/<op>_autotune.csv (45 files) via scripts/analysis/bench_data.py::load_main_table
gaussian_blur,Stencil/Conv,2,40,13.862636534541279,11.414659822534821,1.2144590158677933,triton,no,no,vendor_library_kernel,results/csv/<op>_autotune.csv (45 files) via scripts/analysis/bench_data.py::load_main_table
histogramming,Reduction/Norm,1,20,1.2115922945085298,0.7457325276573158,1.6247008807765042,triton,no,no,generic_aten_kernel,results/csv/<op>_autotune.csv (45 files) via scripts/analysis/bench_data.py::load_main_table
interleave,Data Layout,4,80,3.6273941570962664,3.5617563681156255,1.018428489261147,triton,yes,yes,eager_multi_kernel,results/csv/<op>_autotune.csv (45 files) via scripts/analysis/bench_data.py::load_main_table
jacobi_stencil_2d,Stencil/Conv,3,60,5.777217506924837,6.674349846897514,0.8655850591365543,cutile,no,no,eager_multi_kernel,results/csv/<op>_autotune.csv (45 files) via scripts/analysis/bench_data.py::load_main_table
kl_divergence,Reduction/Norm,1,20,2.8435768286119374,2.971776117493589,0.956861054193485,cutile,yes,yes,eager_multi_kernel,results/csv/<op>_autotune.csv (45 files) via scripts/analysis/bench_data.py::load_main_table
l2_norm,Reduction/Norm,3,60,6.003705662636324,5.238855733980149,1.145995608104881,triton,no,no,eager_multi_kernel,results/csv/<op>_autotune.csv (45 files) via scripts/analysis/bench_data.py::load_main_table
layernorm,Reduction/Norm,3,60,1.9966262047142493,1.6516329714594964,1.208880083660411,triton,no,no,generic_aten_kernel,results/csv/<op>_autotune.csv (45 files) via scripts/analysis/bench_data.py::load_main_table
leaky_relu,Point-wise,3,60,1.0286289341652484,1.032215930018237,0.9965249559237811,cutile,yes,yes,generic_aten_kernel,results/csv/<op>_autotune.csv (45 files) via scripts/analysis/bench_data.py::load_main_table
linear_self_attention,Matrix Mult./Attn,1,20,0.5649642946312515,0.2803788205344607,2.0150034640787466,triton,no,no,mixed_or_other,results/csv/<op>_autotune.csv (45 files) via scripts/analysis/bench_data.py::load_main_table
matmul_fp32_fp16_fp8,Matrix Mult./Attn,3,60,0.8675179433864121,1.1013473611780924,0.7876878575878576,cutile,no,no,vendor_library_kernel,results/csv/<op>_autotune.csv (45 files) via scripts/analysis/bench_data.py::load_main_table
matmul_int8,Matrix Mult./Attn,1,20,10.34142299059642,10.161166392510799,1.0177397545835367,triton,yes,yes,correctness_or_emulation_baseline,results/csv/<op>_autotune.csv (45 files) via scripts/analysis/bench_data.py::load_main_table
matrix_copy,Data Layout,4,80,1.076576093231898,1.08853784475284,0.9890111753315678,cutile,yes,yes,generic_aten_kernel,results/csv/<op>_autotune.csv (45 files) via scripts/analysis/bench_data.py::load_main_table
matrix_transpose,Data Layout,4,80,5.699244703349617,5.679622361154169,1.0034548674097867,triton,yes,yes,generic_aten_kernel,results/csv/<op>_autotune.csv (45 files) via scripts/analysis/bench_data.py::load_main_table
mean_reduction,Reduction/Norm,3,60,1.8281283283065253,1.605560155936982,1.138623377982157,triton,no,no,generic_aten_kernel,results/csv/<op>_autotune.csv (45 files) via scripts/analysis/bench_data.py::load_main_table
moe_topk_gating,Reduction/Norm,3,60,9.560113036502896,4.877146333202899,1.9601858101773664,triton,no,no,generic_aten_kernel,results/csv/<op>_autotune.csv (45 files) via scripts/analysis/bench_data.py::load_main_table
mul2,Point-wise,4,80,1.085347575338554,1.037093941158054,1.0465277370405022,triton,yes,yes,generic_aten_kernel,results/csv/<op>_autotune.csv (45 files) via scripts/analysis/bench_data.py::load_main_table
quantize_global,Point-wise,1,20,1.0140882298508587,1.0086781241504668,1.0053635600603001,triton,yes,yes,generic_aten_kernel,results/csv/<op>_autotune.csv (45 files) via scripts/analysis/bench_data.py::load_main_table
radix_sort,Data Layout,1,20,0.6870489447919877,0.3664928547724527,1.8746584983725296,triton,no,no,vendor_library_kernel,results/csv/<op>_autotune.csv (45 files) via scripts/analysis/bench_data.py::load_main_table
relu,Point-wise,4,80,1.1216822767142984,1.0583626753529236,1.0598278858806696,triton,no,yes,generic_aten_kernel,results/csv/<op>_autotune.csv (45 files) via scripts/analysis/bench_data.py::load_main_table
reverse_array,Data Layout,4,80,2.328036511688249,2.3082428125252457,1.0085752239996575,triton,yes,yes,generic_aten_kernel,results/csv/<op>_autotune.csv (45 files) via scripts/analysis/bench_data.py::load_main_table
rmsnorm,Reduction/Norm,3,60,1.2776257218806437,1.1907345072228812,1.0729727862346214,triton,no,yes,generic_aten_kernel,results/csv/<op>_autotune.csv (45 files) via scripts/analysis/bench_data.py::load_main_table
rope,Point-wise,2,40,10.209512177985033,8.939576073283176,1.1420577546733104,triton,no,no,eager_multi_kernel,results/csv/<op>_autotune.csv (45 files) via scripts/analysis/bench_data.py::load_main_table
sigmoid,Point-wise,3,60,1.2356970180544675,0.9454892983651894,1.3069391903124294,triton,no,no,generic_aten_kernel,results/csv/<op>_autotune.csv (45 files) via scripts/analysis/bench_data.py::load_main_table
softmax,Reduction/Norm,2,40,2.3984752847205133,1.5762768004500232,1.521607933350129,triton,no,no,generic_aten_kernel,results/csv/<op>_autotune.csv (45 files) via scripts/analysis/bench_data.py::load_main_table
streamk_matmul,Matrix Mult./Attn,3,60,0.46316050023753386,0.22592168249704186,2.0500931788324404,triton,no,no,vendor_library_kernel,results/csv/<op>_autotune.csv (45 files) via scripts/analysis/bench_data.py::load_main_table
swiglu,Point-wise,3,60,1.8078355952185376,1.4704202976427707,1.2294686071163987,triton,no,no,eager_multi_kernel,results/csv/<op>_autotune.csv (45 files) via scripts/analysis/bench_data.py::load_main_table
top_k_selection,Data Layout,1,20,3.6591332444626072,3.239555802177466,1.1295169671110843,triton,no,no,generic_aten_kernel,results/csv/<op>_autotune.csv (45 files) via scripts/analysis/bench_data.py::load_main_table
vector_add,Point-wise,4,80,1.0303985102564492,1.0211877697062843,1.0090196346092297,triton,yes,yes,generic_aten_kernel,results/csv/<op>_autotune.csv (45 files) via scripts/analysis/bench_data.py::load_main_table
weight_dequant,Point-wise,3,60,12.627701346635842,7.29992682757611,1.7298394415316054,triton,no,no,eager_multi_kernel,results/csv/<op>_autotune.csv (45 files) via scripts/analysis/bench_data.py::load_main_table
