op,params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,ratio_triton_over_cutile
matmul_fp32_fp16_fp8,K=11264,fp16,0.2596,0.3724,0.2924,0.70,0.89,1.2736
matmul_fp32_fp16_fp8,K=11264,fp8_e4m3fn,6.1846,0.2974,0.1327,20.80,46.59,2.2411
matmul_fp32_fp16_fp8,K=11264,fp8_e5m2,6.1796,0.2976,0.1390,20.76,44.46,2.1410
matmul_fp32_fp16_fp8,K=12288,fp32,6.4396,3.6864,0.6006,1.75,10.72,6.1379
matmul_fp32_fp16_fp8,K=12288,fp16,0.2710,0.4060,0.3200,0.67,0.85,1.2688
matmul_fp32_fp16_fp8,K=12288,fp8_e4m3fn,6.7402,0.3322,0.1432,20.29,47.07,2.3198
matmul_fp32_fp16_fp8,K=12288,fp8_e5m2,6.7355,0.3354,0.1509,20.08,44.63,2.2227
matmul_fp32_fp16_fp8,K=13312,fp32,6.9734,3.9898,0.6525,1.75,10.69,6.1146
matmul_fp32_fp16_fp8,K=13312,fp16,0.2939,0.4371,0.3499,0.67,0.84,1.2492
matmul_fp32_fp16_fp8,K=13312,fp8_e4m3fn,7.2968,0.3645,0.1537,20.02,47.49,2.3715
matmul_fp32_fp16_fp8,K=13312,fp8_e5m2,7.2920,0.3661,0.1634,19.92,44.63,2.2405
matmul_fp32_fp16_fp8,K=14336,fp32,7.5033,4.2924,0.7002,1.75,10.72,6.1302
matmul_fp32_fp16_fp8,K=14336,fp16,0.3163,0.4703,0.3722,0.67,0.85,1.2636
matmul_fp32_fp16_fp8,K=14336,fp8_e4m3fn,7.8538,0.3965,0.1652,19.81,47.55,2.4001
matmul_fp32_fp16_fp8,K=14336,fp8_e5m2,7.8487,0.4000,0.1746,19.62,44.95,2.2910
matmul_fp32_fp16_fp8,K=15360,fp32,8.0399,4.6004,0.7512,1.75,10.70,6.1241
matmul_fp32_fp16_fp8,K=15360,fp16,0.3399,0.5051,0.4008,0.67,0.85,1.2602
matmul_fp32_fp16_fp8,K=15360,fp8_e4m3fn,8.4112,0.4274,0.1765,19.68,47.65,2.4215
matmul_fp32_fp16_fp8,K=15360,fp8_e5m2,8.4031,0.4290,0.1863,19.59,45.10,2.3027
matmul_fp32_fp16_fp8,K=16384,fp32,8.5808,4.8930,0.8025,1.75,10.69,6.0972
matmul_fp32_fp16_fp8,K=16384,fp16,0.3627,0.5379,0.4271,0.67,0.85,1.2594
matmul_fp32_fp16_fp8,K=16384,fp8_e4m3fn,8.9658,0.4557,0.1868,19.67,48.00,2.4395
matmul_fp32_fp16_fp8,K=16384,fp8_e5m2,8.9544,0.4593,0.1988,19.50,45.04,2.3104
matmul_fp32_fp16_fp8,K=17408,fp32,9.0966,5.2115,0.8535,1.75,10.66,6.1060
matmul_fp32_fp16_fp8,K=17408,fp16,0.3856,0.5684,0.4555,0.68,0.85,1.2479
matmul_fp32_fp16_fp8,K=17408,fp8_e4m3fn,9.5264,0.4891,0.1968,19.48,48.41,2.4853
matmul_fp32_fp16_fp8,K=17408,fp8_e5m2,9.5123,0.4897,0.2100,19.42,45.30,2.3319
matmul_fp32_fp16_fp8,K=18432,fp32,9.6459,5.5100,0.9046,1.75,10.66,6.0911
matmul_fp32_fp16_fp8,K=18432,fp16,0.4081,0.6044,0.4810,0.68,0.85,1.2565
matmul_fp32_fp16_fp8,K=18432,fp8_e4m3fn,10.0817,0.5136,0.2082,19.63,48.43,2.4669
matmul_fp32_fp16_fp8,K=18432,fp8_e5m2,10.0749,0.5184,0.2223,19.43,45.33,2.3320
matmul_fp32_fp16_fp8,K=19456,fp32,10.1963,5.8138,0.9577,1.75,10.65,6.0706
matmul_fp32_fp16_fp8,K=19456,fp16,0.4301,0.6375,0.5109,0.67,0.84,1.2478
matmul_fp32_fp16_fp8,K=19456,fp8_e4m3fn,10.6327,0.5406,0.2185,19.67,48.66,2.4741
matmul_fp32_fp16_fp8,K=19456,fp8_e5m2,10.6377,0.5453,0.2347,19.51,45.33,2.3234
matmul_fp32_fp16_fp8,K=20480,fp32,10.7217,6.1321,1.0034,1.75,10.69,6.1113
matmul_fp32_fp16_fp8,K=20480,fp16,0.4542,0.6691,0.5381,0.68,0.84,1.2434
matmul_fp32_fp16_fp8,K=20480,fp8_e4m3fn,11.2061,0.5746,0.2294,19.50,48.86,2.5048
matmul_fp32_fp16_fp8,K=20480,fp8_e5m2,11.1931,0.5756,0.2461,19.45,45.48,2.3389
batched_matmul,M=32,fp16,0.0107,0.0027,0.0025,3.99,4.21,1.0800
batched_matmul,M=32,bf16,0.0098,0.0028,0.0027,3.57,3.64,1.0370
batched_matmul,M=32,fp32,0.0033,0.0034,0.0032,0.97,1.01,1.0625
batched_matmul,M=64,fp16,0.0126,0.0033,0.0029,3.88,4.32,1.1379
batched_matmul,M=64,bf16,0.0123,0.0031,0.0029,3.94,4.26,1.0690
batched_matmul,M=64,fp32,0.0043,0.0048,0.0039,0.90,1.11,1.2308
batched_matmul,M=96,fp16,0.0159,0.0045,0.0035,3.54,4.51,1.2857
batched_matmul,M=96,bf16,0.0166,0.0043,0.0035,3.91,4.71,1.2286
batched_matmul,M=96,fp32,0.0057,0.0061,0.0045,0.94,1.28,1.3556
batched_matmul,M=128,fp16,0.0181,0.0047,0.0035,3.85,5.16,1.3429
batched_matmul,M=128,bf16,0.0176,0.0054,0.0035,3.25,5.04,1.5429
batched_matmul,M=128,fp32,0.0066,0.0075,0.0049,0.88,1.35,1.5306
batched_matmul,M=160,fp16,0.0221,0.0068,0.0048,3.25,4.57,1.4167
batched_matmul,M=160,bf16,0.0227,0.0068,0.0048,3.34,4.73,1.4167
batched_matmul,M=160,fp32,0.0114,0.0109,0.0069,1.04,1.64,1.5797
batched_matmul,M=192,fp16,0.0255,0.0076,0.0051,3.35,5.02,1.4902
batched_matmul,M=192,bf16,0.0254,0.0075,0.0051,3.36,5.02,1.4706
batched_matmul,M=192,fp32,0.0137,0.0129,0.0082,1.06,1.67,1.5732
batched_matmul,M=224,fp16,0.0396,0.0098,0.0078,4.03,5.10,1.2564
batched_matmul,M=224,bf16,0.0397,0.0098,0.0079,4.06,5.03,1.2405
batched_matmul,M=224,fp32,0.0236,0.0214,0.0156,1.10,1.51,1.3718
batched_matmul,M=256,fp16,0.0447,0.0106,0.0079,4.22,5.63,1.3418
batched_matmul,M=256,bf16,0.0443,0.0105,0.0078,4.21,5.71,1.3462
batched_matmul,M=256,fp32,0.0262,0.0249,0.0175,1.05,1.50,1.4229
batched_matmul,M=288,fp16,0.0637,0.0134,0.0116,4.76,5.47,1.1552
batched_matmul,M=288,bf16,0.0634,0.0140,0.0118,4.51,5.38,1.1864
batched_matmul,M=288,fp32,0.0417,0.0392,0.0279,1.07,1.50,1.4050
batched_matmul,M=320,fp16,0.0778,0.0152,0.0122,5.12,6.35,1.2459
batched_matmul,M=320,bf16,0.0785,0.0148,0.0125,5.29,6.30,1.1840
batched_matmul,M=320,fp32,0.0537,0.0457,0.0304,1.17,1.77,1.5033
batched_matmul,M=352,fp16,0.1041,0.0220,0.0168,4.72,6.21,1.3095
batched_matmul,M=352,bf16,0.1038,0.0214,0.0169,4.86,6.15,1.2663
batched_matmul,M=352,fp32,0.0751,0.0651,0.0527,1.15,1.43,1.2353
batched_matmul,M=384,fp16,0.1039,0.0228,0.0192,4.56,5.41,1.1875
batched_matmul,M=384,bf16,0.1040,0.0228,0.0192,4.56,5.41,1.1875
batched_matmul,M=384,fp32,0.0715,0.0700,0.0446,1.02,1.60,1.5695
batched_matmul,M=416,fp16,0.1457,0.0276,0.0260,5.27,5.61,1.0615
batched_matmul,M=416,bf16,0.1457,0.0277,0.0263,5.25,5.55,1.0532
batched_matmul,M=416,fp32,0.1081,0.0995,0.0669,1.09,1.62,1.4873
batched_matmul,M=448,fp16,0.1661,0.0296,0.0278,5.61,5.97,1.0647
batched_matmul,M=448,bf16,0.1668,0.0289,0.0273,5.76,6.11,1.0586
batched_matmul,M=448,fp32,0.1230,0.1148,0.0711,1.07,1.73,1.6146
batched_matmul,M=480,fp16,0.2148,0.0357,0.0346,6.02,6.20,1.0318
batched_matmul,M=480,bf16,0.2153,0.0356,0.0346,6.05,6.22,1.0289
batched_matmul,M=480,fp32,0.1666,0.1445,0.0894,1.15,1.86,1.6163
batched_matmul,M=512,fp16,0.2318,0.0369,0.0358,6.28,6.47,1.0307
batched_matmul,M=512,bf16,0.2314,0.0371,0.0364,6.24,6.36,1.0192
batched_matmul,M=512,fp32,0.1767,0.1561,0.0947,1.13,1.87,1.6484
batched_matmul,M=544,fp16,0.2878,0.0474,0.0460,6.07,6.26,1.0304
batched_matmul,M=544,bf16,0.2884,0.0482,0.0461,5.98,6.26,1.0456
batched_matmul,M=544,fp32,0.2262,0.1905,0.1242,1.19,1.82,1.5338
batched_matmul,M=576,fp16,0.3122,0.0500,0.0487,6.24,6.42,1.0267
batched_matmul,M=576,bf16,0.3131,0.0500,0.0480,6.26,6.52,1.0417
batched_matmul,M=576,fp32,0.2440,0.2213,0.1308,1.10,1.87,1.6919
batched_matmul,M=608,fp16,0.3794,0.0598,0.0590,6.34,6.43,1.0136
batched_matmul,M=608,bf16,0.3804,0.0597,0.0588,6.37,6.47,1.0153
batched_matmul,M=608,fp32,0.3038,0.2639,0.1649,1.15,1.84,1.6004
batched_matmul,M=640,fp16,0.4018,0.0618,0.0611,6.50,6.58,1.0115
batched_matmul,M=640,bf16,0.4026,0.0622,0.0611,6.48,6.59,1.0180
batched_matmul,M=640,fp32,0.3180,0.2900,0.1727,1.10,1.84,1.6792
weight_dequant,M=512,fp16,0.0275,0.0020,0.0022,13.80,12.53,0.9091
weight_dequant,M=512,bf16,0.0263,0.0017,0.0020,15.61,12.92,0.8500
weight_dequant,M=512,fp32,0.0186,0.0020,0.0024,9.10,7.66,0.8333
weight_dequant,M=1024,fp16,0.0385,0.0026,0.0034,14.80,11.25,0.7647
weight_dequant,M=1024,bf16,0.0398,0.0025,0.0034,15.66,11.54,0.7353
weight_dequant,M=1024,fp32,0.0270,0.0028,0.0036,9.64,7.48,0.7778
weight_dequant,M=1536,fp16,0.0593,0.0044,0.0068,13.60,8.67,0.6471
weight_dequant,M=1536,bf16,0.0609,0.0042,0.0068,14.46,8.99,0.6176
weight_dequant,M=1536,fp32,0.0400,0.0052,0.0074,7.70,5.44,0.7027
weight_dequant,M=2048,fp16,0.0880,0.0049,0.0087,17.97,10.17,0.5632
weight_dequant,M=2048,bf16,0.0875,0.0048,0.0085,18.31,10.32,0.5647
weight_dequant,M=2048,fp32,0.0613,0.0070,0.0098,8.70,6.28,0.7143
weight_dequant,M=2560,fp16,0.1388,0.0087,0.0153,16.04,9.04,0.5686
weight_dequant,M=2560,bf16,0.1381,0.0085,0.0153,16.20,9.03,0.5556
weight_dequant,M=2560,fp32,0.0995,0.0106,0.0161,9.42,6.16,0.6584
weight_dequant,M=3072,fp16,0.2005,0.0093,0.0214,21.51,9.35,0.4346
weight_dequant,M=3072,bf16,0.1988,0.0090,0.0217,22.03,9.18,0.4147
weight_dequant,M=3072,fp32,0.1414,0.0143,0.0225,9.92,6.28,0.6356
weight_dequant,M=3584,fp16,0.2672,0.0147,0.0277,18.22,9.64,0.5307
weight_dequant,M=3584,bf16,0.2685,0.0147,0.0284,18.32,9.46,0.5176
weight_dequant,M=3584,fp32,0.1895,0.0183,0.0294,10.34,6.44,0.6224
weight_dequant,M=4096,fp16,0.3454,0.0147,0.0287,23.50,12.02,0.5122
weight_dequant,M=4096,bf16,0.3469,0.0147,0.0283,23.63,12.25,0.5194
weight_dequant,M=4096,fp32,0.2425,0.0230,0.0307,10.54,7.90,0.7492
weight_dequant,M=4608,fp16,0.4380,0.0223,0.0439,19.63,9.98,0.5080
weight_dequant,M=4608,bf16,0.4398,0.0224,0.0445,19.63,9.89,0.5034
weight_dequant,M=4608,fp32,0.3034,0.0277,0.0466,10.96,6.51,0.5944
weight_dequant,M=5120,fp16,0.5371,0.0212,0.0535,25.32,10.05,0.3963
weight_dequant,M=5120,bf16,0.5361,0.0210,0.0541,25.53,9.90,0.3882
weight_dequant,M=5120,fp32,0.3682,0.0340,0.0567,10.82,6.50,0.5996
weight_dequant,M=5632,fp16,0.6426,0.0321,0.0646,20.05,9.95,0.4969
weight_dequant,M=5632,bf16,0.6454,0.0321,0.0651,20.11,9.92,0.4931
weight_dequant,M=5632,fp32,0.4424,0.0405,0.0683,10.93,6.48,0.5930
weight_dequant,M=6144,fp16,0.7588,0.0289,0.0782,26.26,9.70,0.3696
weight_dequant,M=6144,bf16,0.7643,0.0292,0.0793,26.22,9.64,0.3682
weight_dequant,M=6144,fp32,0.5228,0.0469,0.0821,11.14,6.37,0.5713
weight_dequant,M=6656,fp16,0.8882,0.0437,0.0890,20.32,9.98,0.4910
weight_dequant,M=6656,bf16,0.8903,0.0436,0.0900,20.41,9.90,0.4844
weight_dequant,M=6656,fp32,0.6110,0.0540,0.0943,11.31,6.48,0.5726
weight_dequant,M=7168,fp16,1.0250,0.0380,0.1025,26.95,10.00,0.3707
weight_dequant,M=7168,bf16,1.0267,0.0375,0.1058,27.39,9.70,0.3544
weight_dequant,M=7168,fp32,0.7066,0.0623,0.1099,11.34,6.43,0.5669
weight_dequant,M=7680,fp16,1.1684,0.0580,0.1181,20.16,9.89,0.4911
weight_dequant,M=7680,bf16,1.1743,0.0580,0.1212,20.24,9.69,0.4785
weight_dequant,M=7680,fp32,0.8103,0.0719,0.1249,11.27,6.49,0.5757
weight_dequant,M=8192,fp16,1.3260,0.0492,0.1062,26.97,12.49,0.4633
weight_dequant,M=8192,bf16,1.3306,0.0491,0.1049,27.10,12.68,0.4681
weight_dequant,M=8192,fp32,0.9172,0.0800,0.1141,11.46,8.04,0.7011
weight_dequant,M=8704,fp16,1.4928,0.0727,0.1496,20.53,9.98,0.4860
weight_dequant,M=8704,bf16,1.4986,0.0727,0.1510,20.60,9.93,0.4815
weight_dequant,M=8704,fp32,1.0328,0.0905,0.1583,11.41,6.52,0.5717
weight_dequant,M=9216,fp16,1.6691,0.0597,0.1656,27.94,10.08,0.3605
weight_dequant,M=9216,bf16,1.6769,0.0593,0.1688,28.25,9.93,0.3513
weight_dequant,M=9216,fp32,1.1561,0.1000,0.1759,11.56,6.57,0.5685
weight_dequant,M=9728,fp16,1.8602,0.0903,0.1858,20.61,10.01,0.4860
weight_dequant,M=9728,bf16,1.8626,0.0903,0.1879,20.62,9.92,0.4806
weight_dequant,M=9728,fp32,1.2860,0.1113,0.1968,11.55,6.53,0.5655
weight_dequant,M=10240,fp16,2.0527,0.0723,0.2039,28.40,10.07,0.3546
weight_dequant,M=10240,bf16,2.0591,0.0724,0.2074,28.43,9.93,0.3491
weight_dequant,M=10240,fp32,1.4234,0.1230,0.2158,11.57,6.60,0.5700
1d_conv,input_size=1000000,fp16,0.2836,0.0646,0.0431,4.39,6.57,1.4988
1d_conv,input_size=1000000,fp32,0.2729,0.0651,0.0297,4.19,9.20,2.1919
1d_conv,input_size=2000000,fp16,0.5468,0.1250,0.0790,4.38,6.92,1.5823
1d_conv,input_size=2000000,fp32,0.5354,0.1252,0.0547,4.27,9.79,2.2888
1d_conv,input_size=3000000,fp16,0.8156,0.1774,0.1097,4.60,7.43,1.6171
1d_conv,input_size=3000000,fp32,0.7995,0.1776,0.0766,4.50,10.44,2.3185
1d_conv,input_size=4000000,fp16,1.0819,0.2379,0.1450,4.55,7.46,1.6407
1d_conv,input_size=4000000,fp32,1.0627,0.2383,0.1014,4.46,10.48,2.3501
1d_conv,input_size=5000000,fp16,1.3494,0.2899,0.1757,4.65,7.68,1.6500
1d_conv,input_size=5000000,fp32,1.3266,0.2906,0.1241,4.56,10.69,2.3417
1d_conv,input_size=6000000,fp16,1.6157,0.3505,0.2101,4.61,7.69,1.6683
1d_conv,input_size=6000000,fp32,1.5909,0.3514,0.1471,4.53,10.81,2.3889
1d_conv,input_size=7000000,fp16,1.8838,0.4098,0.2433,4.60,7.74,1.6843
1d_conv,input_size=7000000,fp32,1.8551,0.4111,0.1701,4.51,10.90,2.4168
1d_conv,input_size=8000000,fp16,2.1487,0.4625,0.2749,4.65,7.81,1.6824
1d_conv,input_size=8000000,fp32,2.1186,0.4635,0.1925,4.57,11.00,2.4078
1d_conv,input_size=9000000,fp16,2.4169,0.5221,0.3073,4.63,7.86,1.6990
1d_conv,input_size=9000000,fp32,2.3818,0.5238,0.2154,4.55,11.06,2.4318
1d_conv,input_size=10000000,fp16,2.6823,0.5750,0.3392,4.66,7.91,1.6952
1d_conv,input_size=10000000,fp32,2.6452,0.5761,0.2382,4.59,11.10,2.4186
1d_conv,input_size=11000000,fp16,2.9503,0.6349,0.3727,4.65,7.92,1.7035
1d_conv,input_size=11000000,fp32,2.9084,0.6362,0.2607,4.57,11.16,2.4404
1d_conv,input_size=12000000,fp16,3.2164,0.6949,0.4060,4.63,7.92,1.7116
1d_conv,input_size=12000000,fp32,3.1730,0.6954,0.2829,4.56,11.21,2.4581
1d_conv,input_size=13000000,fp16,3.4841,0.7471,0.4370,4.66,7.97,1.7096
1d_conv,input_size=13000000,fp32,3.4361,0.7485,0.3055,4.59,11.25,2.4501
1d_conv,input_size=14000000,fp16,3.7505,0.8066,0.4698,4.65,7.98,1.7169
1d_conv,input_size=14000000,fp32,3.6990,0.8083,0.3277,4.58,11.29,2.4666
1d_conv,input_size=15000000,fp16,4.0196,0.8596,0.5017,4.68,8.01,1.7134
1d_conv,input_size=15000000,fp32,3.9630,0.8614,0.3501,4.60,11.32,2.4604
1d_conv,input_size=16000000,fp16,4.2846,0.9190,0.5354,4.66,8.00,1.7165
1d_conv,input_size=16000000,fp32,4.2252,0.9214,0.3727,4.59,11.34,2.4722
1d_conv,input_size=17000000,fp16,4.5523,0.9780,0.5686,4.65,8.01,1.7200
1d_conv,input_size=17000000,fp32,4.4902,0.9799,0.3945,4.58,11.38,2.4839
1d_conv,input_size=18000000,fp16,4.8203,1.0314,0.6024,4.67,8.00,1.7122
1d_conv,input_size=18000000,fp32,4.7528,1.0332,0.4169,4.60,11.40,2.4783
1d_conv,input_size=19000000,fp16,5.0866,1.0907,0.6347,4.66,8.01,1.7184
1d_conv,input_size=19000000,fp32,5.0174,1.0926,0.4389,4.59,11.43,2.4894
1d_conv,input_size=20000000,fp16,5.3536,1.1438,0.6665,4.68,8.03,1.7161
1d_conv,input_size=20000000,fp32,5.2787,1.1459,0.4614,4.61,11.44,2.4835
block_sparse_attention,M=512,fp16,0.4131,0.0078,0.0168,52.69,24.54,0.4643
block_sparse_attention,M=1024,fp16,1.0189,0.0105,0.0323,97.28,31.50,0.3251
block_sparse_attention,M=1536,fp16,1.8991,0.0164,0.0478,115.69,39.74,0.3431
block_sparse_attention,M=2048,fp16,2.8351,0.0182,0.0631,155.98,44.92,0.2884
block_sparse_attention,M=2560,fp16,4.1023,0.0243,0.0780,168.97,52.61,0.3115
block_sparse_attention,M=3072,fp16,5.4142,0.0265,0.0910,204.59,59.48,0.2912
block_sparse_attention,M=3584,fp16,6.9644,0.0296,0.1032,235.20,67.48,0.2868
block_sparse_attention,M=4096,fp16,8.6231,0.0341,0.1135,253.03,75.98,0.3004
block_sparse_attention,M=4608,fp16,11.0465,0.0361,0.1279,305.67,86.35,0.2823
block_sparse_attention,M=5120,fp16,13.0962,0.0422,0.1422,310.28,92.08,0.2968
block_sparse_attention,M=5632,fp16,15.6196,0.0435,0.1562,358.73,99.99,0.2785
block_sparse_attention,M=6144,fp16,17.2739,0.0488,0.1703,353.74,101.41,0.2866
block_sparse_attention,M=6656,fp16,19.8747,0.0513,0.1850,387.53,107.41,0.2773
block_sparse_attention,M=7168,fp16,22.5143,0.0546,0.1960,412.65,114.87,0.2786
block_sparse_attention,M=7680,fp16,25.2830,0.0583,0.2094,433.41,120.72,0.2784
block_sparse_attention,M=8192,fp16,27.9274,0.0607,0.2235,459.74,124.97,0.2716
block_sparse_attention,M=8704,fp16,31.1813,0.0654,0.2355,476.49,132.41,0.2777
block_sparse_attention,M=9216,fp16,34.4030,0.0690,0.2492,498.42,138.06,0.2769
block_sparse_attention,M=9728,fp16,35.6625,0.0729,0.2629,488.94,135.65,0.2773
block_sparse_attention,M=10240,fp16,39.0251,0.0757,0.2796,515.66,139.57,0.2707
l2_norm,K=512,fp16,0.0167,0.0028,0.0029,5.94,5.72,0.9655
l2_norm,K=512,bf16,0.0158,0.0027,0.0028,5.77,5.61,0.9643
l2_norm,K=512,fp32,0.0103,0.0027,0.0033,3.77,3.11,0.8182
l2_norm,K=1024,fp16,0.0238,0.0029,0.0033,8.21,7.14,0.8788
l2_norm,K=1024,bf16,0.0243,0.0030,0.0030,8.16,8.01,1.0000
l2_norm,K=1024,fp32,0.0157,0.0040,0.0040,3.98,3.89,1.0000
l2_norm,K=1536,fp16,0.0315,0.0032,0.0039,9.81,7.98,0.8205
l2_norm,K=1536,bf16,0.0316,0.0035,0.0040,8.95,7.88,0.8750
l2_norm,K=1536,fp32,0.0200,0.0048,0.0059,4.13,3.38,0.8136
l2_norm,K=2048,fp16,0.0373,0.0040,0.0045,9.42,8.36,0.8889
l2_norm,K=2048,bf16,0.0375,0.0040,0.0046,9.46,8.13,0.8696
l2_norm,K=2048,fp32,0.0244,0.0064,0.0076,3.84,3.20,0.8421
l2_norm,K=2560,fp16,0.0446,0.0045,0.0059,9.84,7.59,0.7627
l2_norm,K=2560,bf16,0.0445,0.0046,0.0066,9.76,6.73,0.6970
l2_norm,K=2560,fp32,0.0296,0.0083,0.0099,3.56,2.99,0.8384
l2_norm,K=3072,fp16,0.0506,0.0050,0.0068,10.14,7.50,0.7353
l2_norm,K=3072,bf16,0.0514,0.0053,0.0065,9.68,7.91,0.8154
l2_norm,K=3072,fp32,0.0341,0.0097,0.0113,3.51,3.03,0.8584
l2_norm,K=3584,fp16,0.0580,0.0059,0.0091,9.88,6.35,0.6484
l2_norm,K=3584,bf16,0.0586,0.0059,0.0086,10.01,6.82,0.6860
l2_norm,K=3584,fp32,0.0388,0.0113,0.0120,3.44,3.23,0.9417
l2_norm,K=4096,fp16,0.0634,0.0069,0.0096,9.15,6.62,0.7188
l2_norm,K=4096,bf16,0.0636,0.0067,0.0093,9.48,6.84,0.7204
l2_norm,K=4096,fp32,0.0429,0.0137,0.0136,3.14,3.15,1.0074
l2_norm,K=4608,fp16,0.0715,0.0078,0.0113,9.18,6.35,0.6903
l2_norm,K=4608,bf16,0.0721,0.0077,0.0114,9.31,6.32,0.6754
l2_norm,K=4608,fp32,0.0481,0.0155,0.0151,3.10,3.19,1.0265
l2_norm,K=5120,fp16,0.0788,0.0086,0.0121,9.20,6.52,0.7107
l2_norm,K=5120,bf16,0.0795,0.0086,0.0121,9.20,6.55,0.7107
l2_norm,K=5120,fp32,0.0532,0.0171,0.0174,3.11,3.07,0.9828
l2_norm,K=5632,fp16,0.0872,0.0104,0.0138,8.38,6.32,0.7536
l2_norm,K=5632,bf16,0.0879,0.0104,0.0135,8.42,6.49,0.7704
l2_norm,K=5632,fp32,0.0586,0.0200,0.0181,2.93,3.23,1.1050
