params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile,torch_nki_ms,nki_ms,speedup_nki
n=27500000,fp16,0.0263,0.0212,0.0297,1.24,0.89,1.3969,18.0387,4.3239,4.17
n=27500000,bf16,0.0271,0.0215,0.0297,1.26,0.91,1.3802,18.0945,4.3239,4.18
n=27500000,fp32,0.0351,0.0349,0.0363,1.01,0.97,1.0397,29.0053,21.9796,1.32
n=30000000,fp16,0.0285,0.0230,0.0320,1.24,0.89,1.3945,0.2287,0.9370,0.24
n=30000000,bf16,0.0293,0.0234,0.0322,1.25,0.91,1.3747,0.2287,0.9370,0.24
n=30000000,fp32,0.0379,0.0379,0.0391,1.00,0.97,1.0336,0.4362,1.8740,0.23
n=32500000,fp16,0.0305,0.0247,0.0345,1.24,0.89,1.3977,21.3170,6.0039,3.55
n=32500000,bf16,0.0314,0.0251,0.0346,1.25,0.91,1.3780,21.3816,6.0031,3.56
n=32500000,fp32,0.0408,0.0408,0.0424,1.00,0.96,1.0388,34.2596,25.9686,1.32
n=35000000,fp16,0.0328,0.0265,0.0369,1.24,0.89,1.3921,24.3538,5.4801,4.44
n=35000000,bf16,0.0336,0.0267,0.0370,1.26,0.91,1.3865,24.3538,5.4813,4.44
n=35000000,fp32,0.0437,0.0437,0.0454,1.00,0.96,1.0393,36.8882,27.9403,1.32
n=37500000,fp16,0.0349,0.0280,0.0393,1.24,0.89,1.4042,24.6676,7.1806,3.44
n=37500000,bf16,0.0356,0.0285,0.0394,1.25,0.90,1.3854,24.6676,7.1805,3.44
n=37500000,fp32,0.0469,0.0468,0.0483,1.00,0.97,1.0307,39.5447,30.0224,1.32
n=40000000,fp16,0.0369,0.0298,0.0417,1.24,0.89,1.4004,0.3058,1.2465,0.25
n=40000000,bf16,0.0379,0.0302,0.0419,1.26,0.91,1.3876,0.3059,1.2468,0.25
n=40000000,fp32,0.0488,0.0490,0.0514,0.99,0.95,1.0494,0.5542,2.5008,0.22
n=42500000,fp16,0.0390,0.0313,0.0441,1.25,0.89,1.4081,29.8855,17.1608,1.74
n=42500000,bf16,0.0400,0.0317,0.0442,1.26,0.91,1.3920,29.8855,17.1683,1.74
n=42500000,fp32,0.0520,0.0520,0.0544,1.00,0.96,1.0462,44.8234,33.7798,1.33
n=45000000,fp16,0.0410,0.0330,0.0465,1.24,0.88,1.4111,30.4471,18.3392,1.66
n=45000000,bf16,0.0421,0.0334,0.0466,1.26,0.90,1.3974,30.4476,18.3378,1.66
n=45000000,fp32,0.0548,0.0549,0.0573,1.00,0.96,1.0449,47.7585,35.9572,1.33
n=47500000,fp16,0.0433,0.0347,0.0489,1.25,0.89,1.4086,32.1311,19.2990,1.66
n=47500000,bf16,0.0442,0.0352,0.0491,1.26,0.90,1.3933,32.0638,19.3134,1.66
n=47500000,fp32,0.0574,0.0578,0.0601,0.99,0.95,1.0408,49.6504,44.0073,1.13
n=50000000,fp16,0.0453,0.0363,0.0513,1.25,0.88,1.4120,0.3607,1.5384,0.23
n=50000000,bf16,0.0463,0.0368,0.0515,1.26,0.90,1.3992,0.3610,1.5382,0.23
n=50000000,fp32,0.0608,0.0608,0.0634,1.00,0.96,1.0420,0.7050,3.1308,0.23
