params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile,torch_nki_ms,nki_ms,speedup_nki
n=12582912,fp32,0.0373,0.0256,0.0257,1.46,1.45,1.0022,0.2515,0.2359,1.07
n=13631488,fp16,0.0242,0.0152,0.0153,1.59,1.58,1.0041,0.1429,0.1346,1.06
n=13631488,bf16,0.0244,0.0153,0.0158,1.59,1.55,1.0269,0.1430,0.1346,1.06
n=13631488,fp32,0.0405,0.0268,0.0272,1.51,1.49,1.0139,0.2668,0.2547,1.05
n=14680064,fp16,0.0260,0.0163,0.0166,1.59,1.57,1.0173,0.1489,0.1443,1.03
n=14680064,bf16,0.0258,0.0166,0.0169,1.55,1.53,1.0145,0.1489,0.1441,1.03
n=14680064,fp32,0.0437,0.0292,0.0289,1.50,1.51,0.9911,0.2946,0.2716,1.08
n=15728640,fp16,0.0275,0.0174,0.0176,1.58,1.56,1.0117,0.1671,0.1589,1.05
n=15728640,bf16,0.0275,0.0172,0.0174,1.60,1.58,1.0138,0.1674,0.1608,1.04
n=15728640,fp32,0.0464,0.0305,0.0305,1.52,1.52,1.0003,0.3067,0.2922,1.05
n=16777216,fp16,0.0290,0.0181,0.0182,1.61,1.60,1.0079,0.1785,0.1648,1.08
n=16777216,bf16,0.0294,0.0178,0.0181,1.65,1.62,1.0160,0.1784,0.1647,1.08
n=16777216,fp32,0.0498,0.0327,0.0328,1.52,1.52,1.0011,0.3672,0.3112,1.18
n=17825792,fp16,0.0306,0.0188,0.0191,1.63,1.60,1.0183,0.1828,0.1741,1.05
n=17825792,bf16,0.0306,0.0187,0.0189,1.64,1.62,1.0102,0.1829,0.1749,1.05
n=17825792,fp32,0.0532,0.0340,0.0346,1.56,1.54,1.0182,0.3452,0.3292,1.05
n=18874368,fp16,0.0325,0.0205,0.0206,1.58,1.58,1.0040,0.1892,0.1841,1.03
n=18874368,bf16,0.0320,0.0197,0.0200,1.63,1.60,1.0152,0.1893,0.1840,1.03
n=18874368,fp32,0.0571,0.0367,0.0367,1.55,1.56,0.9981,0.3660,0.3495,1.05
n=19922944,fp16,0.0341,0.0212,0.0214,1.61,1.59,1.0109,0.2009,0.1921,1.05
n=19922944,bf16,0.0340,0.0211,0.0209,1.61,1.63,0.9897,0.2011,0.1921,1.05
n=19922944,fp32,0.0608,0.0378,0.0378,1.61,1.61,1.0016,0.3860,0.3677,1.05
n=20971520,fp16,0.0354,0.0219,0.0220,1.62,1.61,1.0061,0.2084,0.2007,1.04
n=20971520,bf16,0.0353,0.0214,0.0219,1.65,1.61,1.0243,0.2083,0.2038,1.02
n=20971520,fp32,0.0648,0.0403,0.0402,1.61,1.61,0.9963,0.4022,0.3861,1.04
