operator,mode,dtype,n_cases,baseline_torch_ms,descriptor_torch_ms,baseline_triton_ms,descriptor_triton_ms,baseline_cutile_ms,descriptor_cutile_ms,baseline_speedup_triton,descriptor_speedup_triton,baseline_speedup_cutile,descriptor_speedup_cutile,torch_ms_delta_pct,triton_ms_delta_pct,cutile_ms_delta_pct,descriptor_vs_baseline_speedup
dropout,default,fp16,20,0.05601,0.056145,0.012655,0.06173,0.014075,0.014055,4.419,0.9165,3.985,4.0095,0.24,387.79,-0.14,0.205006
dropout,default,fp32,20,0.071465,0.07154,0.022365,0.06329,0.0224,0.022385,3.168,1.106,3.155,3.16,0.10,182.99,-0.07,0.353373
dropout,autotune,bf16,20,0.05638,0.05637,0.012765,0.03422,0.012895,0.01283,4.3525,1.598,4.2785,4.3005,-0.02,168.08,-0.50,0.373027
dropout,autotune,fp16,20,0.05599,0.0562,0.0128,0.0342,0.012895,0.012875,4.2735,1.5995,4.256,4.2785,0.38,167.19,-0.16,0.374269
dropout,autotune,fp32,20,0.07145,0.0717,0.02247,0.037525,0.023475,0.02355,3.162,1.823,3.0435,2.99,0.35,67.00,0.32,0.598801
flash_attention,default,fp16,20,5.31072,5.32962,14.6163,16.3731,13.6694,13.6788,0.345,0.3005,0.3655,0.3635,0.36,12.02,0.07,0.892702
flash_attention,autotune,fp16,20,5.28987,5.30187,8.50579,7.40904,6.8264,6.69763,0.5825,0.653,0.714,0.7205,0.23,-12.89,-1.89,1.14803
flash_decode,default,fp32,20,0.034855,0.040025,0.012215,0.013375,0.04388,0.04453,3.587,3.708,1.1575,1.3735,14.83,9.50,1.48,0.913271
flash_decode,autotune,fp32,20,0.03442,0.039835,0.01362,0.014555,0.047915,0.047765,3.341,3.5315,1.107,1.353,15.73,6.86,-0.31,0.935761
fused_activation,default,fp32,20,0.05308,0.05308,0.029135,0.08195,0.029335,0.029195,1.811,0.6355,1.7895,1.796,0.00,181.28,-0.48,0.355522
fused_activation,autotune,fp32,20,0.05319,0.053165,0.029185,0.05109,0.02937,0.029405,1.8035,0.9975,1.7815,1.789,-0.05,75.06,0.12,0.571247
interleave,default,bf16,20,0.053225,0.053325,0.014975,0.06259,0.015025,0.015005,3.4875,0.8345,3.4615,3.4765,0.19,317.96,-0.13,0.239255
interleave,default,fp16,20,0.05333,0.05325,0.01495,0.062605,0.01501,0.01496,3.492,0.8335,3.4715,3.4795,-0.15,318.76,-0.33,0.238799
interleave,default,fp32,20,0.075275,0.075355,0.027325,0.06641,0.031085,0.03109,2.6685,1.0785,2.3595,2.3565,0.11,143.04,0.02,0.411459
interleave,default,int8,20,0.047,0.047195,0.00892,0.059335,0.009275,0.009245,5.035,0.776,4.805,4.8435,0.41,565.19,-0.32,0.150333
interleave,autotune,bf16,20,0.053195,0.053325,0.014875,0.02245,0.01505,0.01496,3.514,2.225,3.433,3.49,0.24,50.92,-0.60,0.662584
interleave,autotune,fp16,20,0.053235,0.053315,0.015,0.022495,0.01508,0.014975,3.4695,2.22,3.419,3.48,0.15,49.97,-0.70,0.666815
interleave,autotune,fp32,20,0.0753,0.075335,0.027135,0.03826,0.030675,0.030805,2.6775,1.844,2.369,2.3685,0.05,41.00,0.42,0.709226
interleave,autotune,int8,20,0.04701,0.04711,0.008475,0.016735,0.009225,0.00908,5.373,2.592,4.904,4.977,0.21,97.46,-1.57,0.506424
kl_divergence,default,float32,20,0.07253,,0.02711,,0.026085,,2.611,,2.6745,,,,,
kl_divergence,default,fp32,0,,0.0726,,0.03124,,0.026125,,1.9425,,2.6805,,,,
kl_divergence,autotune,fp32,20,0.072455,0.072465,0.02398,0.033685,0.02237,0.022455,2.908,1.87,3.019,2.9945,0.01,40.47,0.38,0.71189
l2_norm,default,bf16,20,0.08634,0.086275,0.01084,0.02189,0.01272,0.012715,7.7545,3.662,6.901,6.8995,-0.08,101.94,-0.04,0.495203
l2_norm,default,fp16,20,0.086065,0.085845,0.01076,0.021855,0.01295,0.012905,7.8055,3.6495,6.8,6.801,-0.26,103.11,-0.35,0.492336
l2_norm,default,fp32,20,0.05344,0.05325,0.020215,0.02861,0.01784,0.017845,2.944,1.7805,3.0855,3.062,-0.36,41.53,0.03,0.706571
l2_norm,autotune,bf16,20,0.08615,0.086335,0.01042,0.01838,0.011195,0.01127,8.037,4.357,7.4605,7.4365,0.21,76.39,0.67,0.566921
l2_norm,autotune,fp16,20,0.08577,0.08593,0.010395,0.018305,0.011265,0.01123,8.0485,4.3595,7.3815,7.4315,0.19,76.09,-0.31,0.567878
l2_norm,autotune,fp32,20,0.053515,0.053295,0.01768,0.026135,0.020565,0.021995,3.1315,1.9435,2.875,2.727,-0.41,47.82,6.95,0.676487
layernorm,default,bf16,20,0.02707,0.027275,0.014555,0.0479,0.02265,0.02277,1.798,0.5315,1.252,1.251,0.76,229.10,0.53,0.303862
layernorm,default,fp16,20,0.026935,0.027065,0.014375,0.04755,0.02175,0.02181,1.814,0.532,1.3095,1.309,0.48,230.78,0.28,0.302313
layernorm,default,fp32,20,0.03554,0.035755,0.02058,0.05309,0.022955,0.022965,1.6855,0.6255,1.56,1.5685,0.60,157.97,0.04,0.387644
layernorm,autotune,bf16,20,0.02726,0.027285,0.013035,0.036025,0.018405,0.01896,2.0825,0.7065,1.546,1.523,0.09,176.37,3.02,0.361832
layernorm,autotune,fp16,20,0.02705,0.02712,0.01262,0.035855,0.017455,0.017485,2.117,0.7055,1.5985,1.6055,0.26,184.11,0.17,0.351973
layernorm,autotune,fp32,20,0.03553,0.03573,0.020055,0.04208,0.021625,0.02216,1.784,0.7885,1.6915,1.701,0.56,109.82,2.47,0.476592
leaky_relu,default,bf16,20,0.05983,0.060125,0.018945,0.09374,0.019575,0.01956,3.0275,0.6265,2.9255,2.945,0.49,394.80,-0.08,0.202102
leaky_relu,default,fp16,20,0.05974,0.05985,0.018995,0.093795,0.01961,0.019615,3.0085,0.6235,2.913,2.9195,0.18,393.79,0.03,0.202516
leaky_relu,default,fp32,20,0.10213,0.102275,0.033295,0.09828,0.03333,0.033315,2.9285,0.9935,2.921,2.93,0.14,195.18,-0.05,0.338777
leaky_relu,autotune,bf16,20,0.059895,0.05999,0.01819,0.024875,0.01822,0.018315,3.148,2.2355,3.15,3.138,0.16,36.75,0.52,0.731256
leaky_relu,autotune,fp16,20,0.05975,0.05993,0.018465,0.024855,0.018225,0.01836,3.0815,2.234,3.134,3.1235,0.30,34.61,0.74,0.742909
leaky_relu,autotune,fp32,20,0.102385,0.10227,0.03331,0.03812,0.03469,0.03409,2.932,2.491,2.765,2.865,-0.11,14.44,-1.73,0.87382
matmul_fp32_fp16_fp8,default,fp16,20,0.255145,0.248675,0.3691,0.37287,0.295385,0.297,0.6875,0.653,0.843,0.8245,-2.54,1.02,0.55,0.989889
matmul_fp32_fp16_fp8,default,fp32,20,5.62033,5.63984,3.28173,3.72513,0.57554,0.57414,1.7065,1.505,9.7925,9.8345,0.35,13.51,-0.24,0.880971
matmul_fp32_fp16_fp8,default,fp8_e4m3fn,20,5.8881,5.91094,0.283175,0.293435,0.12218,0.121555,21.573,20.44,45.9935,46.381,0.39,3.62,-0.51,0.965035
matmul_fp32_fp16_fp8,default,fp8_e5m2,20,5.88237,5.90606,0.28471,0.294415,0.13257,0.131925,21.441,20.3365,43.035,43.4435,0.40,3.41,-0.49,0.967036
matmul_fp32_fp16_fp8,autotune,fp16,20,0.243945,0.24503,0.29818,0.354775,0.249055,0.24594,0.8075,0.6745,0.9715,0.984,0.44,18.98,-1.25,0.840476
matmul_fp32_fp16_fp8,autotune,fp32,20,5.62021,5.6394,3.17415,3.14931,0.47382,0.473065,1.751,1.784,11.7065,11.7635,0.34,-0.78,-0.16,1.00789
matmul_fp32_fp16_fp8,autotune,fp8_e4m3fn,20,5.88801,5.90963,0.141515,0.289625,0.111805,0.11068,39.8245,20.3625,50.3325,51.0075,0.37,104.66,-1.01,0.488615
matmul_fp32_fp16_fp8,autotune,fp8_e5m2,20,5.88302,5.90569,0.148705,0.291995,0.12117,0.119845,38.2175,20.195,47.1525,47.9115,0.39,96.36,-1.09,0.509272
matmul_int8,default,int8,20,1.82635,1.82268,0.29991,0.29619,0.5165,0.515885,6.1275,6.158,3.5705,3.5685,-0.20,-1.24,-0.12,1.01256
matmul_int8,autotune,int8,20,1.82668,1.82262,0.243735,0.22757,0.1802,0.18003,7.5295,7.955,10.0285,10.0135,-0.22,-6.63,-0.09,1.07103
matrix_copy,default,bf16,20,0.007995,0.007985,0.007855,0.033955,0.007945,0.007945,1.024,0.263,1.0135,1.006,-0.13,332.27,0.00,0.231336
matrix_copy,default,fp16,20,0.008,0.007955,0.00788,0.033935,0.00799,0.007945,1.018,0.263,1.002,1.005,-0.56,330.65,-0.56,0.232209
matrix_copy,default,fp32,20,0.01338,0.013345,0.013335,0.03688,0.013345,0.013325,1.008,0.365,1,0.998,-0.26,176.57,-0.15,0.361578
matrix_copy,default,int8,20,0.0064,0.006435,0.006255,0.0327,0.00638,0.00637,1.0325,0.2275,1.0045,1.0125,0.55,422.78,-0.16,0.191284
matrix_copy,autotune,bf16,20,0.007955,0.00798,0.00768,0.015075,0.007745,0.00766,1.04,0.493,1.031,1.0395,0.31,96.29,-1.10,0.509453
matrix_copy,autotune,fp16,20,0.00796,0.007975,0.00774,0.01498,0.007745,0.007665,1.034,0.498,1.0285,1.032,0.19,93.54,-1.03,0.516689
matrix_copy,autotune,fp32,20,0.013355,0.0134,0.01365,0.01889,0.013555,0.013985,0.9895,0.6465,0.9735,0.982,0.34,38.39,3.17,0.722605
matrix_copy,autotune,int8,20,0.006375,0.006475,0.004665,0.01293,0.005575,0.005055,1.2845,0.4725,1.141,1.239,1.57,177.17,-9.33,0.360789
matrix_transpose,default,bf16,20,0.182075,0.182145,0.03022,0.06567,0.03017,0.030095,5.8635,2.6765,5.815,5.8335,0.04,117.31,-0.25,0.46018
matrix_transpose,default,fp16,20,0.182005,0.18206,0.03018,0.065685,0.030095,0.030165,5.8865,2.6735,5.8475,5.832,0.03,117.64,0.23,0.459466
matrix_transpose,default,fp32,20,0.200285,0.200785,0.065005,0.07768,0.056525,0.056235,3.0345,2.479,3.4815,3.495,0.25,19.50,-0.51,0.836831
matrix_transpose,default,int8,20,0.1741,0.17411,0.022045,0.045615,0.02484,0.024785,7.509,3.6225,6.7505,6.7575,0.01,106.92,-0.22,0.483284
matrix_transpose,autotune,bf16,20,0.182055,0.181995,0.03004,0.061435,0.03017,0.03013,5.855,2.8535,5.8185,5.813,-0.03,104.51,-0.13,0.488972
matrix_transpose,autotune,fp16,20,0.18202,0.182095,0.02998,0.061405,0.03012,0.030155,5.8645,2.8555,5.8275,5.818,0.04,104.82,0.12,0.488234
matrix_transpose,autotune,fp32,20,0.200375,0.20082,0.056325,0.07372,0.056475,0.05653,3.47,2.6135,3.475,3.468,0.22,30.88,0.10,0.76404
matrix_transpose,autotune,int8,20,0.17408,0.1741,0.018035,0.037545,0.021775,0.02121,9.0195,4.3835,7.6575,7.8525,0.01,108.18,-2.59,0.480357
mean_reduction,default,bf16,20,0.08667,0.086855,0.012045,0.01765,0.016505,0.016525,7.1825,4.606,5.4125,5.427,0.21,46.53,0.12,0.682436
mean_reduction,default,fp16,20,0.08589,0.08609,0.011525,0.017555,0.02851,0.028555,7.4155,4.593,3.84,3.842,0.23,52.32,0.16,0.656508
mean_reduction,default,fp32,20,0.02969,0.02969,0.02028,0.023605,0.020395,0.020405,1.729,1.328,1.706,1.7065,0.00,16.40,0.05,0.85914
mean_reduction,autotune,bf16,20,0.08656,0.08677,0.01118,0.01472,0.01285,0.01275,7.536,5.4855,6.7805,6.8665,0.24,31.66,-0.78,0.759511
mean_reduction,autotune,fp16,20,0.08596,0.086115,0.01106,0.014595,0.012375,0.012245,7.6625,5.496,6.8655,6.967,0.18,31.96,-1.05,0.757794
mean_reduction,autotune,fp32,20,0.02967,0.029705,0.02016,0.022245,0.020495,0.02044,1.6825,1.4115,1.6945,1.7095,0.12,10.34,-0.27,0.906271
mul2,default,bf16,20,0.0092,0.009175,0.009105,0.04224,0.009315,0.00927,1.0075,0.224,0.9855,0.9895,-0.27,363.92,-0.48,0.215554
mul2,default,fp16,20,0.009165,0.009135,0.009075,0.04222,0.00928,0.009235,1.011,0.223,0.988,0.9895,-0.33,365.23,-0.48,0.214946
mul2,default,fp32,20,0.01551,0.015485,0.01545,0.04456,0.015525,0.015525,1.004,0.3475,0.9975,0.9965,-0.16,188.41,0.00,0.346724
mul2,default,int8,20,0.00736,0.00728,0.00731,0.040195,0.007735,0.00766,1.009,0.1895,0.9505,0.945,-1.09,449.86,-0.97,0.181863
mul2,autotune,bf16,20,0.009185,0.00915,0.00898,0.0242,0.00929,0.009235,1.0225,0.3745,0.9815,0.9835,-0.38,169.49,-0.59,0.371074
mul2,autotune,fp16,20,0.009175,0.009145,0.00889,0.02419,0.00929,0.00924,1.038,0.375,0.9815,0.983,-0.33,172.10,-0.54,0.367507
mul2,autotune,fp32,20,0.01557,0.01552,0.01558,0.026615,0.0158,0.015665,1.005,0.564,0.9825,0.9895,-0.32,70.83,-0.85,0.585384
mul2,autotune,int8,20,0.00737,0.007335,0.005315,0.02286,0.00682,0.006815,1.3455,0.324,1.0755,1.0665,-0.47,330.10,-0.07,0.232502
quantize_global,default,fp32,20,0.01251,0.012525,0.01234,0.02578,0.01242,0.01244,1.021,0.472,1.0005,1.001,0.12,108.91,0.16,0.478666
quantize_global,autotune,fp32,20,0.012425,0.01247,0.01232,0.01636,0.012185,0.012245,1.0155,0.727,1.01,1.0135,0.36,32.79,0.49,0.753056
relu,default,bf16,20,0.00956,0.00957,0.009165,0.042255,0.00933,0.00931,1.043,0.2335,1.021,1.0265,0.10,361.05,-0.21,0.216897
relu,default,fp16,20,0.010435,0.010395,0.00921,0.042265,0.00936,0.009265,1.1225,0.25,1.103,1.1115,-0.38,358.90,-1.01,0.217911
relu,default,fp32,20,0.015585,0.01555,0.01551,0.04453,0.015535,0.015515,1.0085,0.3485,1.0015,1.0025,-0.22,187.11,-0.13,0.348305
relu,default,int8,0,,0.007775,,0.04025,,0.008845,,0.2005,,0.886,,,,
relu,autotune,bf16,20,0.009635,0.009545,0.009045,0.02421,0.009055,0.008975,1.0585,0.39,1.05,1.0535,-0.93,167.66,-0.88,0.373606
relu,autotune,fp16,20,0.010415,0.01042,0.00905,0.02422,0.00902,0.00895,1.136,0.4215,1.137,1.143,0.05,167.62,-0.78,0.373658
relu,autotune,fp32,20,0.01556,0.01557,0.015635,0.02659,0.015625,0.01582,1.0045,0.5655,0.986,0.978,0.06,70.07,1.25,0.588003
relu,autotune,int8,0,,0.00786,,0.022885,,0.007735,,0.343,,1.0015,,,,
rmsnorm,default,bf16,20,0.13414,0.13423,0.012825,0.028945,0.015395,0.015405,10.2155,4.281,8.65,8.6475,0.07,125.69,0.06,0.443082
rmsnorm,default,fp16,20,0.13366,0.133695,0.01244,0.028925,0.014795,0.01488,10.5485,4.2725,8.9535,8.8735,0.03,132.52,0.57,0.430078
rmsnorm,default,fp32,20,0.09357,0.09373,0.02037,0.03698,0.019135,0.019155,4.8435,2.3605,4.812,4.803,0.17,81.54,0.10,0.550838
rmsnorm,autotune,bf16,20,0.13382,0.134325,0.01065,0.023905,0.013185,0.01283,12.092,5.2005,10.201,10.404,0.38,124.46,-2.69,0.445513
rmsnorm,autotune,fp16,20,0.133725,0.133765,0.01081,0.02376,0.01209,0.012055,11.948,5.2075,10.7165,10.8085,0.03,119.80,-0.29,0.454966
rmsnorm,autotune,fp32,20,0.09359,0.093925,0.018115,0.03269,0.02123,0.02124,5.1555,2.6555,4.6055,4.6235,0.36,80.46,0.05,0.554145
rope,default,fp16,20,0.30311,0.303615,0.08345,0.965455,0.12069,0.12077,3.992,0.3265,2.5455,2.5485,0.17,1056.93,0.07,0.0864359
rope,default,fp32,20,0.40276,0.40369,0.10266,0.984815,0.123775,0.124055,4.2095,0.415,3.285,3.287,0.23,859.30,0.23,0.104243
rope,autotune,fp16,20,0.303235,0.30373,0.04551,0.860605,0.106605,0.106495,7.0975,0.367,2.834,2.846,0.16,1791.02,-0.10,0.0528814
rope,autotune,fp32,20,0.402705,0.403605,0.0691,0.883035,0.113765,0.113825,6.146,0.465,3.5175,3.5295,0.22,1177.91,0.05,0.0782528
sigmoid,default,bf16,20,0.12684,0.1268,0.0204,0.0938,0.02831,0.028345,5.9625,1.3145,4.307,4.302,-0.03,359.80,0.12,0.217484
sigmoid,default,fp16,20,0.125895,0.12589,0.020175,0.093875,0.02826,0.02827,5.9805,1.3025,4.273,4.2725,-0.00,365.30,0.04,0.214913
sigmoid,default,fp32,20,0.033345,0.03347,0.033325,0.098255,0.03474,0.0347,1.0085,0.3435,0.9615,0.964,0.37,194.84,-0.12,0.339168
sigmoid,autotune,bf16,20,0.12687,0.12679,0.0181,0.026175,0.02713,0.02712,6.6475,4.456,4.449,4.436,-0.06,44.61,-0.04,0.6915
sigmoid,autotune,fp16,20,0.12579,0.12583,0.018265,0.026125,0.027185,0.02718,6.516,4.432,4.391,4.3975,0.03,43.03,-0.02,0.699139
sigmoid,autotune,fp32,20,0.033515,0.03341,0.03329,0.03946,0.036655,0.03707,1.0155,0.8185,0.93,0.9165,-0.31,18.53,1.13,0.843639
softmax,default,fp16,20,0.040725,0.04083,0.01505,0.025345,0.023965,0.023945,2.69,1.5305,1.704,1.7045,0.26,68.41,-0.08,0.593805
softmax,default,fp32,20,0.04144,0.041615,0.021305,0.030875,0.02782,0.027895,1.941,1.2695,1.4315,1.4325,0.42,44.92,0.27,0.69004
softmax,autotune,fp16,20,0.040795,0.040785,0.01374,0.021445,0.02325,0.02328,2.929,1.794,1.7695,1.7655,-0.02,56.08,0.13,0.640709
softmax,autotune,fp32,20,0.04164,0.041675,0.019385,0.029305,0.026305,0.026335,2.0945,1.3275,1.515,1.515,0.08,51.17,0.11,0.661491
streamk_matmul,default,bf16,20,0.251675,0.253135,0.60741,0.537035,3.34143,3.34226,0.377,0.443,0.067,0.066,0.58,-11.59,0.02,1.13104
streamk_matmul,default,fp16,20,0.263925,0.261685,0.616035,0.55821,3.34347,3.34395,0.3875,0.4455,0.0705,0.07,-0.85,-9.39,0.01,1.10359
streamk_matmul,default,fp32,20,6.20854,6.20442,3.65344,3.85626,3.80797,3.80419,1.7185,1.657,1.456,1.4555,-0.07,5.55,-0.10,0.947404
streamk_matmul,autotune,bf16,20,0.25316,0.25138,0.768635,0.671485,3.34045,3.39383,0.3075,0.354,0.0665,0.0655,-0.70,-12.64,1.60,1.14468
streamk_matmul,autotune,fp16,20,0.261955,0.262705,0.755455,0.71211,3.34339,3.3465,0.3185,0.354,0.07,0.0695,0.29,-5.74,0.09,1.06087
streamk_matmul,autotune,fp32,20,6.20377,6.2039,5.13795,5.23257,3.80508,3.84171,1.3595,1.3795,1.457,1.431,0.00,1.84,0.96,0.981917
swiglu,default,bf16,20,0.08114,0.08113,0.0424,0.223785,0.065815,0.066005,1.893,0.3655,1.23,1.225,-0.01,427.79,0.29,0.189468
swiglu,default,fp16,20,0.08048,0.08059,0.04153,0.224135,0.065045,0.06517,1.902,0.363,1.2305,1.2315,0.14,439.69,0.19,0.18529
swiglu,default,fp32,20,0.130845,0.13087,0.07928,0.229025,0.079885,0.079855,1.619,0.563,1.5965,1.6,0.02,188.88,-0.04,0.346163
swiglu,autotune,bf16,20,0.08105,0.081175,0.04222,0.116445,0.056225,0.056365,1.899,0.689,1.4145,1.412,0.15,175.81,0.25,0.362575
swiglu,autotune,fp16,20,0.080465,0.08057,0.041765,0.116195,0.05598,0.056,1.896,0.686,1.409,1.411,0.13,178.21,0.04,0.359439
swiglu,autotune,fp32,20,0.130915,0.13081,0.07825,0.125145,0.08437,0.08442,1.633,1.013,1.495,1.493,-0.08,59.93,0.06,0.625275
vector_add,default,bf16,20,0.013165,0.013075,0.012705,0.06165,0.012795,0.01263,1.0335,0.213,1.0225,1.0275,-0.68,385.24,-1.29,0.206083
vector_add,default,fp16,20,0.013135,0.013065,0.01259,0.061625,0.01265,0.01257,1.0375,0.2145,1.029,1.0295,-0.53,389.48,-0.63,0.2043
vector_add,default,fp32,20,0.02235,0.02232,0.022325,0.06327,0.02237,0.02235,1.001,0.3465,0.9965,0.9975,-0.13,183.40,-0.09,0.352853
vector_add,default,int8,20,0.00834,0.008295,0.008195,0.05975,0.009135,0.00912,1.0195,0.145,0.9085,0.904,-0.54,629.10,-0.16,0.137155
vector_add,autotune,bf16,20,0.01309,0.013095,0.01269,0.033915,0.01263,0.012575,1.0045,0.3765,1.025,1.0345,0.04,167.26,-0.44,0.374171
vector_add,autotune,fp16,20,0.013105,0.01306,0.01266,0.033955,0.012685,0.012605,1.0255,0.3745,1.0215,1.0325,-0.34,168.21,-0.63,0.372846
vector_add,autotune,fp32,20,0.02238,0.022415,0.02235,0.03742,0.02276,0.02259,1.001,0.5795,0.98,0.99,0.16,67.43,-0.75,0.597274
vector_add,autotune,int8,20,0.00832,0.008285,0.0075,0.03306,0.00858,0.00839,1.0915,0.2515,0.9785,0.993,-0.42,340.80,-2.21,0.22686
weight_dequant,default,bf16,20,0.750635,0.753015,0.032015,0.13316,0.120295,0.120565,21.492,5.5165,6.451,6.454,0.32,315.93,0.22,0.240425
weight_dequant,default,fp16,20,0.74855,0.7505,0.032025,0.13322,0.119625,0.11989,21.2775,5.4735,6.4435,6.4425,0.26,315.99,0.22,0.240392
weight_dequant,default,fp32,20,0.51767,0.520005,0.04626,0.13916,0.12859,0.12887,10.484,3.6365,4.1685,4.1765,0.45,200.82,0.22,0.332423
weight_dequant,autotune,bf16,20,0.750645,0.75304,0.030495,0.05856,0.117235,0.11754,22.062,11.407,6.4065,6.522,0.32,92.03,0.26,0.520748
weight_dequant,autotune,fp16,20,0.747925,0.75031,0.030525,0.058625,0.116455,0.11676,21.984,11.391,6.3915,6.492,0.32,92.06,0.26,0.520682
weight_dequant,autotune,fp32,20,0.517165,0.519425,0.046305,0.064975,0.116195,0.116455,10.211,7.074,4.375,4.437,0.44,40.32,0.22,0.712659
